,class,beta1,cn_ratio_log2,truth_log2FC_aware,truth_log2FC_naive,empirical_log2FC_naive,empirical_log2FC_aware,DE_truth
TDGP1,DSG,-0.05285093582715608,1.1154772174199363,-0.07624778302417892,1.0392294343957573,0.9038025545542127,-0.0723525048929582,False
ZNF500,DCG,-1.0384641689095289,1.4374053123072983,-1.498187106626656,-0.06078179431935782,-0.19740297324820674,-1.4942918284954367,True
NEK8,DSG,0.13534970794762502,1.2580163310671693,0.19526835244180812,1.4532846835089774,1.3191620137495426,0.1991636305730293,False
GABBR1,DSG,-0.0885033506898654,-0.7369655941662062,-0.12768334514232563,-0.8646489393085318,-0.9982571849272474,-0.12378806701110599,False
CARS2,DIG,0.7254819350045919,0.32192809488736235,1.046649189885654,1.3685772847730164,1.2334589073958635,1.0505444680168736,True
DIPK2A,DSG,0.08498499981575487,-0.7369655941662062,0.12260743778413902,-0.6143581563820673,-0.747966402000783,0.12650271591535828,False
HAS2-AS1,DCG,-0.9736257409445723,1.3267290811511836,-1.404645028142577,-0.07791594699139348,-0.21439530504736828,-1.400749750011358,True
IQCK,DCG,-0.9419441289553306,1.1429579538420431,-1.3589381236383298,-0.21598016979628665,-0.3519777192796987,-1.35504284550711,True
EPB42,NEUTRAL,-0.029369740819251013,0.13750352374993502,-0.0423715794321276,0.09513194431780742,-0.03847630130090565,-0.03847630130090565,False
LINC02456,NEUTRAL,0.03539794870236189,0.13750352374993502,0.05106844505053942,0.18857196880047444,0.05496372318176057,0.05496372318175995,False
TIMM17BP1,DSG,-0.009903167494655944,-0.7369655941662062,-0.014287250633632911,-0.7512528447998391,-0.8848610904185469,-0.010391972502411044,False
KRT13,DIG,1.0567662453619933,0.35989594508638295,1.5245914215625973,1.8844873666489803,1.751369943046917,1.5284866996938173,True
VASN,DCG,-0.8584995084140987,1.3785116232537298,-1.2385529833946332,0.13995863985909662,0.0035859688273250845,-1.234657705263412,True
SNORD54,DCG,-1.1265522089675943,1.450661409009565,-1.6252712851800555,-0.1746098761704904,-0.3058688851860498,-1.6213760070488343,True
PPP1R12A,DIG,0.6227771692803273,0.5109619192773794,0.8984775336995948,1.4094394529769743,1.2783520225752913,0.9023728118308151,True
PNKD,NEUTRAL,-0.011188265325949402,0.13750352374993502,-0.016141254901897144,0.12136226884803787,-0.012245976770673836,-0.012245976770674967,False
CLEC12A-AS1,DSG,-0.004083884104778991,1.1429579538420431,-0.005891799345529914,1.1370661544965133,1.0020730585206243,-0.0019965212143090555,False
RFC2,DSG,-0.15765712114151134,1.3074285251922473,-0.227451146831689,1.0799773783605584,0.9475817139770535,-0.22355586870046873,False
PWWP2A,DIG,-0.9504113622831943,0.5193741590935794,-1.3711537591704885,-0.8517796000769091,-0.9848502818285064,-1.3672584810392687,True
BRD4,DIG,1.4225206755998914,0.5929552914746871,2.052263524249981,2.645218815724668,2.505223919988534,2.0561588023812005,True
ST6GALNAC1,DCG,-0.668479797637246,1.132028393683784,-0.9644124889857126,0.16761590469807142,0.035321353978870235,-0.9605172108544927,True
BASP1,DCG,-0.9557348808268247,1.415037499278844,-1.3788339729734644,0.036203526305379485,-0.09629649888800337,-1.3749386948422437,True
