"","sample44","sample45","sample46","sample47","sample48","sample49","sample50","sample51","sample52","sample53","sample54","sample55","sample56","sample57","sample58","sample59","sample60","sample61","sample62","sample63","sample64","sample65","sample66","sample67","sample68","sample69","sample70","sample71","sample72","sample73","sample74","sample75","sample76","sample77","sample78","sample79","sample80","sample81","sample82","sample83","sample84","sample85","sample86"
"AL158212.3",0.5,1,1.5,1.5,1,2,1,1.5,1.5,1,1,1,1,1,1.5,1,0.5,1.5,1,1,1,1,1,1.5,1,0.5,1,1,1,1,1,1.5,1.5,2,1,1,1,1,1.5,1.5,1,1,1
"AL158212.5",0.5,1,1.5,1.5,1,2,1,1.5,1.5,1,1,1,1,1,1.5,1,0.5,1.5,1,1,1,1,1,1.5,1,0.5,1,1,1,1,1,1.5,1.5,2,1,1,1,1,1.5,1.5,1,1,1
"AL158801.4",0.5,1.5,1.5,2,1.5,2,1.5,2,1.5,1,1,1.5,1,1,2.5,1,1,1.5,1.5,1,1,1,2,2,1,1,1,1.5,1,1,0.5,1.5,2,2,1,1,1,0.5,1.5,1.5,2,1,1
"AL159166.1",1,1,1.5,1.5,1,2,1,2,2,1.5,1,1.5,1,1,1.5,1,0.5,2,1,1,1,1,1,2,1,1,1,0.5,1,1,1,2,2,2,1,1,1,1,1.5,2,1,1,1
"AL159169.2",1,1,1.5,1,1,2.5,1,1.5,1.5,2,1.5,1.5,1,1,1,0.5,0.5,1,3.5,1,1,1,1.5,1,1,1,0.5,0.5,2,3.5,1.5,1.5,1,1.5,0.5,0.5,1,0.5,1,1,1,0.5,3.5
"AL160272.1",1,1.5,2,2,1,2,1.5,2.5,1.5,2,1.5,1.5,1,1,2,0.5,1,2,2,1,1,1,1,2,1,1,1,1,2,0.5,1.5,1.5,2,1.5,1,1,1,1,1,2,1,1.5,1
"AL160408.1",1,1.5,2,1.5,1,2.5,1.5,2,1.5,1,1,1.5,1,2.5,2,1,1,1.5,1,1,1,1,1,2,1,1,1,1,2,1,1,2.5,1.5,3,1,1,1.5,1.5,1.5,2,2.5,1.5,1
"AL160408.3",1,1.5,2,1.5,1,2.5,1.5,2,1.5,1,1,1.5,1,2.5,2,1,1,1.5,1,1,1,1,1,2,1,1,1,1,2,1,1,2.5,1.5,3,1,1,1.5,1.5,1.5,2,2.5,1.5,1
"AL161421.1",0.5,1.5,1.5,1,1,2,1,2,1.5,1,1,2.5,1,1,1.5,1,0.5,1,1,1,1,1,1.5,1.5,1,1,0.5,1,1,1.5,1.5,2.5,2.5,1,0.5,0.5,1,1,1,2,1.5,0.5,1
"AL161431.1",0.5,1.5,1,1,1,3,1,2,1.5,1,1,1.5,1,1,1.5,1,1,1,1,1,1,1,3.5,2.5,1,1.5,0.5,1,1,1.5,1,2.5,2,2,0.5,0.5,1,1,1,2,1.5,0.5,1
"AL161618.1",1,1,1.5,1.5,1,2,1,2,2,1.5,1,1.5,1,1,1.5,1,0.5,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1.5,2,1,0.5,1,1,1.5,2,1.5,1,1
"AL161636.1",1.5,2,2,1.5,1,1.5,1.5,2,1.5,1,1,1.5,1,2.5,2,1,1,3,1,1,1,1,1,2,1,1,1,1,2,1,1,2.5,1.5,2,1,1,1.5,1.5,1.5,2,2.5,1.5,1
"AL161668.3",1,1.5,3.5,2,1.5,2,3.5,1,1.5,1,1,1.5,1,1,2.5,1,1,1.5,1.5,1,1,0.5,1.5,2,1,1,1,1.5,2,1,0.5,1.5,1,2,1,1,1,0.5,1.5,1.5,2,0.5,1
"AL161668.4",1,1.5,3.5,2,1.5,2,3.5,1,1.5,1,1,1.5,1,1,2.5,1,1,1.5,1.5,1,1,0.5,1.5,2,1,1,1,1.5,2,1,0.5,1.5,1,2,1,1,1,0.5,1.5,1.5,2,0.5,1
"AL161772.1",0.5,1.5,1.5,1,1,2,1,2,1.5,1,1,1.5,1,1,1.5,1,0.5,1,1,1,1,1,1.5,1,1,1,0.5,0.5,1,0.5,0.5,2.5,2.5,1.5,0.5,0.5,1,0.5,1,2,1.5,0.5,1
"AL161785.1",1,1.5,2,2,1,2,1.5,2.5,1.5,2,1.5,1.5,1,1,2,0.5,1,2,2,1,1,1,1,2,1,1,1,1,2,0.5,1.5,1.5,2,1.5,1,1,1,1,1,2,1,1.5,1
"AL161787.1",1,1,2,2,1,2,1.5,2.5,1.5,2,1.5,1.5,1,1,2,0.5,1,2,2,1,1,1,1,2,1,1,1,1,1.5,1,1.5,1.5,1,1.5,1,1,1,1,1,2,1,1.5,1
"AL161891.1",0.5,1.5,1.5,1,1,2,1,2,1.5,1,1,1.5,1,1,1.5,1,0.5,1,1,1,1,1,1.5,1,1,1,0.5,1,1,1.5,0.5,2.5,2.5,1.5,0.5,0.5,1,1,1,2,1.5,0.5,1
"AL161908.1",1,1.5,2,2,1,2,1.5,2.5,1.5,2,1.5,1.5,1,1,2,0.5,1,2,2,1,1,1,1,2,1,1,1,1,2,0.5,1.5,1.5,2,1.5,1,1,1,1,1,2,1,1.5,1
"AL162171.1",0.5,1,1.5,2,1.5,2,1.5,2,1.5,1,1,1.5,1,1,2.5,1,1,1.5,1.5,1,1,1,2,2,1,1,1,2,1,1,0.5,1.5,2,2,1,1,1,0.5,1.5,2,2,1.5,1
"AL162171.3",0.5,1,1.5,2,1.5,2,1.5,2,1.5,1,1,1.5,1,1,2.5,1,1,1.5,1.5,1,1,1,2,2,1,1,1,2,1,1,0.5,1.5,2,2,1,1,1,0.5,1.5,2,2,1.5,1
"AL162231.2",1,1,1.5,1,3.5,2,1,1.5,1.5,2,1.5,1.5,0.5,1,1,0.5,0.5,3.5,1.5,1,1,1,1,3,1,1,0.5,1,2,1,1.5,1.5,1,1.5,0.5,1,1,1,1,1,1,0.5,3.5
"AL162311.3",0.5,1.5,3.5,2,1.5,2,1.5,1,1.5,1,1,1.5,1,1,2.5,1,1,1.5,1.5,1,1,1,2,2,1,1,1,1.5,2,1,0.5,1.5,2,2,1,1,1,0.5,1.5,1.5,2,1,1
"AL162377.1",0.5,1.5,1.5,1,1,2,1,2,1.5,1,1,2.5,1,1,1.5,1,0.5,1,1,1,1,1,1.5,1.5,1,1,0.5,1,1,1.5,1.5,2.5,2.5,1,0.5,0.5,1,1,1,2,1.5,0.5,1
"AL162424.1",1,1.5,2,2,1,2,1.5,2.5,1.5,2,1.5,1.5,1,1,2,0.5,1,2,2,1,1,1,1,2,1,1,1,1,2,0.5,1.5,1.5,2,1.5,1,1,1,1,1,2,1,1.5,1
"AL162431.1",1.5,2,2,1.5,1,1.5,1.5,2,1.5,1,1,1.5,1,2.5,2,1,1,1.5,1,1,1,1,1,2,1,1,1,1,2,1,1,2.5,1.5,2,1,1,1.5,1.5,1.5,2,2.5,1.5,1
"AL162458.1",1,1.5,1.5,2,1,3,1,2,2,1,1,1.5,1,2,1.5,1,1.5,1,1,1,1,1,2,2.5,1,1,1,1,2,1.5,1,3,3,1.5,1,1,1,1,1.5,2,1.5,1.5,1
"AL162586.1",1,1.5,2,2,1,2,1.5,2.5,1.5,2,1.5,1.5,1,1,2,0.5,1,2,2,1,1,1,1,2,1,1,1,1,2,0.5,1.5,1.5,2,1.5,1,1,1,1,1,2,1,1.5,1
"AL162595.1",1,1.5,2,1.5,1,2.5,1.5,2,1.5,1,1,1.5,1,2.5,2,1,1,1.5,1,1,1,1,1,2,1,1,1,1,2,1,1,2.5,1.5,3,1,1,1.5,1.5,1.5,2,2.5,1.5,1
"AL162718.1",1,1,1.5,1.5,1,2,1,2,2,1.5,1,1.5,1,1,1.5,1,0.5,2,1,1,1,1,1,2,1,1,1,0.5,1,1,1,2,2,2,1,1,1,1,1.5,2,1,1,1
"AL353135.2",1,1,2,1.5,1,2,1,2,2,1.5,1,1.5,1,1,1,1,1,1,1.5,1,1,1,1,2,1,1,1,1,2,1,1,2,1.5,2,1,1,1,1,2,2,1,1,1
"AL353150.1",1,1,2,2,1,2,1.5,2.5,1.5,2,1.5,1.5,1,1,2,0.5,1,2,2,1,1,1,1,2,1,1,1,1,1.5,1,1.5,1.5,1,1.5,1,1,1,1,1,2,1,1.5,1
"AL353593.1",1,1.5,2,1.5,1,2.5,1.5,2,1.5,1,1,1.5,1,2.5,2,1,1,1.5,1,1,1,1,1,2,1,1,1,1,2,1,1,2.5,1.5,3,1,1,1.5,1.5,1.5,2,2.5,1.5,1
"AL353622.1",1,1,1,1.5,1,2,1,2,1.5,1,1,1,1,1,1,1,1,1.5,1,1,1,1,1.5,2,1,1,1,1,1,1,1,2,1.5,1.5,1,1,1,0.5,1.5,1,1,1,1
"AL353743.1",1,1,2,2,1,2,1.5,2.5,1.5,2,1.5,1.5,1,1,2,0.5,1,2,2,1,1,1,1,2,1,1,1,1,1.5,1,1.5,1.5,1,1.5,1,1,1,1,1,2,1,1.5,1
"AL353807.3",1.5,2,2,1.5,1,1.5,1.5,2,1.5,1,1,1.5,1,2.5,2,1,1,3,1,1,1,1,1,2,1,1,1,1,2,1,1,2.5,1.5,2,1,1,1.5,1.5,1.5,2,2.5,1.5,1
"AL353807.5",1.5,2,2,1.5,1,1.5,1.5,2,1.5,1,1,1.5,1,2.5,2,1,1,3,1,1,1,1,1,2,1,1,1,1,2,1,1,2.5,1.5,2,1,1,1.5,1.5,1.5,2,2.5,1.5,1
"AL354696.1",0.5,1.5,1.5,1,1,2,1,2,1.5,1,1,1.5,1,1,1.5,1,0.5,1,1,1,1,1,1.5,1,1,1,0.5,1,1,1.5,0.5,2.5,2.5,1,0.5,0.5,1,1,1,2,1.5,0.5,1
"AL354696.2",0.5,1.5,1.5,1,1,2,1,2,1.5,1,1,1.5,1,1,1.5,1,0.5,1,1,1,1,1,1.5,1,1,1,0.5,1,1,1.5,0.5,2.5,2.5,1,0.5,0.5,1,1,1,2,1.5,0.5,1
"AL354714.2",1.5,2,2,1.5,1,1.5,1.5,2,1.5,1,1,1.5,1,2.5,2,1,1,1.5,1,1,1,1,1,2,1,1,1,1,2,1,1,2.5,1.5,2,1,1,1.5,1.5,1.5,2,2.5,1.5,1
"AL354766.2",1,1.5,1.5,2,1,3,1,2,2,1,1,1.5,1,2,1.5,1,1.5,1,1,1,1,1,2,2.5,1,1,1,1,2,1.5,1,3,2,1.5,1,1,1,1,1.5,2,1.5,1.5,1
"AL354833.1",0.5,1.5,1.5,1,1,2,1,2,1.5,1,1,1.5,1,1,1.5,1,0.5,1,1,1,1,1,1.5,1.5,1,1,0.5,1,1,1.5,0.5,2.5,2.5,1,0.5,0.5,1,1,1,2,1.5,0.5,1
"AL354836.1",1,1.5,1.5,2,1,3,1,2,2,1,1,1.5,1,2,1.5,1,1.5,1,1,1,1,1,2.5,2.5,1,1,1,1,2,1.5,1,3,3,1.5,1,1,1,1,1.5,2,1.5,1.5,1
"AL354892.2",1,1,1.5,1.5,1,2,1,2,2,1.5,1,1,1,1,1,1,1,1,1.5,1,1,1,0.5,2.5,1,1,1,0.5,2,1,1,2,1.5,1,1,1,1,1,1,1,1,1,1
"AL354892.3",1,1,1.5,1.5,1,2,1,2,2,1.5,1,1,1,1,1,1,1,1,1.5,1,1,1,0.5,2.5,1,1,1,0.5,2,1,1,2,1.5,1,1,1,1,1,1,1,1,1,1
"AL354920.1",1,1,2,2,1,2,1.5,2.5,1.5,2,1.5,1.5,1,1,2,0.5,1,2,2,1,1,1,1,2,1,1,1,1,1.5,1,1.5,1.5,1,1.5,1,1,1,1,1,2,1,1.5,1
"AL354953.1",1.5,2,2,1.5,1,1.5,1.5,2,1.5,1,1,1.5,1,2.5,2,1,1,1.5,1,1,1,1,1,2,1,1,1,1,2,1,1,2.5,1.5,2,1,1,1.5,1.5,1.5,2,2.5,1.5,1
"AL355312.1",1,1,1.5,1.5,1,2,1,2,2,1.5,1,1,1,1,1,1,1,1,1.5,1,1,1,1,2.5,1,1,1,1,2,1,1,2,1.5,1,1,1,1,1,1,1,1,1,1
"AL355312.3",1,1,1.5,1.5,1,2,1,2,2,1.5,1,1,1,1,1,1,1,1,1.5,1,1,1,1,2.5,1,1,1,1,2,1,1,2,1.5,1,1,1,1,1,1,1,1,1,1
"AL355312.5",1,1,1.5,1.5,1,2,1,2,2,1.5,1,1,1,1,1,1,1,1,1.5,1,1,1,1,2.5,1,1,1,1,2,1,1,2,1.5,1,1,1,1,1,1,1,1,1,1
"AL355353.1",1,1,2,1.5,1,2,1,2,2,1.5,1,1.5,1,1,1.5,1,0.5,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1.5,2,1,0.5,1,1,1.5,2,1.5,1,1
"AL355355.2",1.5,1,1.5,1,1,2,2,1.5,1.5,1,1,1,1,0.5,1.5,1,1,3,0.5,1,1,1,1,1.5,0.5,0.5,0.5,1.5,1,1,1,1.5,1,1.5,0.5,1,1.5,1,1.5,1.5,0.5,1,1
"AL355574.1",1,1,2,2,1,2,1.5,2.5,1.5,2,1.5,1.5,1,1,2,0.5,1,2,2,1,1,1,1.5,1,1,1,1,1,2,0.5,1.5,1.5,2,1.5,1,1,1,1,1,2,1,1.5,1
"AL355596.1",1,1,1.5,1.5,1,2,1,2,2,1.5,1,1,1,1,1,1,1,1,1.5,1,1,1,1,2.5,1,1,1,1,2,1,1,2,1.5,1,1,1,1,1,1,1,1,1,1
"AL355596.2",1,1,1.5,1.5,1,2,1,2,2,1.5,1,1,1,1,1,1,1,1,1.5,1,1,1,1,2.5,1,1,1,1,2,1,1,2,1.5,1,1,1,1,1,1,1,1,1,1
"AL355607.2",1,1,2,2,1,2,1.5,2.5,1.5,2,1.5,1.5,1,1,2,0.5,1,2,2,1,1,1,1,2,1,1,1,1,1.5,1,1.5,1.5,1,1.5,1,1,1,1,1,2,1,1.5,1
"AL355802.1",1,1,1.5,1.5,1,2,1,2,2,1.5,1,1.5,1,1,1.5,1,0.5,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1.5,2,1,0.5,1,1,1.5,2,1.5,1,1
"AL355916.1",0.5,1.5,1.5,2,1.5,2,1.5,2,1.5,1,1,1.5,1,1,2.5,1,1,1.5,1.5,1,1,1,2,2,1,1,1,1.5,1,1,0.5,1.5,2,2,1,1,1,0.5,1.5,1.5,2,1,1
"AL355916.2",0.5,1.5,1.5,2,1.5,2,1.5,2,1.5,1,1,1.5,1,1,2.5,1,1,1.5,1.5,1,1,1,2,2,1,1,1,1.5,1,1,0.5,1.5,2,2,1,1,1,0.5,1.5,1.5,2,1,1
"AL355987.4",1,1,2,2,1,2,1.5,2.5,1.5,2,1.5,1.5,1,1,2,0.5,1,2,2,1,1,1,1.5,1,1,1,1,1,2,0.5,1.5,1.5,2,1.5,1,1,1,1,1,2,1,1.5,1
"AL356019.2",1,1.5,3.5,2,1.5,2,3.5,1,1.5,1,1,1.5,1,1,2.5,1,1,1.5,1.5,1,1,0.5,1.5,2,1,1,1,1.5,2,1,0.5,1.5,1,2,1,1,1,0.5,1.5,1.5,2,0.5,1
"AL356123.2",1,1,1.5,1.5,1,2,1,2,2,1.5,1,1,1,1,1,1,1,1,1.5,1,1,1,0.5,2.5,1,1,1,0.5,2,1,1,2,1.5,1,1,1,1,1,1,1,1,1,1
"AL356215.1",1,1,2,1.5,1,2,1,2,2,1,1,1.5,1,0.5,1.5,1,1,1,1,1,1,0.5,1,2,1,1,1,1,2,1,1.5,3.5,2,1.5,0.5,1,1,1,1,1,1,1,1
"AL356218.2",1,1,1.5,1,2,2,1,1.5,1.5,2,1.5,1.5,0.5,1,1,0.5,0.5,1,1.5,1,1,1,1,1,1,1,0.5,1,2,1,1.5,1.5,1,1.5,0.5,1,1,1,1,1,1,0.5,0.5
"AL356234.3",1,1,1.5,1.5,1,2,1,2,2,1.5,1,2.5,1,1,1,1,1,1,1.5,1,1,1,1,2.5,1,1,1,1,2,1,1,2,1.5,3,1,1,1,1,1,1,1,1,1
"AL356273.3",1.5,2,2,1.5,1,1.5,1.5,2,1.5,1,1,1.5,1,2.5,2,1,1,1.5,1,1,1,1,1,2,1,1,1,1,2,1,1,2.5,1.5,2,1,1,1.5,1.5,1.5,2,2.5,1.5,1
"AL356481.1",1,1.5,2,2,1,2,1.5,2.5,1.5,2,1.5,1.5,1,1,2,0.5,1,2,2,1,1,1,1,2,1,1,1,1,2,0.5,1.5,1.5,2,1.5,1,1,1,1,1,2,1,1.5,1
"AL356489.2",1,1,1.5,1,2,2,1,1.5,1.5,2,1.5,1.5,0.5,1,1,0.5,0.5,3.5,1.5,1,1,1,1,3,1,1,0.5,1,2,1,1.5,1.5,1,1.5,0.5,1,1,1,1,1,1,0.5,0.5
"AL356534.1",1,1,2,1.5,1,2,1,2,2,1.5,1,1.5,1,1,1,1,1,1,1.5,1,1,1,1,2.5,1,1,1,1,2,1,1,2,1.5,2,1,1,1,1,1,2,1.5,1,1
"AL356776.2",1,1,2,1.5,1,2,1,2,2,1.5,1,1.5,1,1,1,1,1,1,1.5,1,1,1,1,2,1,1,1,1,2,1,1,2,1.5,2,1,1,1,1,1,2,1,1,1
"AL356867.1",1.5,2,2,1.5,1,1.5,1.5,2,1.5,1,1,1.5,1,2.5,2,1,1,3,1,1,1,1,1,2,1,1,1,1,2,1,1,2.5,1.5,2,1,1,1.5,1.5,1.5,2,2.5,1.5,1
"AL357033.1",1,1.5,1.5,2,1,3,1,2,2,1,1,1.5,1,2,1.5,1,1.5,1,1,1,1,1,2.5,2.5,1,1,1,1,2,1.5,1,3,3,1.5,1,1,1,1,1.5,2,1.5,1.5,1
"AL357033.3",1,1.5,1.5,2,1,3,1,2,2,1,1,1.5,1,2,1.5,1,1.5,1,1,1,1,1,2.5,2.5,1,1,1,1,2,1.5,1,3,3,1.5,1,1,1,1,1.5,2,1.5,1.5,1
"AL357033.4",1,1.5,1.5,2,1,3,1,2,2,1,1,1.5,1,2,1.5,1,1.5,1,1,1,1,1,2.5,2.5,1,1,1,1,2,1.5,1,3,3,1.5,1,1,1,1,1.5,2,1.5,1.5,1
"AL357079.1",1,1.5,1,1,1,2,1,2,1.5,1,1,1,1,1,1,1,1,3.5,1,1,1,1,1.5,2,1,1,1,1,1,1,1,3,1.5,1.5,1,1,1,0.5,1.5,2,1,1,1
"AL357093.2",0.5,1,1.5,2,1.5,2,1.5,2,1.5,1,1,1.5,1,1,2.5,1,1,1.5,1.5,1,1,1,2,2,1,1,1,2,1,1,0.5,1.5,2,2,1,1,1,0.5,1.5,2,2,1.5,1
"AL357153.1",0.5,1,1.5,2,1.5,2,1.5,2,1.5,1,1,1.5,1,1,2.5,1,1,1.5,1.5,1,1,1,2,2,1,1,1,2,1,1,0.5,1.5,2,2,1,1,1,0.5,1.5,1.5,2,1,1
"AL357556.3",1,1.5,2,1.5,1,2.5,1.5,2,1.5,1,1,1.5,1,2.5,2,1,1,1.5,1,1,1,1,1,2,1,1,1,1,2,1,1,2.5,1.5,3,1,1,1.5,1.5,1.5,2,2.5,1.5,1
"AL358115.1",1.5,2,2,1.5,1,1.5,1.5,2,1.5,1,1,1.5,1,2.5,2,1,1,1.5,1,1,1,1,1,2,1,1,1,1,2,1,1,2.5,1.5,2,1,1,1.5,1.5,1.5,2,2.5,1.5,1
"AL358334.2",3.5,1.5,1.5,2,1.5,2,1.5,2,1.5,1,1,1.5,1,1,2.5,1,1,1.5,1.5,1,1,1,2,2,1,1,1,1.5,1,1,0.5,1.5,2,2,1,1,1,0.5,1.5,1.5,2,1,1
"AL358472.2",1.5,2,2,1.5,1,1.5,1.5,2,1.5,1,1,1.5,1,2.5,2,1,1,3,1,1,1,1,1,2,1,1,1,1,2,1,1,2.5,1.5,2,1,1,1.5,1.5,1.5,2,2.5,1.5,1
"AL358472.3",1.5,2,2,1.5,1,1.5,1.5,2,1.5,1,1,1.5,1,2.5,2,1,1,3,1,1,1,1,1,2,1,1,1,1,2,1,1,2.5,1.5,2,1,1,1.5,1.5,1.5,2,2.5,1.5,1
"AL358472.4",1.5,2,2,1.5,1,1.5,1.5,2,1.5,1,1,1.5,1,2.5,2,1,1,3,1,1,1,1,1,2,1,1,1,1,2,1,1,2.5,1.5,2,1,1,1.5,1.5,1.5,2,2.5,1.5,1
"AL358473.2",1,1.5,2,1.5,1,2.5,1.5,2,1.5,1,1,1.5,1,2.5,2,1,1,1.5,1,1,1,1,1,2,1,1,1,1,2,1,1,2.5,1.5,3,1,1,1.5,1.5,1.5,2,2.5,1.5,1
"AL358777.3",1,1,1.5,1.5,1,2,1,2,2,1.5,1,1.5,1,1,1.5,1,0.5,2,1,1,1,1,1,2,1,1,1,0.5,1,1,1,2,2,2,1,1,1,0.5,1.5,2,1,1,1
"AL358852.1",1,1,1.5,1.5,1,2,1,2,2,1.5,1,1,1,1,1,1,1,1,1.5,1,1,1,1,2.5,1,1,1,1,2,1,1,2,1.5,1,1,1,1,1,1,1,1,1,1
"AL359220.1",0.5,1.5,1.5,2,1.5,2,1.5,2,1.5,1,1,1.5,1,1,2.5,1,1,1.5,1.5,1,1,1,2,2,1,1,1,1.5,1,1,0.5,1.5,2,2,1,1,1,0.5,1.5,1.5,2,1,1
"AL359232.1",0.5,1.5,1.5,2,1.5,2,1.5,2,1.5,1,1,1.5,1,1,2.5,1,1,1.5,1.5,1,1,1,2,2,1,1,1,1.5,1,1,0.5,1.5,2,2,1,1,1,0.5,1.5,1.5,2,1,1
"AL359513.1",0.5,1.5,1.5,1,1,2,1,2,1.5,1,1,2.5,1,1,1.5,1,0.5,1,1,1,1,1,1.5,1.5,1,1,0.5,1,1,1.5,1.5,2.5,2.5,1,0.5,0.5,1,1,1,2,1.5,0.5,1
"AL359636.2",1,1.5,2,2,1,2,1.5,2.5,1.5,2,1.5,1.5,1,1,2,0.5,1,2,2,1,1,1,1,2,1,1,1,1,2,0.5,1.5,1.5,2,1.5,1,1,1,1,1,2,1,1.5,1
"AL359643.2",1,1,1.5,1.5,1,2,1,2,2,1.5,1,1.5,1,1,1.5,1,0.5,2,1,1,1,1,1,2,1,1,1,0.5,1,1,1,2,2,2,1,1,1,1,1.5,2,1,1,1
"AL359711.2",1,1,2,1.5,1,2,1,2,2,1.5,1,1.5,1,1,1,1,1,1,1.5,1,1,1,1,2.5,1,1,1,1,2,1,1,2,1.5,2,1,1,1,1,1,2,1,1,1
"AL359715.1",1,1,2,1.5,1,2,1,2,2,1.5,1,1.5,1,1,1,1,1,1,1.5,1,1,1,1,2,1,1,1,1,2,1,1,2,1.5,2,1,1,1,1,1,2,1,1,1
"AL359715.2",1,1,2,1.5,1,2,1,2,2,1.5,1,1.5,1,1,1,1,1,1,1.5,1,1,1,1,2,1,1,1,1,2,1,1,2,1.5,2,1,1,1,1,1,2,1,1,1
"AL359715.3",1,1,2,1.5,1,2,1,2,2,1.5,1,1.5,1,1,1,1,1,1,1.5,1,1,1,1,2,1,1,1,1,2,1,1,2,1.5,2,1,1,1,1,0.5,2,1,1,1
"AL359762.1",1,1,1,1,1,2,1,2,1.5,1,1,1.5,1,1,1,1,1,1.5,1,1,1,1,1,2,1,1,1,1,1,1,1,1.5,1.5,1.5,1.5,0.5,1,0.5,1,1.5,1,1,1
"AL359921.2",1,1.5,2,1.5,1,2.5,1.5,2,1.5,1,1,1.5,1,2.5,2,1,1,1.5,1,1,1,1,1,2,1,1,1,1,2,1,1,2.5,1.5,3,1,1,1.5,1.5,1.5,2,2.5,1.5,1
"AL359979.1",1,1.5,2,1.5,1,2.5,1.5,2,1.5,1,1,1.5,1,2.5,2,1,1,1.5,1,1,1,1,1,2,1,1,1,1,2,1,1,2.5,1.5,3,1,1,1.5,1.5,1.5,2,2.5,1.5,1
"AL360181.2",0.5,1,1.5,1.5,1,2,1,1.5,1.5,1,1,1,1,1,1.5,1,0.5,1.5,1,1,1,1,1,1.5,1,0.5,1,1,1,1,1,1.5,1.5,2,1,1,1,1,1.5,1.5,1,1,1
"AL365181.3",1.5,2,2,1.5,1,1.5,1.5,2,1.5,1,1,1.5,1,2.5,2,1,1,3,1,1,1,1,1,2,1,1,1,1,2,1,1,2.5,1.5,2,1,1,1.5,1.5,1.5,2,2.5,1.5,1
"AL365205.1",1,1,1.5,1.5,1,2,1,2,2,1.5,1,1.5,1,1,1.5,1,0.5,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,1,0.5,1,1,1.5,2,1.5,1,1
"AL365226.1",1,1,2,1.5,1,2,1,2,2,1.5,1,1.5,1,1,1,1,1,1,1.5,1,1,1,1,2,1,1,1,1,2,1,1,2,1.5,2,1,1,1,1,1,2,1.5,1,1
"AL365259.1",1,1,2,1.5,1,2,1,2,2,1.5,1,1.5,1,1,1,1,1,1,1.5,1,1,1,1,2.5,1,1,1,1,2,1,1,2,1.5,2,1,1,1,1,1,2,1,1,1
"AL365295.1",3.5,1.5,1.5,2,1.5,2,1.5,2,1.5,1,1,1.5,1,1,2.5,1,1,1.5,1.5,1,1,1,2,2,1,1,1,1.5,1,1,0.5,1.5,2,2,1,1,1,0.5,1.5,1.5,2,1,1
"AL365357.1",1.5,2,2,1.5,1,1.5,1.5,2,1.5,1,1,1.5,1,2.5,2,1,1,1.5,1,1,1,1,1,2,1,1,1,1,2,1,1,2.5,1.5,2,1,1,1.5,1.5,1.5,2,2.5,1.5,1
"AL390066.1",1,1,2,1,1,2,1,2,1.5,1,1,1,1,0.5,1,1,1,1.5,1,1,1,1,1,2,1,1,0.5,1,1,1,1,2.5,1.5,1.5,0.5,0.5,1,1,1,1.5,1,1,1
"AL390198.1",0.5,1.5,1.5,2,1,3,1.5,2,2.5,1,1,1.5,1,1,1.5,1,1,1,1,1,1,1,2,2.5,1,1,1,1,3,1,1,3,3,1.5,1,1,1,1,1,2,1.5,2,1
"AL390728.4",1,1,2,1.5,1,2.5,1.5,2,1.5,1,1,1.5,1,2.5,2,1,1,3,0.5,1,1,1,1,2,1,1,1,1,2,1,1,2.5,1.5,3,1,1,1.5,1.5,1.5,2,2.5,1.5,1
"AL390728.6",1,1,2,1.5,1,2.5,1.5,2,1.5,1,1,1.5,1,2.5,2,1,1,3,0.5,1,1,1,1,2,1,1,1,1,2,1,1,2.5,1.5,3,1,1,1.5,1.5,1.5,2,2.5,1.5,1
"AL390755.2",0.5,1.5,1,1,1,3,1,2,1.5,1,1,1.5,1,1,1.5,1,1,1,1,1,1,1,3.5,2.5,1,1.5,0.5,1,1,1.5,1,2.5,3.5,2,0.5,0.5,1,1,1,2,1.5,0.5,1
"AL391001.1",1.5,2,2,1.5,1,1.5,1.5,2,1.5,1,1,1.5,1,2.5,2,1,1,1.5,1,1,1,1,1,2,1,1,1,1,2,1,1,2.5,1.5,2,1,1,1.5,1.5,1.5,2,2.5,1.5,1
"AL391056.1",1,1.5,2,2,1,2,1.5,2.5,1.5,2,1.5,1.5,1,1,2,0.5,1,2,2,1,1,1,1,2,1,1,1,1,2,0.5,1.5,1.5,2,1.5,1,1,1,1,1,2,1,1.5,1
"AL391095.1",1,1.5,1.5,2,1,3,1,2,2,1,1,1.5,1,2,1.5,1,1.5,1,1,1,1,1,2,2.5,1,1,1,1,2,1.5,1,3,3,1.5,1,1,1,1,1.5,2,1.5,1.5,1
"AL391121.1",0.5,1,1.5,1.5,1,2,1,1.5,1.5,1,1,1,1,1,1.5,1,0.5,1.5,1,1,1,1,1,1.5,1,0.5,0.5,1,1,1,1,1.5,1.5,2,1,1,1,1,1.5,1.5,1,1,1
"AL391422.4",1,1,1.5,1.5,1,2,1,2,2,1.5,1,1.5,1,1,1.5,1,0.5,2,1,1,1,1,1,2,1,1,1,0.5,1,1,1,2,2,2,1,1,1,1,1.5,2,1,1,1
"AL391560.2",0.5,1.5,1.5,1,1,2,1,2,1.5,1,1,1.5,1,1,1.5,1,0.5,1,1,1,1,1,1.5,3.5,1,1,0.5,1,1,0.5,0.5,2.5,2.5,1.5,0.5,0.5,1,1,1,2,1.5,0.5,1
