,padjScreen,p_naive,p_aware
BBX,4.383590418778698e-05,0.007844908457295236,2.577675744299957e-05
BCAM,9.884241677987876e-11,8.184246826549799e-07,5.8122150087294246e-11
BCAN,8.967769768285162e-17,5.27330348044136e-17,0.08002420402397786
BCAP29,0.4476710301913105,,
BCAR1,0.8464583808358902,,
BCAR3,0.46549411108112615,,
BCAR3-AS1,3.739444025304734e-05,4.3977987176461285e-05,2.8879732137755385e-05
BCAS1,0.769908201807065,,
BCAS2,1.721855810250155e-05,0.0006190465911342459,1.0125001501623735e-05
BCAS3,0.00018381382577462873,0.00010808775339422485,1.0
BCAS4,6.788853827329972e-09,3.992038984148953e-09,0.0006676872929488396
BCAT2,0.15673525483522022,,
BCCIP,1.0365827671386712e-18,9.674844253032749e-17,6.095401259128392e-19
BCDIN3D,0.11038697132859648,,
BCDIN3D-AS1,1.6793898866337902e-05,9.875289802290987e-06,0.024175001448717218
BCHE,1.1618023314686981e-05,0.002229553170294986,6.831727883766025e-06
BCKDHB,0.002318649995735453,0.631296791925223,0.0013634320916308688
BCL10,0.29714100521274966,,
BCL11A,1.5311800074436979e-52,9.00377359261653e-53,3.5414045363601914e-36
BCL2A1,3.576905366872036e-07,2.103322008448768e-07,0.0006290844025217385
BCL2L1,3.1924479104496485e-11,0.022771121174950025,1.8772500981056142e-11
BCL2L13,9.29254056047792e-12,5.4642779359712614e-12,0.009593074276927795
BCL2L14,7.151284793257486e-18,0.13609305229269866,4.205158692106258e-18
BCL2L2,2.0620015905165415e-11,1.707925302586328e-08,1.2125155356241673e-11
BCL3,1.4156722170755526e-06,0.0036792242238528248,8.32455495888157e-07
BCL6,1.3648120784048973e-23,0.03244303130133797,8.025482889462261e-24
BCL6B,2.184818467724061e-53,1.2847353497774913e-53,1.948368774338022e-44
BCL7A,1.7121395312170654e-26,1.0067867019622056e-26,5.247513835725037e-17
BCL7B,1.4441349716570834e-19,4.845056941751072e-07,8.491924044703269e-20
BCL9L,0.3032432632876997,,
BCLAF1,0.1317082470149936,,
BCO1,0.2866615479139687,,
BCO2,1.4701539797239658e-05,8.142660548171648e-05,8.644923206526042e-06
BCRP3,6.916921982529243e-28,3.324659777090314e-23,4.067346698998457e-28
BCS1L,1.653804174618106e-16,9.724838544388457e-17,5.4775741389968585e-12
BCYRN1,0.023090824720527963,0.013578061158042606,0.41117550819095494
BDH1,3.5925338260243136e-35,2.112511986578347e-35,1.2869827591475308e-11
BDH2,1.809641457736262e-38,1.0641206056805806e-38,7.189754040496718e-35
BDNF,0.00017679858518474608,0.0004040997207361772,0.0001039625925599681
BDNF-AS,0.5595767966701692,,
BDP1,4.472190921133639e-06,2.6297753576385477e-06,0.26318707233604544
BEAN1,2.1822385916953504e-08,0.31229405802253696,1.2832183093546407e-08
BEND3,1.2855562125911566e-25,7.559435874607963e-26,4.6423104962587365e-17
BEND4,2.356170133974471e-09,0.008633244464576752,1.3854949992070842e-09
BEND5,0.5044138719987212,,
BEND6,5.79555966557011e-30,3.4079537884256494e-30,4.3691978539628546e-24
BEND7,1.21485299866036e-08,1.0926730997619281e-05,7.1436808834191615e-09
BEST1,1.5621496557772384e-36,1.4650967187400735e-25,9.185883926138765e-37
BEST4,0.24609797641411746,,
BET1,3.565715958320602e-05,2.096742318226676e-05,0.5138455546581475
