,padjScreen,p_naive,p_aware
ERICH6-AS1,4.263303132811217e-09,0.18220872638130553,1.143351484501061e-09
ERLEC1,5.440421092069974e-17,0.00944122548862025,8.403285012987521e-18
ERLIN1,5.299543471161442e-13,1.818176049896865e-12,1.0687867954082032e-13
ERMAP,0.0005682138297332895,0.01494336797610392,0.00023244371585738946
ERMARD,0.4213238673736262,,
ERN1,6.967208673251849e-25,5.589000658079144e-15,6.576649939635283e-26
ERN2,0.32452899923780076,,
ERO1B,0.00421012414660815,0.7957136377647195,0.001872673347857706
ERP27,2.2960169859804594e-05,0.0005445018070408192,8.305966373252622e-06
ERP29,0.22243084546746064,,
ERRFI1,0.0507091425548344,,
ERV3-1,0.0002097133693631633,8.2313398305666e-05,0.03487186097005284
ERVE-1,1.6425624973571635e-16,4.825715271787912e-14,2.6117778541167385e-17
ERVFRD-1,8.907640193558662e-24,4.148701839434327e-22,8.991818923910163e-25
ERVH48-1,0.0004499951251625554,0.12877004063565212,0.0001823594935554585
ERVK13-1,0.0005154239109391359,0.0008890959325666681,0.00020998136921528872
ERVK3-1,6.60089159186696e-05,0.05499753978755295,2.478406067693748e-05
ERVMER34-1,1.9813451608013522e-45,4.103507360286672e-46,6.432846724108056e-47
ESAM,9.640886097556534e-105,1.2467663179130141e-99,3.6236148347774775e-107
ESCO2,1.8334100511283007e-90,1.5565579194347742e-81,1.0894403940696517e-92
ESD,0.0168945427315007,0.008019102112675374,1.0
ESF1,4.400477649863969e-24,4.352276541585819e-25,1.1308027742470244e-07
ESM1,0.0015540190461053116,0.0006627499611719174,0.01381482888993118
ESPL1,9.098116922041246e-111,2.5728495018659024e-113,1.1657662347282077e-94
ESPN,2.0121490403507907e-32,1.2705580280565559e-33,3.07944667201731e-31
ESPNL,0.0019310397975648864,0.0017032081891853543,0.000831074294319968
ESR1,2.554455915857948e-06,0.00010052136722822099,8.512664326289965e-07
ESR2,0.7184676536554779,,
ESRP1,2.8182331907742973e-64,4.186593550155117e-66,1.5461141711457518e-35
ESRP2,0.139083303127656,,
ESRRA,0.0032296654008940107,0.0014201478613283763,0.5481390004266641
ESRRB,1.2145801695777252e-11,2.833519270353689e-07,2.698632271108584e-12
ESRRG,0.11807128595651727,,
ESYT1,3.621366909428205e-09,0.04811762677687672,9.662682181728895e-10
ESYT3,1.774791427652629e-66,5.7086240789044565e-42,2.3379268520051815e-68
ETAA1,1.7385302726410962e-08,4.897706631473879e-09,0.4109198689663211
ETF1,0.033292534126724414,0.01632330469407733,0.9589373436695566
ETFA,2.694888166555309e-12,5.718534167862211e-13,6.17171475562418e-07
ETFB,1.9623631927955198e-07,6.001729352536126e-08,0.007808345516873959
ETFBKMT,5.4694161640191385e-24,4.511344163683078e-10,5.464325785286875e-25
ETFDH,0.016667034107685517,0.007905147548927302,0.08073119700376195
ETHE1,0.023282956208704533,0.011223091648998255,1.0
ETNK1,6.741117875450392e-06,0.38686762358443216,2.32980716951151e-06
ETNK2,7.120677483579075e-46,2.278739143155675e-47,3.163792954672171e-30
ETS1,3.413303639182801e-16,1.6454692300236478e-14,5.5434416562759056e-17
ETS2,1.3082344205826433e-05,5.1578958340529566e-05,4.6319253486479545e-06
ETV1,5.1398949984524824e-20,9.811377366940753e-17,6.573899208716609e-21
ETV2,3.728687424779067e-08,1.0788581205072022e-08,0.01932903986443242
ETV3,0.03564534742934927,0.035045644061229494,0.023915903443478628
ETV4,2.1948880786808214e-49,6.049770262686971e-51,1.8727650442352473e-43
ETV5,1.026125016159627e-10,0.07270305744706802,2.4378550015218515e-11
ETV6,2.6493244646594953e-09,6.996014667738078e-10,0.007111250092041147
ETV7,0.2329333564835095,,
EVA1A,7.60959334953977e-14,5.6914502497678095e-09,1.4483178636706386e-14
EVA1C,1.5166657815576328e-06,6.671065307023548e-07,9.934117436619976e-07
EVC,0.05038336104113837,,
EVC2,0.7118142094685879,,
EVI2B,5.813397310912223e-22,5.84975080754159e-20,6.56545980667528e-23
EVI5,1.4485920169037582e-19,2.6771939167161336e-20,3.8112655083915463e-20
EVI5L,0.7413585980664914,,
EVPL,0.00044297576602372917,0.000179356346273425,0.10026179440141009
EWSR1,2.2025606107818953e-09,5.783140778953752e-10,0.3173904308962146
EXD1,1.8585962176063295e-10,1.5029795900757504e-10,4.502784650901932e-11
EXD2,0.03830094371373672,0.19081491546693477,0.018900945376488204
EXD3,0.002148054228568284,0.0120161340602922,0.0009290088484236113
EXO1,7.710215204016213e-143,4.139935139613516e-146,2.1168908552948594e-117
EXO5,8.7277583048483e-09,2.397509207882512e-09,1.189892852478077e-05
EXOC1,0.001561089975537468,0.0006658772962666262,0.02597924987278646
EXOC3L1,4.93689988906408e-42,3.9137870534769606e-41,1.8661820886496522e-43
EXOC3L2,3.569944518607543e-12,3.9915611875115764e-07,7.634181183477042e-13
EXOC4,1.474108664482847e-05,5.235576377791669e-06,0.05521707389332498
EXOC6B,1.80927176903042e-22,1.9850436612536644e-23,5.30609481844448e-09
EXOC7,4.522674440774647e-07,1.0,1.4246683519049576e-07
EXOC8,7.08566621076738e-16,0.001817127610212031,1.178407975917284e-16
EXOG,1.6394087199016316e-15,2.799248136429976e-16,0.752861425782685
EXOSC1,2.823793402941056e-10,1.7506149641451443e-09,6.924035226999654e-11
EXOSC10,0.0006055293666948308,0.0002483155936732525,0.001691048492338369
EXOSC3,3.2324838896357405e-23,1.3943512803037467e-19,3.372956235068795e-24
EXOSC4,9.006102094469229e-34,5.200043914081782e-35,3.41873440297496e-11
EXOSC5,4.887285248554633e-52,1.1791345423560362e-53,3.372186923295972e-31
EXOSC7,6.175183662542212e-22,0.00019595982628469686,6.98289131943401e-23
EXOSC8,1.626703449382887e-11,7.154794038146633e-05,3.644011378235291e-12
EXPH5,1.549676845836987e-06,4.370457983056406e-06,5.079607272812604e-07
EXT1,1.6850430951916255e-11,3.777715100653333e-12,0.013727163242658248
EXT2,1.1483802786456741e-08,3.1846012380684556e-09,3.9569736514396705e-05
EXTL1,0.0018408649138610888,0.0032778236105429903,0.0007905518460621235
EXTL2,0.755408553993224,,
EXTL3,1.4275771488094272e-13,5.2948128869689053e-08,2.773800387935843e-14
EXTL3-AS1,8.894710161296362e-12,6.1543787649727955e-09,1.96036406296899e-12
EYA1,0.00078054656128882,0.0003231321943479812,0.005263185431811807
EYA2,2.1441863186688373e-30,1.51050926229248e-31,2.0701407799653366e-26
EYA3,1.1066147812551264e-06,3.5940420641207625e-07,1.2076427926317639e-05
EYA4,0.08946759869945703,,
EYS,8.431312741981423e-07,2.7132553533223436e-07,6.624368283085607e-06
EZH1,2.1934695102674575e-28,4.10872004007601e-18,1.7344552363190197e-29
EZH2,1.3585149285911773e-104,5.1547316162179553e-107,4.230585394541795e-90
EZR,1.23652035794015e-10,5.7794060447192024e-09,2.955857298941982e-11
F11,6.601984773187639e-32,4.284578462839773e-33,7.885962578222732e-14
F11R,1.2437377048416633e-08,3.4632859414244344e-09,0.12414665897917912
F12,2.247820612452825e-81,5.161327224606701e-76,1.762144595243301e-83
F13A1,2.21351462837517e-06,8.791862445390714e-06,7.326879212695158e-07
F2R,0.18286669961823368,,
F2RL1,6.284807568545694e-28,7.239516282031171e-23,5.102356660030653e-29
F2RL2,7.573402006332772e-22,1.2731772505031153e-18,8.593815993726693e-23
F2RL3,3.0473020153468733e-22,7.102391854944605e-20,3.3858911281631926e-23
F3,0.3315891641009925,,
F5,0.005539807916202626,0.46293519353682405,0.0024976331867329633
FA2H,1.903649852476027e-42,0.2707257879273746,7.018754825495089e-44
FAAH,9.623249061006391e-05,0.00011622386119262593,3.663489897043348e-05
FAAHP1,0.6638867494010255,,
FAAP100,3.160089610348221e-10,7.78144918012078e-11,0.005463438843722291
FAAP24,8.603703590122592e-50,2.3283218478424545e-51,2.8934565886157586e-29
FABP3,7.161077350217811e-19,6.819265781162027e-18,9.804954490472198e-20
FABP4,1.4368815398308457e-32,7.964011954410702e-26,9.001083529152277e-34
FABP5,5.16759856541343e-07,1.6344824213915044e-07,0.0057817651767499015
FABP5P7,1.051926209108181e-08,2.907708400176609e-09,3.6457874472135226e-07
FABP6,0.02494961123815511,0.06270394693805656,0.012067552514674678
FABP6-AS1,0.016319654963725783,0.007731039296604633,0.08928649907743196
FADS1,0.23029112389910875,,
FADS2,1.481688998381485e-05,5.26515130545998e-06,0.00028135368733803884
FADS3,3.8008132520974855e-20,2.1747173896729228e-14,4.8272069796828035e-21
FAF1,3.063301701666525e-12,6.522236011423428e-13,3.059622090862233e-11
FAF2,3.779640616832094e-14,4.80032432031564e-07,7.058413909655296e-15
FAH,0.2641633147965117,,
FAHD1,1.0667354030437277e-09,2.7374807074815586e-10,1.8554330155405565e-07
FAHD2CP,0.0412328845940589,0.1182140067657364,0.020414233491567457
FAIM2,7.4129051517996335e-09,1.7623889744741848e-06,2.025440471924635e-09
FAM102A,2.0958953086850804e-17,3.1607985880191305e-18,5.172357317896377e-15
FAM104A,4.888565614199512e-20,6.243700641274291e-21,7.740109361790263e-05
FAM107A,2.815247467550042e-49,7.779821896293786e-51,1.3753834046259658e-40
FAM107B,8.183901855242584e-18,4.6280938488328295e-18,1.1999306271146057e-18
FAM110A,1.6767564337156827e-26,1.4597192321007087e-27,9.189792735211754e-11
FAM110B,0.002236089998696641,0.06635809478897124,0.0009682839602746733
FAM111A,0.00010159997404327173,0.2390015518724862,3.875099239085984e-05
FAM111A-DT,0.00016019033694074456,0.18181191141541672,6.218729253015374e-05
FAM111B,4.42046783863703e-50,1.1772723625236075e-51,3.4220982719507694e-42
FAM114A1,7.001793360248226e-08,7.920269991795248e-06,2.0705117035012385e-08
FAM114A2,3.772449382002989e-14,7.042283622260019e-15,2.508049930018336e-07
FAM117A,3.076025672783746e-51,0.45383203880634077,7.76273660979575e-53
FAM117B,1.06970030572495e-21,1.2241666227815955e-22,1.821280023785633e-15
FAM118A,0.0007457881763275263,0.00030807544225442627,0.01772521093964553
FAM118B,2.1503799715227017e-14,1.9006656925675046e-11,3.951908209406339e-15
FAM120B,0.06785695303029429,,
FAM124A,5.388440020681609e-10,1.3488459716719105e-10,5.297869485393242e-08
FAM124B,9.507756380789561e-35,7.506893027075874e-36,1.0359969366811077e-35
FAM126A,0.00029578567623266813,0.00011774887261538881,0.037676577941765904
FAM126B,7.2219984207419384e-06,0.11196294676554554,2.5032435104540445e-06
FAM131B,0.06417708797794476,,
FAM135A,5.397029371744367e-10,1.3513824618897426e-10,2.85400580772588e-07
FAM135B,1.7071316139197078e-21,9.290426528223528e-17,1.9817539461417571e-22
FAM136A,5.943784025596309e-51,1.521264883412572e-52,3.886414888510477e-23
FAM13A,0.0011872758893306053,0.0005003507676506735,0.004061924834869052
FAM13A-AS1,2.5335178948674838e-08,7.227998862433364e-09,9.431070401985878e-08
FAM13B,3.6010065069835455e-23,3.765227665699791e-24,4.561060640263379e-13
FAM13C,3.6003250286204854e-37,1.7179385964887987e-38,1.2068924317291642e-36
FAM149A,3.6282250507366826e-16,5.905476555591244e-17,1.152912393913774e-13
FAM149B1,0.01686770055312794,0.008005153706091431,0.038139569053276076
FAM151A,0.0002876651036265348,0.0001143720040800373,0.0003499722691964041
FAM151B,0.0007965046278142917,0.00032996664009503145,0.30689334910080895
FAM153A,0.28577331231214104,,
FAM153CP,5.51683720787019e-08,0.38217894734811453,1.6165818078330965e-08
FAM155A,0.06636708527554117,,
FAM160A1,4.93665302250516e-10,5.327821649690869e-09,1.2322194131560882e-10
FAM160A1-DT,1.6417174413545165e-07,8.567939657983795e-07,4.9887383160289565e-08
FAM160A2,0.016557666263865276,0.04003090241134787,0.007848532956260881
FAM160B1,1.2055395238485449e-13,0.023469370864736706,2.329863935158324e-14
FAM160B2,0.00040854779844452305,0.6710511706206047,0.00016478796509424707
FAM161A,3.2846062080825665e-15,5.727132316570082e-16,5.868718029174758e-06
FAM161B,2.8547505457279943e-12,1.7307919161579693e-08,6.067979932894053e-13
FAM162B,1.8056269661328274e-51,1.4291841438711245e-48,4.530872362754554e-53
FAM163B,3.7069186890820703e-06,0.8266413273599473,1.2535531520532045e-06
FAM166B,8.949563805108417e-11,2.1175764873914174e-11,1.430664811343078e-07
FAM166C,0.39756742125853217,,
FAM167A,1.9495066395614394e-21,2.272191300977966e-22,2.68671679474458e-18
FAM167A-AS1,0.22379710570579703,,
FAM168A,0.0064329962968040595,0.0029187510045100037,1.0
FAM168B,1.3537299071230096e-05,4.798336748400644e-06,0.5080865091703024
FAM169A,1.3288513665080352e-33,3.2402441159678875e-25,7.772562760861002e-35
FAM171A1,0.4416427218076878,,
FAM171A2,2.177782003616355e-25,2.0058108159023778e-26,2.9717273708995785e-20
FAM171B,9.68395671574496e-13,1.9887192038312152e-13,1.439137714897618e-10
FAM172A,0.016617356702972905,0.8035582954772911,0.007880990798886312
FAM174A,1.0185356449846584e-11,2.252110065532014e-12,0.00014553664590314467
FAM174B,3.559546226178164e-38,6.330184639100577e-33,1.6131105105747264e-39
FAM174C,7.761318735180537e-13,1.5802685053589238e-13,2.0504754061434174e-09
FAM177A1,3.4103798411468385e-29,3.305144197978101e-22,2.5599822905515893e-30
FAM177B,2.68568176341667e-07,0.0007505750246296684,8.305270888515398e-08
FAM178B,1.3151116718608555e-14,2.3933375357032466e-15,5.531487385954297e-10
FAM180A,6.893760654050745e-09,6.049531588972723e-07,1.879151896499013e-09
FAM180B,2.737126667436769e-15,1.1782607470537486e-13,4.748036880870054e-16
FAM181A,3.110581025421844e-13,6.184194951028394e-14,2.8148876570814045e-06
FAM181A-AS1,3.0096495045243567e-15,6.039484003295237e-16,1.0471718636875984e-15
FAM182B,0.08416344945169796,,
FAM183A,9.023555431398448e-09,2.918247345477594e-08,2.4819945566604263e-09
FAM184A,1.3609708413018111e-30,8.638224435971816e-27,9.436571161231415e-32
FAM184B,6.884155349049904e-09,7.25362574742222e-07,1.876040760034254e-09
FAM185A,0.0035560270424583457,0.0015697639421390435,0.7056717313147696
FAM186A,0.25620558358275936,,
FAM186B,1.2262110108816605e-10,2.929457433642684e-11,1.8395813580755194e-05
FAM187B2P,1.6113674256080375e-26,3.3936081092037394e-19,1.4010636729674696e-27
FAM189B,1.6948666458942633e-59,3.01528036587002e-61,4.98341332256407e-29
FAM193A,0.7557851514905946,,
FAM193B,0.5159646795631027,,
FAM198B-AS1,0.32178044190569716,,
FAM200B,0.2344335885805646,,
FAM204A,1.9261779946681715e-09,5.036083932222338e-10,1.194582619075368e-08
FAM207A,1.9561301458133523e-12,4.1095818391246287e-13,6.184374729374223e-10
FAM209B,4.344325297809085e-05,0.03251185507879574,1.6057954977511673e-05
FAM20A,9.354133544684219e-13,1.0185160468500298e-07,1.9179723991964205e-13
FAM20B,4.853628122372497e-06,1.657488985088546e-06,1.0
FAM210A,1.304474608122199e-21,1.5012478039493376e-22,1.2342819364037788e-11
FAM210B,6.735569598071074e-09,1.8333788381920265e-09,0.0022491264964442643
FAM214A,1.4663915556865036e-10,5.3947015123672205e-08,3.523203079097871e-11
FAM214B,0.11185732567059103,,
FAM216A,0.13654071539405244,,
FAM216B,2.2706361423961228e-13,4.4768985797243147e-14,7.255672778386748e-13
FAM217B,9.798731495378078e-14,1.8825097342387657e-14,1.0981799075916423e-06
FAM218A,0.9326305691616399,,
FAM219A,0.7862462514133118,,
FAM219B,0.0016294679251177679,0.08924954727514336,0.0006966768648914168
FAM21EP,4.099745425120939e-07,9.077754895857028e-06,1.2874809068795102e-07
FAM21FP,0.044941540990360254,0.13263190309901568,0.022345289388463058
FAM220A,2.160628153501066e-40,8.801527916252193e-42,3.4275797441467426e-22
FAM221A,0.027172691988298886,0.2195161530921978,0.013192411993030418
FAM222A,3.371393931708425e-12,7.198727377806685e-13,3.795296001391895e-08
FAM222B,1.4256068277678193e-06,4.661187272634329e-07,0.011983582697895742
FAM225A,0.5821399830823483,,
FAM225B,0.0022182098135522708,0.0009602237713089781,0.018977349984639923
FAM227A,0.033593403958288935,0.12827307951364572,0.016478698614711514
FAM227B,0.8200891742103993,,
FAM228A,5.955731648921564e-10,0.007645042442813845,1.4970342081445885e-10
FAM228B,6.827648127590667e-15,0.0003406009382957965,1.21443955992261e-15
FAM229A,0.05973194070236333,,
FAM229B,7.386238716275929e-12,1.057247819720673e-07,1.6183837049801317e-12
FAM237B,8.151796889660046e-14,1.5544323464783457e-14,5.372714976860524e-12
FAM241A,1.0124779035774765e-25,9.169419730995903e-27,5.030104284033182e-25
FAM241B,2.793421161939813e-17,6.156603854361288e-17,4.234728887748822e-18
FAM24B,3.402583690756574e-09,1.9828042747161848e-09,9.059427796337126e-10
FAM32A,0.046165479822777744,0.022981934704158435,1.0
FAM3B,0.3550339421033067,,
FAM3C,8.643828137756056e-21,1.0532499635209627e-21,4.7039306217204055e-18
FAM3D,1.3655664600649365e-19,0.41011206160444524,1.792990326288011e-20
FAM43B,0.4165928414141119,,
FAM47E,4.446814118345858e-17,6.822395944741677e-18,5.7018449654414705e-15
FAM50B,0.28042423460876115,,
FAM53A,3.3889560640990655e-09,3.3231033851156302e-09,9.018610129072171e-10
FAM53B,0.7420701979598323,,
FAM53C,0.015066816033258323,0.9564729102700169,0.007109284967196848
FAM66C,0.00021474960536803405,0.30931387983647024,8.438238896495238e-05
FAM71E1,2.263083119734219e-12,4.780374244541676e-13,6.304350939629338e-07
FAM76A,9.539804162621042e-13,2.528460971271389e-12,1.958774222393839e-13
FAM76B,8.564176461313374e-06,2.985628384762706e-06,6.3613149049301e-05
FAM78A,2.881524372268476e-10,2.2467639330045542e-09,7.068687902046058e-11
FAM78B,0.005301031362028373,0.002386185186766423,1.0
FAM81A,1.1120242209305145e-05,3.915729618160608e-06,0.00010008849859248186
FAM81B,5.954634764279826e-13,1.2038866390554287e-13,6.495869784971475e-10
FAM83A,3.2655195622410004e-69,3.880843695103136e-71,7.631339245929942e-57
FAM83B,1.2342927897374009e-170,2.2091437387911673e-174,6.8657382201930025e-162
FAM83D,9.78874442945922e-66,1.3420278910663235e-67,3.867734785195099e-54
FAM83E,5.7701461436650393e-05,0.002974655852511372,2.1563690485346153e-05
FAM83F,3.583394951987387e-75,3.46333274998781e-77,3.868980170921413e-65
FAM86EP,2.3361632286252764e-10,1.1762560404104472e-09,5.6882095794348266e-11
FAM86FP,0.022702184989147136,1.0,0.010931765194516297
FAM86GP,0.10552691475426626,,
FAM86HP,1.5108440880691483e-17,2.25523333592796e-18,0.0001687769897668974
FAM89A,6.794478986332729e-05,0.05903802804829873,2.5561989599927328e-05
FAM8A1,2.266016779623043e-27,5.3768355808961974e-27,1.885102733334748e-28
FAM91A1,7.313342173089537e-23,7.82487820567176e-24,0.00022287733837112795
FAM95C,0.000433674049634123,0.0003509009241813329,0.00023652286524674285
FAM98A,9.324577752522282e-25,8.868629398787119e-26,0.0002927285204086263
FAM98B,1.0340349103634272e-12,2.1279591565289743e-13,5.760325123769722e-10
FAM98C,1.0306072168222757e-05,3.6194470948751955e-06,1.0
FAN1,5.682101778910124e-11,1.324928801110415e-11,6.368742237363782e-10
FANCD2,7.399019509166578e-104,3.7248823710249186e-73,2.9134169029507576e-106
FANCE,7.424955125345644e-56,1.5388921168295846e-57,1.706726925895317e-49
