"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26","sample27","sample28","sample29","sample30","sample31","sample32","sample33","sample34","sample35","sample36"
"ABCC4",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.5,0.5,1,1,0.5,1,1,2,0.5,1,1,1,1
"ABCC5",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,1,1,1,2,1,2,1,1,1,1.5,2
"ABCC6",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,1.5,0.5,1.5,1,1,1.5,1,1,3.5,1,3,1,2.5,2,1.5,2
"ABCC6P1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,1.5,0.5,1.5,1,1,1.5,1,1,3.5,1,3,1,2.5,2,1.5,2
"ABCC6P2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,1.5,0.5,1.5,1,1,1.5,1,1,3.5,1,3,1,2.5,2,1.5,2
"ABCC8",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,1,1.5,1,1,2.5,1.5,3,1,1,0.5,1,2
"ABCC9",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,2,2,2,1,1,1,2,2
"ABCD1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,0.5,0.5,0.5,0.5,1,1,1,2,2,2,1,1,1,0.5,2
"ABCD2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,2,2,2,1,1,1,1,2
"ABCD3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,0.5,1,1,1,1,1.5,1,2,0.5,1,1,1.5,2
"ABCD4",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,0.5,1,1,0.5,2,2,2,1,1,1,1,2
