"","sample1","sample2","sample3","sample4","sample5","sample6","sample7","sample8","sample9","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26","sample27","sample28","sample29","sample30","sample31","sample32","sample33","sample34","sample35","sample36"
"IGHV3-19",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,0.5,1,1,0.5,2,2,2,1,1,1,1,2
"IGHV3-20",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,0.5,1,1,0.5,2,2,2,1,1,1,1,2
"IGHV3-21",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,0.5,1,1,0.5,2,2,2,1,1,1,1,2
"IGHV3-23",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,0.5,1,1,0.5,2,2,2,1,1,1,1,2
"IGHV3-30",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,0.5,1,1,0.5,2,2,2,1,1,1,1,2
"IGHV3-33",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,0.5,1,1,0.5,2,2,2,1,1,1,1,2
"IGHV3-35",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,0.5,1,1,0.5,2,2,2,1,1,1,1,2
"IGHV3-38",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,0.5,1,1,0.5,2,2,2,1,1,1,1,2
"IGHV3-43",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,0.5,1,1,0.5,2,2,2,1,1,1,1,2
"IGHV3-48",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,0.5,1,1,0.5,2,2,2,1,1,1,1,2
"IGHV3-49",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,0.5,1,1,0.5,2,2,2,1,1,1,1,2
"IGHV3-52",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,0.5,1,1,0.5,2,2,2,1,1,1,1,2
"IGHV3-53",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,0.5,1,1,0.5,2,2,2,1,1,1,1,2
"IGHV3-6",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,0.5,1,1,0.5,2,2,2,1,1,1,1,2
"IGHV3-62",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,0.5,1,1,0.5,2,2,2,1,1,1,1,2
"IGHV3-63",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,0.5,1,1,0.5,2,2,2,1,1,1,1,2
"IGHV3-64",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,0.5,1,1,0.5,2,2,2,1,1,1,1,2
"IGHV3-64D",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,0.5,1,1,0.5,2,2,2,1,1,1,1,2
"IGHV3-66",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,0.5,1,1,0.5,2,2,2,1,1,1,1,2
"IGHV3-69-1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,0.5,1,1,0.5,2,2,2,1,1,1,1,2
"IGHV3-7",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,0.5,1,1,0.5,2,2,2,1,1,1,1,2
"IGHV3-71",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,0.5,1,1,0.5,2,2,2,1,1,1,1,2
"IGHV3-72",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,0.5,1,1,0.5,2,2,2,1,1,1,1,2
"IGHV3-73",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,0.5,1,1,0.5,2,2,2,1,1,1,1,2
"IGHV3-74",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,0.5,1,1,0.5,2,2,2,1,1,1,1,2
"IGHV3OR15-7",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,1,1,1,0.5,1.5,1,2,0.5,1,1,3.5,2
"IGHV3OR16-13",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1.5,0.5,1.5,0.5,1,1.5,1,1,3.5,2,3,1,2.5,2,2,2
"IGHV3OR16-8",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1.5,0.5,1.5,1,1,1.5,1,1,3.5,2,3,1,2.5,2,2,2
"IGHV3OR16-9",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1.5,0.5,1.5,1,1,1.5,1,1,3.5,2,3,1,2.5,2,2,2
"IGHV4-28",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,0.5,1,1,0.5,2,2,2,1,1,1,1,2
"IGHV4-31",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,0.5,1,1,0.5,2,2,2,1,1,1,1,2
"IGHV4-34",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,0.5,1,1,0.5,2,2,2,1,1,1,1,2
"IGHV4-39",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,0.5,1,1,0.5,2,2,2,1,1,1,1,2
"IGHV4-4",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,0.5,1,1,0.5,2,2,2,1,1,1,1,2
"IGHV4-55",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,0.5,1,1,0.5,2,2,2,1,1,1,1,2
"IGHV4-59",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,0.5,1,1,0.5,2,2,2,1,1,1,1,2
"IGHV4-61",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,0.5,1,1,0.5,2,2,2,1,1,1,1,2
"IGHV4-80",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,0.5,1,1,0.5,2,2,2,1,1,1,1,2
"IGHV5-10-1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,0.5,1,1,0.5,2,2,2,1,1,1,1,2
"IGHV5-51",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,0.5,1,1,0.5,2,2,2,1,1,1,1,2
"IGHV6-1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,0.5,1,1,0.5,2,2,2,1,1,1,1,2
"IGHV7-4-1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,0.5,1,1,0.5,2,2,2,1,1,1,1,2
"IGIP",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,1,1,0.5,2,2,2,1,1,1,1,2
"IGKC",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,0.5,1,1,1,1,1.5,1.5,2,1,1,1,1.5,2
"IGKJ1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,0.5,1,1,1,1,1.5,1.5,2,1,1,1,1.5,2
"IGKV1-12",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,0.5,1,1,1,1,1.5,1.5,2,1,1,1,1.5,2
"IGKV1-16",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,0.5,1,1,1,1,1.5,1.5,2,1,1,1,1.5,2
"IGKV1-17",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,0.5,1,1,1,1,1.5,1.5,2,1,1,1,1.5,2
"IGKV1-27",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,0.5,1,1,1,1,1.5,1.5,2,1,1,1,1.5,2
"IGKV1-33",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,0.5,1,1,1,1,1.5,1.5,2,1,1,1,1.5,2
"IGKV1-39",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,0.5,1,1,1,1,1.5,1.5,2,0.5,1,1,1.5,2
"IGKV1-5",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,0.5,1,1,1,1,1.5,1.5,2,1,1,1,1.5,2
"IGKV1-6",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,0.5,1,1,1,1,1.5,1.5,2,1,1,1,1.5,2
"IGKV1-8",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,0.5,1,1,1,1,1.5,1.5,2,1,1,1,1.5,2
"IGKV1-9",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,0.5,1,1,1,1,1.5,1.5,2,1,1,1,1.5,2
"IGKV1D-12",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,0.5,1,1,1,1,1.5,1.5,2,0.5,1,1,1.5,2
"IGKV1D-13",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,0.5,1,1,1,1,1.5,1.5,2,0.5,1,1,1.5,2
"IGKV1D-16",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,0.5,1,1,1,1,1.5,1.5,2,0.5,1,1,1.5,2
"IGKV1D-17",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,0.5,1,1,1,1,1.5,1.5,2,0.5,1,1,1.5,2
"IGKV1D-27",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,0.5,1,1,1,1,1.5,1.5,2,0.5,1,1,1.5,2
"IGKV1D-33",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,0.5,1,1,1,1,1.5,1.5,2,0.5,1,1,1.5,2
"IGKV1D-39",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,0.5,1,1,1,1,1.5,1.5,2,0.5,1,1,1.5,2
"IGKV1D-42",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,0.5,1,1,1,1,1.5,1.5,2,0.5,1,1,1.5,2
"IGKV1D-43",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1.5,0.5,1,1,1,1,1.5,1.5,2,0.5,1,1,1.5,2
"IGKV1D-8",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1.5,0.5,1,1,1,1,1.5,1.5,2,0.5,1,1,1.5,2
"IGKV1OR2-108",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1.5,0.5,1,1,1,1,1.5,1.5,2,1,1,1,1,2
"IGKV1OR2-6",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1.5,0.5,1,1,0.5,1,1.5,1.5,2,1,1,1,1,2
"IGKV1OR22-1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,0.5,1.5,0.5,0.5,1,0.5,1,2,2,2,1,1,0.5,1.5,2
"IGKV2-24",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,0.5,1,1,1,1,1.5,1.5,2,1,1,1,1.5,2
"IGKV2-28",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,0.5,1,1,1,1,1.5,1.5,2,1,1,1,1.5,2
"IGKV2-29",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,0.5,1,1,1,1,1.5,1.5,2,1,1,1,1.5,2
"IGKV2-30",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,0.5,1,1,1,1,1.5,1.5,2,1,1,1,1.5,2
"IGKV2D-24",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,0.5,1,1,1,1,1.5,1.5,2,0.5,1,1,1.5,2
"IGKV2D-28",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,0.5,1,1,1,1,1.5,1.5,2,0.5,1,1,1.5,2
"IGKV2D-29",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,0.5,1,1,1,1,1.5,1.5,2,0.5,1,1,1.5,2
"IGKV2D-30",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,0.5,1,1,1,1,1.5,1.5,2,0.5,1,1,1.5,2
"IGKV2D-40",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,0.5,1,1,1,1,1.5,1.5,2,0.5,1,1,1.5,2
"IGKV2OR22-4",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,0.5,1.5,0.5,1,1,0.5,1,2,2,2,1,1,0.5,1.5,2
"IGKV3-11",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,0.5,1,1,1,1,1.5,1.5,2,1,1,1,1.5,2
"IGKV3-15",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,0.5,1,1,1,1,1.5,1.5,2,1,1,1,1.5,2
"IGKV3-20",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,0.5,1,1,1,1,1.5,1.5,2,1,1,1,1.5,2
"IGKV3-7",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,0.5,1,1,1,1,1.5,1.5,2,1,1,1,1.5,2
"IGKV3D-11",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,0.5,1,1,1,1,1.5,1.5,2,0.5,1,1,1.5,2
"IGKV3D-15",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,0.5,1,1,1,1,1.5,1.5,2,0.5,1,1,1.5,2
"IGKV3D-20",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,0.5,1,1,1,1,1.5,1.5,2,0.5,1,1,1.5,2
"IGKV3OR2-268",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,0.5,1,1,1,1,1.5,1.5,2,1,1,1,1.5,2
"IGKV4-1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,0.5,1,1,1,1,1.5,1.5,2,1,1,1,1.5,2
"IGKV5-2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,0.5,1,1,1,1,1.5,1.5,2,1,1,1,1.5,2
"IGKV6-21",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,0.5,1,1,1,1,1.5,1.5,2,1,1,1,1.5,2
"IGKV6D-21",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,0.5,1,1,1,1,1.5,1.5,2,0.5,1,1,1.5,2
"IGLC2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,2.5,1.5,0.5,0.5,1,0.5,1,2,2,2,1,1,0.5,1.5,2
"IGLC3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,2.5,1.5,0.5,0.5,1,0.5,1,2,2,2,1,1,0.5,1.5,2
"IGLC6",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,2.5,1.5,0.5,0.5,1,0.5,1,2,2,2,1,1,0.5,1.5,2
"IGLC7",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,2.5,1.5,0.5,0.5,1,0.5,1,2,2,2,1,1,0.5,1.5,2
"IGLL5",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,2.5,1.5,0.5,0.5,1,0.5,1,2,2,2,1,1,0.5,1.5,2
"IGLON5",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,2,1,1,1,2,7.5,3,1,1,1,1,2
"IGLV1-36",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1.5,1.5,0.5,0.5,1,0.5,1,2,2,2,1,1,0.5,1.5,2
"IGLV1-40",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1.5,1.5,0.5,0.5,1,0.5,1,2,2,2,1,1,0.5,1.5,2
"IGLV1-41",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1.5,1.5,0.5,0.5,1,0.5,1,2,2,2,1,1,0.5,1.5,2
"IGLV1-44",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1.5,1.5,0.5,0.5,1,0.5,1,2,2,2,1,1,0.5,1.5,2
"IGLV1-47",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1.5,1.5,0.5,0.5,1,0.5,1,2,2,2,1,1,0.5,1.5,2
"IGLV1-50",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1.5,1.5,0.5,0.5,1,0.5,1,2,2,2,1,1,0.5,1.5,2
"IGLV1-51",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1.5,1.5,0.5,0.5,1,0.5,1,2,2,2,1,1,0.5,1.5,2
"IGLV10-54",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1.5,1.5,0.5,0.5,1,0.5,1,2,2,2,1,1,0.5,1.5,2
"IGLV2-11",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1.5,1.5,0.5,0.5,1,0.5,1,2,2,2,1,1,0.5,1.5,2
"IGLV2-14",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1.5,1.5,0.5,0.5,1,0.5,1,2,2,2,1,1,0.5,1.5,2
"IGLV2-18",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1.5,1.5,0.5,0.5,1,0.5,1,2,2,2,1,1,0.5,1.5,2
"IGLV2-23",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1.5,1.5,0.5,0.5,1,0.5,1,2,2,2,1,1,0.5,1.5,2
"IGLV2-28",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1.5,1.5,0.5,0.5,1,0.5,1,2,2,2,1,1,0.5,1.5,2
"IGLV2-33",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1.5,1.5,0.5,0.5,1,0.5,1,2,2,2,1,1,0.5,1.5,2
"IGLV2-34",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1.5,1.5,0.5,0.5,1,0.5,1,2,2,2,1,1,0.5,1.5,2
"IGLV2-5",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,2.5,1.5,0.5,0.5,1,0.5,1,2,2,2,1,1,0.5,1.5,2
"IGLV2-8",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1.5,1.5,0.5,0.5,1,0.5,1,2,2,2,1,1,0.5,1.5,2
"IGLV3-1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,2.5,1.5,0.5,0.5,1,0.5,1,2,2,2,1,1,0.5,1.5,2
"IGLV3-10",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1.5,1.5,0.5,0.5,1,0.5,1,2,2,2,1,1,0.5,1.5,2
"IGLV3-16",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1.5,1.5,0.5,0.5,1,0.5,1,2,2,2,1,1,0.5,1.5,2
"IGLV3-19",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1.5,1.5,0.5,0.5,1,0.5,1,2,2,2,1,1,0.5,1.5,2
"IGLV3-21",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1.5,1.5,0.5,0.5,1,0.5,1,2,2,2,1,1,0.5,1.5,2
"IGLV3-25",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1.5,1.5,0.5,0.5,1,0.5,1,2,2,2,1,1,0.5,1.5,2
"IGLV3-27",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1.5,1.5,0.5,0.5,1,0.5,1,2,2,2,1,1,0.5,1.5,2
"IGLV3-9",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1.5,1.5,0.5,0.5,1,0.5,1,2,2,2,1,1,0.5,1.5,2
"IGLV4-60",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1.5,1.5,0.5,0.5,1,0.5,1,2,2,2,1,1,0.5,1.5,2
"IGLV4-69",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1.5,1.5,0.5,0.5,1,0.5,1,2,2,2,1,1,0.5,1.5,2
"IGLV5-37",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1.5,1.5,0.5,0.5,1,0.5,1,2,2,2,1,1,0.5,1.5,2
"IGLV5-45",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1.5,1.5,0.5,0.5,1,0.5,1,2,2,2,1,1,0.5,1.5,2
"IGLV5-48",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1.5,1.5,0.5,0.5,1,0.5,1,2,2,2,1,1,0.5,1.5,2
"IGLV6-57",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1.5,1.5,0.5,0.5,1,0.5,1,2,2,2,1,1,0.5,1.5,2
"IGLV7-43",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1.5,1.5,0.5,0.5,1,0.5,1,2,2,2,1,1,0.5,1.5,2
"IGLV7-46",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1.5,1.5,0.5,0.5,1,0.5,1,2,2,2,1,1,0.5,1.5,2
"IGLV8-61",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1.5,1.5,0.5,0.5,1,0.5,1,2,2,2,1,1,0.5,1.5,2
"IGLV9-49",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1.5,1.5,0.5,0.5,1,0.5,1,2,2,2,1,1,0.5,1.5,2
"IGSF1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,0.5,0.5,0.5,0.5,1,1,1,2,2,2,1,1,1,1,2
"IGSF10",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1.5,2,1,1,1,2,2
"IGSF11",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1.5,2,1,1,1,1.5,2
"IGSF21",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1.5,0.5,0.5,1,1,1,1.5,1,2,0.5,1,1,1.5,2
"IGSF22",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,1,1.5,1,1,2.5,1.5,3,1,1,0.5,1,2
"IGSF3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1.5,1,1,1,1,1,1.5,1,2,1,1,1,1,2
"IGSF5",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,0.5,2,1.5,2,1,1,1,3,2
"IGSF6",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,1.5,0.5,1.5,1,1,1.5,1,1,3.5,1,3,1,2.5,2,1.5,2
"IGSF8",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1.5,2,1,1,1,1,1.5,1.5,3,4,1,1,2,3,4.5
"IGSF9",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1.5,2,1,1,1,1,1.5,1.5,3,4,1,1,2,3,4.5
"IGSF9B",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,0.5,0.5,1,1,1,1,1.5,3,0.5,1,0.5,2.5,2
"IHO1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,2,1.5,2,0.5,1,1,1,2
"IK",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1.5,1,1,1,0.5,2,2,2,1,1,1,1,2
"IKBIP",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,1,1,2,2,2,1,1,1,1,2
"IKBKB",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1.5,0.5,1,0.5,3.5,0.5,2,1,3.5,1,1,3
"IKBKE",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1.5,2,1,1,1,1,1,1.5,3.5,4,1,1,1.5,3,4.5
"IKBKG",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,0.5,0.5,0.5,0.5,1,1,1,2,2,2,1,1,1,0.5,2
"IKZF1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,1.5,0.5,1,1,1.5,2,3,1,1,1,1.5,2
"IKZF2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1.5,1,1,1,1,1,1.5,1,2,1,1,1,1.5,2
