,Unnamed: 0,status,gene,N,n_aneup,cna,mean_b_scaling,sd_b_scaling,mean_b_deviation,sd_b_deviation,z_comp,p_value,mean_phi,Rhat_b_deviation,ess_b_deviation,covar_levels,reason,label_nb,adj_p,aneup_frac,comp_score,signed_comp,shrunk_comp
34,34,ok,MTMR7,45.0,29.0,all,0.48402385016125,0.3518030949006349,0.0559711908352124,0.2051354954270095,0.2728498581813108,0.7849686317990734,0.3569114436425,1.00492,2513.29,['ALL'],,DSG,0.9815763697223697,0.6444444444444445,0.11563725799165867,0.11563725799165867,0.024865637800949896
35,35,ok,SLC7A2,45.0,29.0,all,1.14285364209,0.2927625739583138,0.0430589620380912,0.1832683723544595,0.2349503162215621,0.8142472957274196,0.5825344647325,1.00192,2738.71,['ALL'],,DSG,0.9868339267709737,0.6444444444444445,0.03767670719353607,0.03767670719353607,0.006998550249285508
36,36,ok,ARF5,45.0,29.0,all,0.6306262131275,0.1042448967507832,-0.1432576461809617,0.1414045640199229,-1.0131048256743522,0.3110100935450619,8.24485271725,1.00254,1584.57,['ALL'],,DSG,0.7807383548591917,0.6444444444444445,-0.22716728737058997,-0.22716728737058997,-0.15651596807508483
37,37,ok,SARM1,45.0,31.0,all,0.5643191118825001,0.1321665443616096,-0.0441474309478835,0.1753473586042864,-0.2517712915625543,0.8012178486501069,3.70649934465,1.00126,1942.08,['ALL'],,DSG,0.9850724754009318,0.6888888888888889,-0.07823132340957412,-0.07823132340957412,-0.015550990770304396
38,38,ok,POLDIP2,45.0,31.0,all,0.7213994521100001,0.1077010283232688,-0.2781737956379632,0.1509877386351824,-1.8423601687954845,0.0654224839994932,8.413606717099999,1.00207,1966.14,['ALL'],,DCG,0.5777612368737606,0.6888888888888889,-0.38560300375102974,-0.38560300375102974,-0.36037589740797144
39,39,ok,PLXND1,45.0,28.0,all,0.18966135776025,0.0843715634184399,-0.21416795781976,0.1107572619096103,-1.9336696675884215,0.0531537555254042,4.0812059453,1.00483,1115.91,['ALL'],,DCG,0.5642901297785358,0.6222222222222222,-1.129212404408117,-1.129212404408117,-1.069190524327954
40,40,ok,AK2,45.0,25.0,all,0.8022071751350001,0.1254219689643446,-0.244663066344575,0.1641428408693554,-1.490549725158633,0.1360797521145347,6.120423557174999,1.00105,1862.19,['ALL'],,DSG,0.6274190815517321,0.5555555555555556,-0.3049873822225558,-0.3049873822225558,-0.26348477485164956
41,41,ok,CD38,45.0,22.0,all,0.4859335773785,0.1810097437232381,-0.1372864471682225,0.1905417919583743,-0.720505699863545,0.4712136915678864,1.1698075210225,1.00248,2092.59,['ALL'],,DSG,0.8825070771536228,0.4888888888888889,-0.2825210143099214,-0.2825210143099214,-0.14939324421143968
42,42,ok,FKBP4,45.0,26.0,all,0.9260885977275,0.1448182404806058,-0.1116112411891692,0.159830796181118,-0.698308735587433,0.4849841373337584,4.7573628288,1.00113,2197.46,['ALL'],,DSG,0.8916060037616682,0.5777777777777777,-0.12051896704381045,-0.12051896704381045,-0.06206917977971237
43,43,ok,KDM1A,45.0,23.0,all,0.7995311463475,0.1026682315033997,-0.1618012602603425,0.1356647252384077,-1.1926553492516512,0.2330043793296203,9.056958222025,1.00209,2037.24,['ALL'],,DSG,0.718328204692479,0.5111111111111111,-0.2023701778217141,-0.2023701778217141,-0.1552170401435407
44,44,ok,RECQL,45.0,29.0,all,0.3734827212079999,0.1111004058116579,0.0385827884908805,0.1203508300181553,0.3205859775546223,0.748524165461721,4.79413234585,1.00166,1443.81,['ALL'],,DSG,0.9756701079660874,0.6444444444444445,0.10330541762705264,0.10330541762705264,0.025978816110088506
45,45,ok,VPS50,45.0,29.0,all,0.5960133501725,0.098679264518969,-0.3020542139115175,0.1447738748321652,-2.0863861954491827,0.0369436544298356,8.65275987505,1.00151,1570.11,['ALL'],,DCG,0.5526218532647349,0.6444444444444445,-0.5067910204093516,-0.5067910204093516,-0.4880683080832048
46,46,ok,HSPB6,45.0,32.0,all,0.71714501434475,0.2499807883613539,-0.2370853532561802,0.2005962989389068,-1.1819029289687268,0.2372442196802617,0.7422740119600001,1.0009,2424.36,['ALL'],,DSG,0.7234618911684897,0.7111111111111111,-0.3305961116843339,-0.3305961116843339,-0.25216409513845545
47,47,ok,ARHGAP33,45.0,32.0,all,0.6099357196075,0.1398051135222903,0.0376660593834527,0.1687253019193108,0.2232389508567346,0.8233495383564933,2.3734441461,1.00132,2148.65,['ALL'],,DSG,0.9871714512397886,0.7111111111111111,0.06175414584292784,0.06175414584292784,0.010908898371553646
48,48,ok,NDUFAB1,45.0,23.0,all,0.817889840255,0.1151912659426309,-0.313675066112825,0.1679677644611899,-1.8674718159108536,0.0618357290821149,7.254226523150001,1.00138,2239.12,['ALL'],,DCG,0.5738973586119489,0.5111111111111111,-0.3835174991475967,-0.3835174991475967,-0.3598024149720557
