,status,gene,N,n_aneup,cna,mean_b_scaling,sd_b_scaling,mean_b_deviation,sd_b_deviation,z_comp,p_value,mean_phi,Rhat_b_deviation,ess_b_deviation,covar_levels,reason
568,ok,KAT6A,45.0,28.0,all,0.5406517889249999,0.10778449942751321,-0.05603994343919,0.11311692865557482,-0.49541606287617446,0.6203064584819318,4.659658011125001,1.00645,1463.58,['ALL'],
569,ok,GRHL2,45.0,30.0,all,0.8633926590125,0.11627114416193426,-0.52929624238838,0.15936094194279496,-3.321367431289274,0.000895775255491893,5.892928954275,1.00339,1417.18,['ALL'],
570,ok,OXCT1,45.0,30.0,all,0.37788923856225,0.1270747932483967,0.10590653679949211,0.15398298718764336,0.6877807654844013,0.4915908504372797,2.7163489840749997,1.0008,1612.51,['ALL'],
571,ok,SMAP2,45.0,25.0,all,0.45604838480499993,0.10712163068249467,-0.3457064134423875,0.15957561031120857,-2.166411350507648,0.03027976737239868,5.238469890599999,1.00339,1597.12,['ALL'],
572,ok,PPIE,45.0,25.0,all,0.8414078034325,0.09743002347422978,-0.3345630437477,0.1482683748249465,-2.2564693525689674,0.02404125256301648,12.20600532355,1.00313,1537.12,['ALL'],
573,ok,ZMPSTE24,45.0,25.0,all,0.8144166607025,0.12507339093690906,-0.338637798159965,0.17013798726441012,-1.9903714837868078,0.046550028784975384,6.294778199925,1.00165,1834.24,['ALL'],
574,ok,GSTP1,45.0,26.0,all,1.0289126159900002,0.1563769038601168,-0.24354301763712824,0.1947817627282292,-1.2503378870070787,0.2111761438925399,2.338225535975,1.00053,2225.13,['ALL'],
575,ok,APOB,45.0,25.0,all,0.5936411301265,0.2841495640834519,0.042654314280998994,0.18796641813095205,0.22692518538754447,0.8204819177588822,0.3232147687475,1.00174,2731.69,['ALL'],
576,ok,NCOA1,45.0,24.0,all,0.6129880145125001,0.1272857172548453,-0.2551300163342075,0.16841663385983252,-1.51487421691698,0.1298042608980967,4.1124829242750005,1.00162,1989.8,['ALL'],
577,ok,AGBL5,45.0,24.0,all,0.84404154372,0.1288705739474025,-0.23537284932504526,0.1777073179883416,-1.3244972238030557,0.18533796446755768,4.593110995500001,1.00105,1781.44,['ALL'],
578,ok,EFR3B,45.0,24.0,all,0.521091270097,0.20899940783689347,0.0121149857387825,0.17771392831185723,0.06817127871667321,0.9456492900314328,1.4077245419775,1.00303,1911.39,['ALL'],
579,ok,KIF3C,45.0,24.0,all,0.34518963843975,0.14600034224376543,0.154257887896407,0.1790056186561834,0.8617488604795728,0.38882573187588054,2.1341540738174998,1.0001,1863.66,['ALL'],
580,ok,RAB10,45.0,24.0,all,0.509713971255,0.11691965924302894,-0.1461964874323275,0.15664682934527055,-0.9332872426679694,0.3506716801735785,6.2838399918,1.00176,1687.96,['ALL'],
581,ok,HADHA,45.0,24.0,all,0.7563366277800001,0.09927631804090283,-0.43887293448973,0.15253879686054678,-2.877123351713297,0.004013186846553607,10.0690955834,1.00414,1416.78,['ALL'],
582,ok,MAPRE3,45.0,24.0,all,0.7670043205525,0.15788106267946456,-0.284487766204381,0.18283454324526788,-1.5559847781212104,0.11971171204993136,3.00048795215,1.00303,2110.16,['ALL'],
583,ok,CAD,45.0,24.0,all,0.646634600245,0.12161858212998768,-0.00940774946561875,0.15688962149498467,-0.05996412876755834,0.952184204353421,6.185812460175,1.00142,1726.82,['ALL'],
