,class,beta1,cn_ratio_log2,truth_log2FC_aware,truth_log2FC_naive,empirical_log2FC_naive,empirical_log2FC_aware,DE_truth
COX20P2,NEUTRAL,-0.05837477207395049,0.13750352374993502,-0.08421699418411192,0.053286529565823096,-0.0762129303771452,-0.07621293037714504,False
BST1,NEUTRAL,-0.011208455106228924,0.13750352374993502,-0.01617038259778305,0.12133314115215196,-0.00816631879081548,-0.0081663187908158,False
SMG5,DCG,-0.8647012700999562,0.8479969065549501,-1.247500234223595,-0.39950332766864494,-0.5317337063844111,-1.2394961704166312,True
NSF,NEUTRAL,0.03314390633948319,0.13750352374993502,0.047816549311660676,0.1853200730615957,0.0558206131186259,0.0558206131186259,False
ZNF136,DIG,-0.8291707760580538,0.5849625007211562,-1.1962405666690075,-0.6112780659478513,-0.7276251258124578,-1.188236502862044,True
ENSA,DCG,-0.9154613627486737,1.0356239097307214,-1.320731568162964,-0.2851076584322427,-0.4221177766400903,-1.3127275043559992,True
STIMATE,NEUTRAL,0.006385125764872835,0.13750352374993502,0.009211789276434389,0.14671531302636942,0.01721585308340017,0.017215853083399537,False
TRAF3IP3,DCG,-0.7783758219136471,1.1375035237499351,-1.1229589382226897,0.014544585527245468,-0.09880135561512633,-1.1149548744157238,True
TBC1D5,NEUTRAL,0.03963828784758249,0.13750352374993502,0.05718596130703653,0.19468948505697153,0.06519002511400225,0.06519002511400256,False
PRKD3,DIG,-1.1496011448419596,0.4854268271702419,-1.6585238706637702,-1.1730970434935282,-1.2938668530518844,-1.650519806856804,True
GTF2IP7,DIG,1.3183314944929954,0.4854268271702419,1.9019503093527803,2.387377136523022,2.2647358493459797,1.9099543731597441,True
CAVIN2,NEUTRAL,-0.026652065833472547,0.13750352374993502,-0.03845080320739702,0.099052720542538,-0.030446739400430325,-0.03044673940043016,False
PMP2,DCG,-0.9394362537248948,1.0356239097307214,-1.3553200244802117,-0.31969611474949033,-0.4600615944062977,-1.347315960673247,True
SSBP3,NEUTRAL,-0.0012906104336403025,0.13750352374993502,-0.001861957272332419,0.1356415664776026,0.0061421065346340935,0.006142106534633456,False
DDX52,DIG,-1.051277804920956,0.37851162325372983,-1.5166732757560983,-1.1381616525023686,-1.274691446719955,-1.5086692119491318,True
XRCC1,DIG,0.6948932881943984,0.26303440583379406,1.002519100825084,1.2655535066588781,1.1407596805111526,1.0105231646320503,True
SPATA12,NEUTRAL,0.023544997459397563,0.13750352374993502,0.033968251072416106,0.17147177482235113,0.04197231487938326,0.04197231487938326,False
MT1H,NEUTRAL,0.031934503972441006,0.13750352374993502,0.04607175051428954,0.18357527426422457,0.054075814321255994,0.054075814321255994,False
LRIG1,NEUTRAL,-0.017466410339222572,0.13750352374993502,-0.02519870357852812,0.1123048201714069,-0.01719463977156226,-0.017194639771562097,False
CXCL11,DIG,-0.7251731309870406,0.4329594072761063,-1.0462036798609262,-0.61324427258482,-0.7415537280213585,-1.0381996160539595,True
IFNG-AS1,DIG,-1.251885458933423,0.53605290024021,-1.8060889433642535,-1.2700360431240436,-1.3981394998854302,-1.7980848795572837,True
TRMU,NEUTRAL,-0.08703623038801918,0.13750352374993502,-0.12556673795846457,0.01193678579147045,-0.1175626741514983,-0.1175626741514983,False
CHMP4C,DCG,-0.7738230002253474,1.070389327891398,-1.116390604950928,-0.046001277059529944,-0.170716995859666,-1.1083865411439615,True
TTC12,NEUTRAL,0.03311719152061295,0.13750352374993502,0.047778007974958334,0.18528153172489337,0.0557820717819255,0.05578207178192519,False
SUMO2P6,DIG,-1.5834605545833358,0.53605290024021,-2.2844506895406664,-1.7483977893004563,-1.8979390076138445,-2.276446625733696,True
LINC02362,NEUTRAL,-0.016864956633607205,0.13750352374993502,-0.024330989300112543,0.11317253444982248,-0.016326925493147307,-0.016326925493147147,False
MOBP,NEUTRAL,-0.02327126907898855,0.13750352374993502,-0.03357334449544946,0.10393017925448556,-0.02556928068848333,-0.02556928068848333,False
TULP1,DIG,-0.7993073003110612,0.53605290024021,-1.1531566783051135,-0.6171037780649035,-0.7526447858624461,-1.1451526144981452,True
ZNF295-AS1,DIG,0.7491390513444987,0.632268215499513,1.0807791943109708,1.7130474098104838,1.574158618400697,1.0887832581179373,True
NCOA4P2,NEUTRAL,0.023508760769257696,0.13750352374993502,0.03391597257925309,0.17141949632918813,0.04192003638621933,0.041920036386219016,False
LINC01927,NEUTRAL,-0.04985701441500134,0.13750352374993502,-0.07192846745005199,0.06557505629988303,-0.06392440364308534,-0.063924403643085,False
CRPPA,DIG,-1.203471130766412,0.632268215499513,-1.736241832209736,-1.103973616710223,-1.2064398695119827,-1.7282377684027705,True
