,padjScreen,p_naive,p_aware
ABHD1,0.022397386814814214,0.010671319550373398,0.7763477012303389
ABHD10,0.12823651186011034,,
ABHD11,2.8177131387251056e-19,2.37376926945281e-20,1.3884477066977317e-05
ABHD11-AS1,0.20618357826907285,,
ABHD12,6.68974404422941e-05,2.282767095112452e-05,0.15527069627618395
ABHD12B,6.626285785565923e-11,2.6504205547736097e-07,1.1817068431577399e-11
ABHD13,6.40581901747926e-09,9.086875049819763e-08,1.3903285746498382e-09
ABHD14A,0.3385709136484428,,
ABHD14B,0.042230478237861926,0.041821186823528776,0.026253793156976738
ABHD15,0.08217708432772187,,
ABHD16A,0.0004860675758324966,1.0,0.00018493276804163825
ABHD17A,1.9035661804215318e-07,7.567149110048161e-07,4.8304647514486493e-08
ABHD17B,0.3327294316722653,,
ABHD17C,0.00036934842151854313,0.00013839092508563207,0.012177647027454925
ABHD18,0.20450060093929354,,
ABHD2,2.9509061902999818e-05,0.00022678754829050558,9.640494658109129e-06
ABHD3,0.0004567051653923504,0.00017321568970717576,0.38710922288932337
ABHD4,2.7733267357429476e-05,9.025028231747986e-06,0.1322589564206245
ABHD5,2.6323141462730713e-16,7.12065249092191e-17,2.870098985281585e-17
ABHD6,1.3310798705538927e-21,9.199964935333038e-23,2.2310819509845226e-22
ABHD8,0.007347176570324532,0.015880790015652225,0.00327738119874069
ABI1,0.00022919227655605087,0.13915598704120927,8.363325275546501e-05
ABI2,2.5600136035508605e-28,1.9254817913619195e-12,1.0894690099604497e-29
ABI3,2.782174108656108e-16,2.5171102782754625e-06,3.035224735835068e-17
ABI3BP,5.15152664733692e-30,4.241425594490338e-31,1.9315024426365751e-31
ABITRAM,0.7280352188935837,,
ABL1,0.18692821326865364,,
ABL2,0.0035532562729564845,0.0015193393575188249,0.010820420726397668
ABLIM1,6.624389269775863e-15,1.8599728236642166e-12,8.212580012324635e-16
ABLIM2,0.6186094876427437,,
ABLIM3,1.8065229959639446e-11,3.1506021872092765e-11,3.0510889441649996e-12
ABO,0.4251051151163158,,
ABR,0.2730999611249957,,
ABRACL,3.4350112923192005e-09,7.261199007278875e-10,3.523606358332501e-06
ABRAXAS1,0.10296834923136712,,
