,padjScreen,p_naive,p_aware
AC008537.2,1.0,1.0,1.0
AC008537.3,1.0,1.0,1.0
AC008543.1,1.0,1.0,1.0
AC008555.1,1.0,1.0,1.0
AC008555.2,1.0,0.0,1.0
AC008555.4,1.0,0.0,1.0
AC008555.6,1.0,0.0,1.0
AC008556.1,1.0,1.0,1.0
AC008608.2,0.0,0.0,0.0
AC008610.1,1.0,1.0,1.0
AC008663.2,1.0,1.0,1.0
AC008674.1,1.0,1.0,1.0
AC008691.1,0.0,0.0,0.0
AC008703.1,0.0,0.0,0.0
AC008735.2,0.0,0.0,0.0
AC008735.4,1.0,0.0,1.0
AC008736.1,1.0,1.0,0.0
AC008752.3,1.0,1.0,1.0
AC008760.1,0.0,0.0,0.0
AC008760.2,1.0,1.0,1.0
AC008763.1,0.0,0.0,0.0
AC008764.2,1.0,1.0,1.0
AC008764.6,1.0,1.0,1.0
AC008764.8,1.0,1.0,1.0
AC008771.1,1.0,1.0,1.0
AC008870.2,1.0,1.0,0.0
AC008875.2,1.0,0.0,1.0
AC008875.3,1.0,1.0,1.0
AC008894.3,0.0,0.0,0.0
AC008895.1,0.0,0.0,0.0
AC008897.3,1.0,1.0,1.0
AC008906.1,1.0,1.0,1.0
AC008915.2,0.0,0.0,0.0
AC008937.3,1.0,1.0,1.0
AC008946.1,0.0,0.0,0.0
AC008957.1,1.0,1.0,1.0
AC008966.1,1.0,1.0,0.0
AC008969.1,1.0,1.0,1.0
AC008972.1,0.0,0.0,0.0
AC008972.2,0.0,0.0,0.0
AC008982.2,1.0,1.0,1.0
AC009041.3,1.0,1.0,0.0
AC009053.1,0.0,0.0,0.0
AC009053.3,1.0,0.0,1.0
AC009061.2,1.0,1.0,0.0
AC009065.4,1.0,1.0,1.0
AC009065.8,1.0,1.0,0.0
AC009078.3,1.0,1.0,1.0
AC009084.2,0.0,0.0,0.0
AC009086.2,1.0,1.0,1.0
AC009090.4,1.0,1.0,1.0
AC009090.6,0.0,0.0,0.0
AC009093.10,1.0,1.0,1.0
AC009093.3,1.0,1.0,1.0
AC009107.2,1.0,1.0,1.0
AC009108.3,0.0,0.0,0.0
AC009113.1,1.0,1.0,1.0
AC009119.1,1.0,0.0,1.0
