,truth_class,DE_naive,DE_aware,predicted_class,sample_size,cn_signal,replicate
XRCC2,DIG,True,True,DIG,60,strong,2
ASB4,DSG,True,False,DSG,60,strong,2
PCDHA2,DIG,True,True,DIG,60,strong,2
MAP3K19,NEUTRAL,False,False,NEUTRAL,60,strong,2
SPAG7,NEUTRAL,False,False,NEUTRAL,60,strong,2
STX12,NEUTRAL,False,False,NEUTRAL,60,strong,2
IRF6,DCG,False,True,DCG,60,strong,2
LOXL2,NEUTRAL,False,False,NEUTRAL,60,strong,2
PEX5,DSG,True,False,DSG,60,strong,2
STBD1,DIG,True,True,DIG,60,strong,2
ZNF295-AS1,DIG,True,True,DIG,60,strong,2
H3P36,NEUTRAL,False,False,NEUTRAL,60,strong,2
RPL26L1,DIG,True,True,DIG,60,strong,2
PVRIG,DSG,True,False,DSG,60,strong,2
ASLP1,NEUTRAL,False,False,NEUTRAL,60,strong,2
SRI,DSG,True,False,DSG,60,strong,2
MESTP1,DIG,True,True,DIG,60,strong,2
ZNF69,DIG,True,True,DIG,60,strong,2
ITGB2-AS1,DSG,True,False,DSG,60,strong,2
ABL2,DCG,True,True,DIG,60,strong,2
UFM1,NEUTRAL,False,False,NEUTRAL,60,strong,2
PELP1,NEUTRAL,False,False,NEUTRAL,60,strong,2
LINC02097,DCG,False,False,NEUTRAL,60,strong,2
RNF168,DCG,True,True,DIG,60,strong,2
MDN1,DIG,True,True,DIG,60,strong,2
COP1,DCG,False,True,DCG,60,strong,2
LINC00944,DIG,True,True,DIG,60,strong,2
BACE1-AS,NEUTRAL,False,False,NEUTRAL,60,strong,2
MYF6,DIG,True,True,DIG,60,strong,2
MLLT3,DIG,True,True,DIG,60,strong,2
SNORD58B,NEUTRAL,False,False,NEUTRAL,60,strong,2
SIGLEC10,DSG,True,False,DSG,60,strong,2
SNORD69,NEUTRAL,False,False,NEUTRAL,60,strong,2
HSD17B7P2,DSG,True,False,DSG,60,strong,2
CEBPZOS,DIG,True,True,DIG,60,strong,2
SNX27,DCG,True,True,DIG,60,strong,2
CCDC88A,DIG,True,True,DIG,60,strong,2
ZNF667-AS1,DSG,False,True,DCG,60,strong,2
BCL11A,DIG,True,True,DIG,60,strong,2
RPS27AP12,DSG,True,True,DIG,60,strong,2
SERTAD2,DIG,False,True,DCG,60,strong,2
SH2B3,DIG,True,True,DIG,60,strong,2
CCL19,DIG,True,True,DIG,60,strong,2
TCF21,DIG,True,True,DIG,60,strong,2
ANKRD18A,DIG,True,True,DIG,60,strong,2
HSP90AA2P,DIG,True,True,DIG,60,strong,2
HSPH1,NEUTRAL,True,True,DIG,60,strong,2
RSAD2,DIG,True,True,DIG,60,strong,2
GIMAP5,DIG,True,True,DIG,60,strong,2
RCSD1,DCG,False,True,DCG,60,strong,2
ARMC8P1,DIG,True,True,DIG,60,strong,2
TMEM258,DIG,True,True,DIG,60,strong,2
ERRFI1,NEUTRAL,False,False,NEUTRAL,60,strong,2
KCNJ3,NEUTRAL,False,False,NEUTRAL,60,strong,2
PDAP1,DSG,True,False,DSG,60,strong,2
VPS72,DCG,False,True,DCG,60,strong,2
CHD4,DSG,True,False,DSG,60,strong,2
EML5,NEUTRAL,False,False,NEUTRAL,60,strong,2
TPH1,DIG,True,True,DIG,60,strong,2
CASP5,NEUTRAL,False,False,NEUTRAL,60,strong,2
ZNF165,DSG,False,False,NEUTRAL,60,strong,2
TNIK,DCG,False,True,DCG,60,strong,2
PWWP3A,NEUTRAL,False,False,NEUTRAL,60,strong,2
ERC2,NEUTRAL,False,False,NEUTRAL,60,strong,2
LINC01229,NEUTRAL,False,False,NEUTRAL,60,strong,2
CAPS2,DIG,True,True,DIG,60,strong,2
CDC27,DIG,True,True,DIG,60,strong,2
PYY,NEUTRAL,False,False,NEUTRAL,60,strong,2
LRP5,DSG,True,False,DSG,60,strong,2
REEP3,DIG,True,True,DIG,60,strong,2
NANOS3,DIG,True,True,DIG,60,strong,2
SUCLA2,NEUTRAL,False,False,NEUTRAL,60,strong,2
RPL26P35,NEUTRAL,False,False,NEUTRAL,60,strong,2
PFN2,DSG,False,False,NEUTRAL,60,strong,2
RPE,NEUTRAL,False,False,NEUTRAL,60,strong,2
ARFGEF1,DCG,False,True,DCG,60,strong,2
LRP4-AS1,DIG,True,True,DIG,60,strong,2
PTGES,NEUTRAL,False,False,NEUTRAL,60,strong,2
RPL7P9,NEUTRAL,False,False,NEUTRAL,60,strong,2
GRTP1,DIG,True,True,DIG,60,strong,2
LINC02268,NEUTRAL,False,False,NEUTRAL,60,strong,2
POC1B-GALNT4,DIG,True,True,DIG,60,strong,2
GABRG3,NEUTRAL,False,False,NEUTRAL,60,strong,2
SLC25A13,DSG,True,False,DSG,60,strong,2
TESPA1,DIG,True,True,DIG,60,strong,2
ZIK1,DSG,True,False,DSG,60,strong,2
FBXL18,DSG,False,True,DCG,60,strong,2
LINC02287,NEUTRAL,False,False,NEUTRAL,60,strong,2
CLDN22,NEUTRAL,False,False,NEUTRAL,60,strong,2
EPCAM,DIG,True,True,DIG,60,strong,2
POLR2C,NEUTRAL,False,True,DCG,60,strong,2
SLC4A8,DIG,True,True,DIG,60,strong,2
DUSP3,NEUTRAL,False,False,NEUTRAL,60,strong,2
FAT3,NEUTRAL,False,False,NEUTRAL,60,strong,2
ELOCP2,NEUTRAL,False,False,NEUTRAL,60,strong,2
RSL1D1,DCG,False,True,DCG,60,strong,2
RASSF1,NEUTRAL,False,False,NEUTRAL,60,strong,2
H3C8,DSG,True,False,DSG,60,strong,2
SPATA45,DCG,False,False,NEUTRAL,60,strong,2
PMCH,DIG,True,True,DIG,60,strong,2
COPG2,DSG,True,False,DSG,60,strong,2
FAM3D-AS1,NEUTRAL,False,False,NEUTRAL,60,strong,2
SPOCK1,NEUTRAL,False,False,NEUTRAL,60,strong,2
CIAO1,DIG,True,True,DIG,60,strong,2
SMARCA5,NEUTRAL,False,False,NEUTRAL,60,strong,2
UMOD,DCG,False,True,DCG,60,strong,2
DDX23,DIG,True,True,DIG,60,strong,2
PDIK1L,NEUTRAL,False,False,NEUTRAL,60,strong,2
STAB2,NEUTRAL,False,False,NEUTRAL,60,strong,2
SNORD19B,NEUTRAL,False,False,NEUTRAL,60,strong,2
WSB1,DIG,True,True,DIG,60,strong,2
PARVG,NEUTRAL,False,False,NEUTRAL,60,strong,2
KIF13A,DSG,True,False,DSG,60,strong,2
ANKFY1,NEUTRAL,False,False,NEUTRAL,60,strong,2
ARHGAP8,NEUTRAL,False,False,NEUTRAL,60,strong,2
DCDC1,DIG,True,True,DIG,60,strong,2
PHLDB3,DIG,True,False,DSG,60,strong,2
RNF103,DIG,True,True,DIG,60,strong,2
ACTG1P17,NEUTRAL,False,False,NEUTRAL,60,strong,2
GFRA2,NEUTRAL,False,False,NEUTRAL,60,strong,2
NIT1,DCG,False,True,DCG,60,strong,2
BTBD8,NEUTRAL,False,False,NEUTRAL,60,strong,2
MIR6730,NEUTRAL,False,False,NEUTRAL,60,strong,2
RNF113B,DIG,True,True,DIG,60,strong,2
SCARNA12,DSG,True,False,DSG,60,strong,2
GGNBP1,DSG,True,False,DSG,60,strong,2
RPL38P5,NEUTRAL,False,False,NEUTRAL,60,strong,2
SNRPEP4,DIG,True,True,DIG,60,strong,2
NEMP2,DIG,True,True,DIG,60,strong,2
SURF6,NEUTRAL,False,False,NEUTRAL,60,strong,2
ARID3B,NEUTRAL,False,False,NEUTRAL,60,strong,2
CLEC2D,DSG,False,False,NEUTRAL,60,strong,2
SELENOW,DIG,True,True,DIG,60,strong,2
ELFN1-AS1,DSG,True,False,DSG,60,strong,2
EPB41L4A-AS1,NEUTRAL,False,False,NEUTRAL,60,strong,2
PSEN1,NEUTRAL,True,True,DIG,60,strong,2
FBXW10,NEUTRAL,False,False,NEUTRAL,60,strong,2
HIP1R,DIG,True,True,DIG,60,strong,2
SNORD72,DCG,False,True,DCG,60,strong,2
RHOT1,DIG,True,True,DIG,60,strong,2
DLL1,NEUTRAL,False,False,NEUTRAL,60,strong,2
ST13P19,DCG,False,True,DCG,60,strong,2
TMEM267,DCG,False,True,DCG,60,strong,2
BATF,NEUTRAL,False,False,NEUTRAL,60,strong,2
HAGHL,DCG,False,True,DCG,60,strong,2
NADK2,DCG,False,True,DCG,60,strong,2
LYG1,DIG,True,True,DIG,60,strong,2
SIGLEC17P,DSG,True,False,DSG,60,strong,2
RPL28,DSG,True,False,DSG,60,strong,2
PRPF38AP1,DCG,True,True,DIG,60,strong,2
STXBP6,DIG,True,True,DIG,60,strong,2
ZNF366,NEUTRAL,False,False,NEUTRAL,60,strong,2
ADA,DCG,False,False,NEUTRAL,60,strong,2
WDR36,DIG,False,False,NEUTRAL,60,strong,2
ZFYVE1,NEUTRAL,False,False,NEUTRAL,60,strong,2
LINC01914,DIG,True,True,DIG,60,strong,2
ZNF599,DSG,True,False,DSG,60,strong,2
ALDH5A1,DSG,True,False,DSG,60,strong,2
LPIN3,DCG,True,True,DIG,60,strong,2
ANKRD34B,NEUTRAL,False,False,NEUTRAL,60,strong,2
LINC01257,DIG,True,True,DIG,60,strong,2
CYCS,DSG,True,False,DSG,60,strong,2
ITSN1,DIG,True,True,DIG,60,strong,2
FGF7,NEUTRAL,False,False,NEUTRAL,60,strong,2
RPS25,NEUTRAL,False,False,NEUTRAL,60,strong,2
ADPRS,NEUTRAL,False,False,NEUTRAL,60,strong,2
TGFBI,NEUTRAL,False,False,NEUTRAL,60,strong,2
DEPDC5,NEUTRAL,False,False,NEUTRAL,60,strong,2
FMO3,DCG,False,True,DCG,60,strong,2
SEPTIN7P8,DSG,True,False,DSG,60,strong,2
AGFG1,NEUTRAL,False,False,NEUTRAL,60,strong,2
LLGL2,DCG,False,True,DCG,60,strong,2
ZNF844,DIG,True,True,DIG,60,strong,2
ABCA8,DCG,False,False,NEUTRAL,60,strong,2
MFF,NEUTRAL,False,False,NEUTRAL,60,strong,2
ZNFX1,DCG,False,True,DCG,60,strong,2
SUN2,NEUTRAL,False,False,NEUTRAL,60,strong,2
WFDC5,DCG,True,True,DIG,60,strong,2
CFAP99,NEUTRAL,False,False,NEUTRAL,60,strong,2
SNHG12,NEUTRAL,False,True,DCG,60,strong,2
TFF2,DIG,True,True,DIG,60,strong,2
EEF1GP3,NEUTRAL,True,True,DIG,60,strong,2
LINC01144,NEUTRAL,False,False,NEUTRAL,60,strong,2
CDC5L,DSG,True,False,DSG,60,strong,2
BCAS2,DIG,True,True,DIG,60,strong,2
PRMT3,DIG,True,True,DIG,60,strong,2
LINC02568,NEUTRAL,False,False,NEUTRAL,60,strong,2
CMAS,DSG,True,False,DSG,60,strong,2
ARHGAP12,DSG,False,False,NEUTRAL,60,strong,2
TNKS,NEUTRAL,False,False,NEUTRAL,60,strong,2
OARD1,DSG,True,True,DIG,60,strong,2
OVCH1,DSG,True,False,DSG,60,strong,2
MBNL1,DCG,False,True,DCG,60,strong,2
PITRM1-AS1,DCG,False,True,DCG,60,strong,2
WWP1P1,DIG,True,True,DIG,60,strong,2
LINC02172,NEUTRAL,False,False,NEUTRAL,60,strong,2
LINC01788,NEUTRAL,False,False,NEUTRAL,60,strong,2
CD244,DCG,False,True,DCG,60,strong,2
TMEM14A,DSG,True,False,DSG,60,strong,2
TRAK1,NEUTRAL,False,False,NEUTRAL,60,strong,2
MSH4,NEUTRAL,False,False,NEUTRAL,60,strong,2
KIF18B,NEUTRAL,False,False,NEUTRAL,60,strong,2
GUCY1B1,NEUTRAL,False,False,NEUTRAL,60,strong,2
PAXIP1-AS2,DIG,True,True,DIG,60,strong,2
STARD4-AS1,NEUTRAL,False,False,NEUTRAL,60,strong,2
SUMO2P1,DSG,True,False,DSG,60,strong,2
PCDHGA7,DIG,True,True,DIG,60,strong,2
CLPB,DSG,True,False,DSG,60,strong,2
DNAH10,DIG,False,False,NEUTRAL,60,strong,2
HSPE1P9,NEUTRAL,False,False,NEUTRAL,60,strong,2
PEX19,DCG,False,True,DCG,60,strong,2
STIM2,NEUTRAL,False,False,NEUTRAL,60,strong,2
TES,DIG,False,False,NEUTRAL,60,strong,2
CRYBG3,DIG,True,True,DIG,60,strong,2
ARFIP2,NEUTRAL,False,False,NEUTRAL,60,strong,2
RN7SKP203,DIG,True,True,DIG,60,strong,2
OSBPL3,DSG,True,False,DSG,60,strong,2
KIF5B,DSG,True,False,DSG,60,strong,2
WDR83,DIG,True,True,DIG,60,strong,2
RN7SL521P,DIG,True,True,DIG,60,strong,2
NTN3,DCG,False,True,DCG,60,strong,2
COX11P1,DSG,False,True,DCG,60,strong,2
PLBD1,DIG,True,True,DIG,60,strong,2
SLC24A4,NEUTRAL,False,False,NEUTRAL,60,strong,2
ISCA1P1,NEUTRAL,False,False,NEUTRAL,60,strong,2
GALR1,NEUTRAL,False,False,NEUTRAL,60,strong,2
RRAGC,DIG,True,True,DIG,60,strong,2
BRSK2,NEUTRAL,False,False,NEUTRAL,60,strong,2
PPP1R3G,DIG,True,True,DIG,60,strong,2
PPL,DCG,False,True,DCG,60,strong,2
PDXP-DT,NEUTRAL,False,True,DCG,60,strong,2
GPX1P2,DIG,True,True,DIG,60,strong,2
SPHKAP,NEUTRAL,False,False,NEUTRAL,60,strong,2
ROPN1L,DCG,False,True,DCG,60,strong,2
LOXL1-AS1,NEUTRAL,False,False,NEUTRAL,60,strong,2
BAIAP2,DCG,False,True,DCG,60,strong,2
DDX50,DIG,False,False,NEUTRAL,60,strong,2
NTSR2,DIG,True,True,DIG,60,strong,2
ALDH7A1P1,NEUTRAL,False,False,NEUTRAL,60,strong,2
CUZD1,NEUTRAL,False,False,NEUTRAL,60,strong,2
SEPTIN12,DCG,False,True,DCG,60,strong,2
