,sample_size,n_genes,cn_signal,replicate,tag,method,TP,FP,FN,TN,Precision,Recall,F1,Accuracy,AUC,MCC,n_pos,n_neg,FP_DSG,FP_NEUTRAL
61,10,5000,weak,19,S10_G5000_CNweak_R19,DeConveil,873,137,624,2858,0.8643564356435643,0.5831663326653307,0.6964499401675309,0.8305877114870882,0.7687117139119642,0.6068073574457452,1497,2995,27,110
62,10,5000,weak,2,S10_G5000_CNweak_R2,PyDESeq2,811,201,690,2789,0.8013833992094862,0.5403064623584277,0.6454436927974533,0.8016032064128257,0.7365411910454346,0.5341278763759608,1501,2990,114,87
63,10,5000,weak,2,S10_G5000_CNweak_R2,DeConveil,847,182,654,2808,0.8231292517006803,0.564290473017988,0.6695652173913044,0.813849922066355,0.7517104539002983,0.565048816465688,1501,2990,32,150
64,10,5000,weak,20,S10_G5000_CNweak_R20,PyDESeq2,814,172,688,2814,0.8255578093306288,0.5419440745672437,0.6543408360128617,0.8083778966131907,0.7421709656158388,0.5519953367136337,1502,2986,111,61
65,10,5000,weak,20,S10_G5000_CNweak_R20,DeConveil,860,132,642,2854,0.8669354838709677,0.5725699067909454,0.6896551724137931,0.8275401069518716,0.7641818053713603,0.6008571304643817,1502,2986,20,112
66,10,5000,weak,3,S10_G5000_CNweak_R3,PyDESeq2,801,176,700,2815,0.81985670419652,0.5336442371752165,0.6464891041162227,0.804986642920748,0.7374005204598918,0.5428755326687841,1501,2991,108,68
67,10,5000,weak,3,S10_G5000_CNweak_R3,DeConveil,854,149,647,2842,0.8514456630109671,0.5689540306462358,0.6821086261980831,0.8227960819234195,0.7595689578172671,0.5880040948013456,1501,2991,24,125
68,10,5000,weak,4,S10_G5000_CNweak_R4,PyDESeq2,844,215,656,2779,0.7969782813975449,0.5626666666666666,0.6596326690113326,0.806186025812194,0.7454281897127588,0.5453993505593735,1500,2994,123,92
69,10,5000,weak,4,S10_G5000_CNweak_R4,DeConveil,898,181,602,2813,0.8322520852641334,0.5986666666666667,0.6963939511438542,0.8257676902536716,0.7691062124248497,0.5941815612709203,1500,2994,30,151
70,10,5000,weak,5,S10_G5000_CNweak_R5,PyDESeq2,825,207,679,2780,0.7994186046511628,0.5485372340425532,0.6506309148264984,0.8027165441995101,0.7396184663684476,0.5376215636494549,1504,2987,117,90
71,10,5000,weak,5,S10_G5000_CNweak_R5,DeConveil,887,148,617,2839,0.8570048309178744,0.5897606382978723,0.6987002756990941,0.8296593186372746,0.7701062983923241,0.6054094484260097,1504,2987,20,128
72,10,5000,weak,6,S10_G5000_CNweak_R6,PyDESeq2,801,210,700,2777,0.7922848664688428,0.5336442371752165,0.6377388535031847,0.7972370766488414,0.7316697918383614,0.5232743397490859,1501,2987,122,88
73,10,5000,weak,6,S10_G5000_CNweak_R6,DeConveil,862,151,639,2836,0.8509378084896347,0.5742838107928048,0.6857597454256166,0.8239750445632799,0.7618657085433725,0.5910639298584786,1501,2987,28,123
74,10,5000,weak,7,S10_G5000_CNweak_R7,PyDESeq2,834,204,670,2779,0.8034682080924855,0.5545212765957447,0.6561762391817466,0.805215065745487,0.7430668736314292,0.5442031378667938,1504,2983,120,84
75,10,5000,weak,7,S10_G5000_CNweak_R7,DeConveil,850,159,654,2824,0.8424182358771061,0.5651595744680851,0.6764822920811778,0.818809895252953,0.7559287647734324,0.578747688009147,1504,2983,24,135
76,10,5000,weak,8,S10_G5000_CNweak_R8,PyDESeq2,817,185,686,2803,0.8153692614770459,0.543579507651364,0.6522954091816368,0.8060565575595636,0.7408325918444235,0.5459221262264911,1503,2988,111,74
77,10,5000,weak,8,S10_G5000_CNweak_R8,DeConveil,862,158,641,2830,0.8450980392156863,0.573519627411843,0.6833135156559651,0.82208862168782,0.7603207240138198,0.586382678957187,1503,2988,28,130
78,10,5000,weak,9,S10_G5000_CNweak_R9,PyDESeq2,838,208,662,2780,0.8011472275334608,0.5586666666666666,0.6582875098193244,0.8061497326203209,0.7445274431057565,0.5456601690092047,1500,2988,124,84
79,10,5000,weak,9,S10_G5000_CNweak_R9,DeConveil,886,172,614,2816,0.8374291115311909,0.5906666666666667,0.6927286942924159,0.8248663101604278,0.7665515394912985,0.5924575292288116,1500,2988,30,142
80,20,5000,strong,1,S20_G5000_CNstrong_R1,PyDESeq2,1061,390,438,2602,0.7312198483804273,0.7078052034689793,0.7193220338983051,0.8156312625250501,0.7887288049430459,0.5822791266778842,1499,2992,306,84
81,20,5000,strong,1,S20_G5000_CNstrong_R1,DeConveil,1124,227,375,2765,0.8319763138415989,0.7498332221480988,0.7887719298245615,0.8659541304831886,0.8369821190954396,0.6929884002597411,1499,2992,27,200
