,sample_size,n_genes,cn_signal,replicate,tag,comparison,TP,FP,FN,TN,Precision,Recall,F1 score,Accuracy,AUC,MCC,n_pos,n_neg
263,40,5000,weak,16,S40_G5000_CNweak_R16,DIG_vs_rest,1206,333,290,3160,0.783625730994152,0.8061497326203209,0.7947281713344316,0.8751252756063339,0.8554081042145406,0.7051695559849184,1496,3493
264,40,5000,weak,17,S40_G5000_CNweak_R17,DCG_vs_rest,352,125,398,4114,0.7379454926624738,0.4693333333333333,0.5737571312143439,0.8951693726197635,0.719922623260203,0.5345871407776891,750,4239
265,40,5000,weak,17,S40_G5000_CNweak_R17,DSG_vs_rest,409,32,339,4209,0.927437641723356,0.5467914438502673,0.687973086627418,0.9256364000801763,0.769623026806058,0.6781759554060085,748,4241
266,40,5000,weak,17,S40_G5000_CNweak_R17,DIG_vs_rest,1221,340,275,3153,0.7821909032671365,0.8161764705882353,0.7988223748773308,0.8767288033674083,0.8594194691904817,0.7103539922126467,1496,3493
267,40,5000,weak,18,S40_G5000_CNweak_R18,DCG_vs_rest,376,136,375,4106,0.734375,0.5006657789613849,0.5954077593032462,0.8976567194071701,0.7343027150346764,0.5521920693042954,751,4242
268,40,5000,weak,18,S40_G5000_CNweak_R18,DSG_vs_rest,445,21,303,4224,0.9549356223175965,0.5949197860962567,0.7331136738056013,0.9351091528139395,0.7949863948149128,0.723808072596749,748,4245
269,40,5000,weak,18,S40_G5000_CNweak_R18,DIG_vs_rest,1223,301,274,3195,0.80249343832021,0.8169672678690715,0.8096656736180072,0.8848387742839976,0.8654344348498675,0.7271791914470327,1497,3496
270,40,5000,weak,19,S40_G5000_CNweak_R19,DCG_vs_rest,392,140,358,4101,0.7368421052631579,0.5226666666666666,0.6115444617784711,0.9002203967140854,0.7448277921873772,0.5669972172963672,750,4241
271,40,5000,weak,19,S40_G5000_CNweak_R19,DSG_vs_rest,449,30,299,4213,0.9373695198329853,0.6002673796791443,0.7318663406682967,0.9340813464235624,0.7965984553356834,0.7188427438005688,748,4243
272,40,5000,weak,19,S40_G5000_CNweak_R19,DIG_vs_rest,1198,309,299,3185,0.7949568679495687,0.8002672010688042,0.7976031957390146,0.87818072530555,0.8559149399734405,0.7104816493892399,1497,3494
273,40,5000,weak,2,S40_G5000_CNweak_R2,DCG_vs_rest,366,136,384,4105,0.7290836653386454,0.488,0.5846645367412141,0.8958124624323783,0.7279660457439283,0.5416743469686579,750,4241
274,40,5000,weak,2,S40_G5000_CNweak_R2,DSG_vs_rest,424,30,324,4213,0.933920704845815,0.5668449197860963,0.7054908485856906,0.9290723301943499,0.7798872253891593,0.6948452152327232,748,4243
275,40,5000,weak,2,S40_G5000_CNweak_R2,DIG_vs_rest,1211,316,286,3178,0.7930582842174198,0.8089512358049432,0.8009259259259259,0.879382889200561,0.8592552401119736,0.7144913863283932,1497,3494
276,40,5000,weak,20,S40_G5000_CNweak_R20,DCG_vs_rest,382,143,369,4099,0.7276190476190476,0.5086551264980027,0.5987460815047022,0.8974564390146205,0.7374723062947345,0.5534928721095772,751,4242
277,40,5000,weak,20,S40_G5000_CNweak_R20,DSG_vs_rest,419,26,329,4219,0.9415730337078652,0.5601604278074866,0.702430846605197,0.9289004606449028,0.7770177875197621,0.6939641966954612,748,4245
278,40,5000,weak,20,S40_G5000_CNweak_R20,DIG_vs_rest,1233,298,264,3198,0.8053559764859569,0.8236472945891784,0.8143989431968296,0.887442419387142,0.8692035099948181,0.733738490436386,1497,3496
279,40,5000,weak,3,S40_G5000_CNweak_R3,DCG_vs_rest,382,122,368,4119,0.7579365079365079,0.5093333333333333,0.6092503987240829,0.9018232819074333,0.7402832665251906,0.5699345536562092,750,4241
280,40,5000,weak,3,S40_G5000_CNweak_R3,DSG_vs_rest,457,20,291,4223,0.9580712788259959,0.6109625668449198,0.7461224489795918,0.9376878381085955,0.8031244604198673,0.7360347627769874,748,4243
281,40,5000,weak,3,S40_G5000_CNweak_R3,DIG_vs_rest,1214,290,283,3204,0.8071808510638298,0.8109552438209753,0.8090636454515162,0.8851933480264476,0.8639779081154104,0.726988396296424,1497,3494
282,40,5000,weak,4,S40_G5000_CNweak_R4,DCG_vs_rest,391,138,360,4103,0.7391304347826086,0.5206391478029294,0.6109375,0.9002403846153846,0.7440498262004508,0.5669194063343966,751,4241
283,40,5000,weak,4,S40_G5000_CNweak_R4,DSG_vs_rest,440,18,308,4226,0.9606986899563319,0.5882352941176471,0.7296849087893864,0.9346955128205128,0.7919970061540168,0.7220601611701125,748,4244
284,40,5000,weak,4,S40_G5000_CNweak_R4,DIG_vs_rest,1221,316,276,3179,0.7944046844502277,0.8156312625250501,0.8048780487804879,0.8814102564102564,0.8626081920636696,0.719848555903603,1497,3495
285,40,5000,weak,5,S40_G5000_CNweak_R5,DCG_vs_rest,370,114,380,4130,0.7644628099173554,0.49333333333333335,0.5996758508914101,0.9010812975570685,0.7332359409362238,0.5632910331456453,750,4244
286,40,5000,weak,5,S40_G5000_CNweak_R5,DSG_vs_rest,424,18,325,4227,0.9592760180995475,0.5660881174899867,0.7120067170445005,0.9313175810973168,0.7809239174022372,0.7062951212011255,749,4245
287,40,5000,weak,5,S40_G5000_CNweak_R5,DIG_vs_rest,1222,355,276,3141,0.7748890298034242,0.8157543391188251,0.7947967479674797,0.8736483780536644,0.8571048583465979,0.7040913955512934,1498,3496
288,40,5000,weak,6,S40_G5000_CNweak_R6,DCG_vs_rest,373,105,376,4136,0.7803347280334728,0.4979973297730307,0.6079869600651997,0.9036072144288577,0.7366195090270483,0.5743241729286951,749,4241
289,40,5000,weak,6,S40_G5000_CNweak_R6,DSG_vs_rest,432,33,316,4209,0.9290322580645162,0.5775401069518716,0.7122835943940643,0.930060120240481,0.7848803787941819,0.6996694259665522,748,4242
290,40,5000,weak,6,S40_G5000_CNweak_R6,DIG_vs_rest,1250,348,247,3145,0.7822277847309136,0.8350033400133601,0.8077544426494345,0.8807615230460922,0.8676877564653116,0.7222757734752671,1497,3493
291,40,5000,weak,7,S40_G5000_CNweak_R7,DCG_vs_rest,377,126,373,4113,0.7495029821073559,0.5026666666666667,0.601755786113328,0.8999799559029865,0.7364713375796179,0.5613803622372001,750,4239
292,40,5000,weak,7,S40_G5000_CNweak_R7,DSG_vs_rest,410,24,338,4217,0.9447004608294931,0.5481283422459893,0.6937394247038917,0.927440368811385,0.7712346497836879,0.687180844093749,748,4241
293,40,5000,weak,7,S40_G5000_CNweak_R7,DIG_vs_rest,1244,334,252,3159,0.788339670468948,0.8315508021390374,0.8093689004554326,0.8825415915013028,0.8679654955441823,0.7251165582866663,1496,3493
294,40,5000,weak,8,S40_G5000_CNweak_R8,DCG_vs_rest,345,117,404,4121,0.7467532467532467,0.4606141522029373,0.5697770437654831,0.8955283737718067,0.7165033951198736,0.5335631309491519,749,4238
295,40,5000,weak,8,S40_G5000_CNweak_R8,DSG_vs_rest,424,36,324,4203,0.9217391304347826,0.5668449197860963,0.7019867549668874,0.9278123120112292,0.7791761753919866,0.6889801235372041,748,4239
296,40,5000,weak,8,S40_G5000_CNweak_R8,DIG_vs_rest,1236,348,260,3143,0.7803030303030303,0.8262032085561497,0.8025974025974026,0.8780830158411871,0.8632591522585962,0.7151196615886831,1496,3491
297,40,5000,weak,9,S40_G5000_CNweak_R9,DCG_vs_rest,367,149,383,4092,0.7112403100775194,0.48933333333333334,0.5797788309636651,0.8934081346423562,0.7271000550184705,0.5330778437663984,750,4241
298,40,5000,weak,9,S40_G5000_CNweak_R9,DSG_vs_rest,435,29,313,4214,0.9375,0.5815508021390374,0.7178217821782178,0.9314766579843718,0.7873580077157596,0.7064417813037442,748,4243
299,40,5000,weak,9,S40_G5000_CNweak_R9,DIG_vs_rest,1198,321,299,3173,0.7886767610269915,0.8002672010688042,0.7944297082228117,0.8757763975155279,0.8541977104370924,0.7054713000845848,1497,3494
300,60,5000,strong,1,S60_G5000_CNstrong_R1,DCG_vs_rest,511,105,239,4134,0.8295454545454546,0.6813333333333333,0.7481698389458272,0.9310483062738024,0.828281670205237,0.7132780758051325,750,4239
301,60,5000,strong,1,S60_G5000_CNstrong_R1,DSG_vs_rest,579,24,169,4217,0.9601990049751243,0.7740641711229946,0.8571428571428571,0.961314892764081,0.8842025642221906,0.841554448746161,748,4241
302,60,5000,strong,1,S60_G5000_CNstrong_R1,DIG_vs_rest,1318,269,178,3224,0.8304977945809704,0.8810160427807486,0.8550113525786571,0.9104028863499699,0.9020024387966152,0.7909848311231628,1496,3493
303,60,5000,strong,10,S60_G5000_CNstrong_R10,DCG_vs_rest,512,103,237,4136,0.832520325203252,0.6835781041388518,0.750733137829912,0.9318364073777065,0.8296399603024998,0.7163333475733948,749,4239
304,60,5000,strong,10,S60_G5000_CNstrong_R10,DSG_vs_rest,575,23,173,4217,0.9615384615384616,0.7687165775401069,0.8543833580980683,0.9607056936647955,0.88164602461911,0.8389606929932889,748,4240
305,60,5000,strong,10,S60_G5000_CNstrong_R10,DIG_vs_rest,1314,324,182,3168,0.8021978021978022,0.8783422459893048,0.8385449904275686,0.8985565356856455,0.8927793704173329,0.7664824712467991,1496,3492
306,60,5000,strong,11,S60_G5000_CNstrong_R11,DCG_vs_rest,527,105,224,4141,0.8338607594936709,0.7017310252996005,0.7621113521330442,0.9341604962977786,0.8385009342230457,0.7278622029384417,751,4246
307,60,5000,strong,11,S60_G5000_CNstrong_R11,DSG_vs_rest,545,25,204,4223,0.956140350877193,0.7276368491321762,0.8263836239575436,0.9541725035021013,0.860875863360815,0.8104548128154743,749,4248
308,60,5000,strong,11,S60_G5000_CNstrong_R11,DIG_vs_rest,1332,307,167,3191,0.8126906650396584,0.8885923949299533,0.8489483747609943,0.9051430858515109,0.9004139790544563,0.7816640219431195,1499,3498
309,60,5000,strong,12,S60_G5000_CNstrong_R12,DCG_vs_rest,521,89,229,4152,0.8540983606557377,0.6946666666666667,0.7661764705882353,0.9362853135644159,0.836840525033404,0.7349665183684321,750,4241
310,60,5000,strong,12,S60_G5000_CNstrong_R12,DSG_vs_rest,566,17,182,4226,0.9708404802744426,0.7566844919786097,0.850488354620586,0.9601282308154678,0.8763389464371012,0.8364527338530383,748,4243
