,p_naive,p_aware,sample_size,rep
191,0.7718234157818993,0.7718346909745724,10,0
192,0.7844065570796362,0.7844083274490286,10,0
193,0.6345848613409777,0.6345964316511765,10,0
194,0.3494838337196735,0.3494928440081455,10,0
195,0.48321869751775415,0.9997335384859634,10,0
196,0.8032045964897481,0.8033251641537624,10,0
197,0.23530011175121213,0.23542070657093095,10,0
198,0.03300239838372397,0.03300347142163451,10,0
199,0.07748618115632101,0.07749001111235705,10,0
200,0.07975188740696773,0.9996859356590198,10,0
201,0.1732903405534889,0.17329047938743902,10,0
202,0.451507584791222,0.45150783116276816,10,0
203,0.9931551999219016,0.9931552029199223,10,0
204,0.647980795536111,0.6479808539808121,10,0
205,0.9160117543035128,0.9160115108601651,10,0
206,0.316254912319215,0.31625505194624315,10,0
207,0.05261120579610909,0.05262294316148411,10,0
208,5.2491209751559196e-05,0.9977296834084262,10,0
209,0.1491374339390086,0.14913754158774026,10,0
210,0.6381654114266919,0.6381655352673925,10,0
211,0.2837985053449975,0.283914450141573,10,0
212,0.0387509068077231,0.03875094861395181,10,0
213,0.6095226812494523,0.6095229275180327,10,0
214,0.8038272998642413,0.8038274076758869,10,0
215,0.6253455933926818,0.6253456384910631,10,0
216,0.05878617392677873,0.05878642044119304,10,0
217,0.8802849293804508,0.8802869223578468,10,0
218,0.6323838200844893,0.6324122399786445,10,0
219,0.7828737325846575,0.7828741166170392,10,0
220,0.029025449085021394,0.9995526873287744,10,0
221,0.15625821265307627,0.15626069111696858,10,0
222,0.5155070981701639,0.5155096123128279,10,0
223,0.9459224435256791,0.945974157802868,10,0
224,0.9850043358266733,0.985004473909539,10,0
225,0.015881973818005143,0.015898928086406507,10,0
226,0.39528431177691836,0.39524298911554645,10,0
227,0.020180348726298314,0.020180725419141184,10,0
228,0.9312569528877289,0.9312569775913004,10,0
229,0.30203484269785397,0.30203624837597154,10,0
230,0.6822626270427088,0.6822590402890867,10,0
231,0.5924200036219556,0.5924426660824769,10,0
232,0.6521794191835417,0.6521804936707054,10,0
233,0.003912562926976172,0.861942721189134,10,0
234,0.30902830183190366,0.309028450123777,10,0
235,0.04968979863338486,0.049742976903757626,10,0
236,3.6497163844352134e-05,3.676660322667557e-05,10,0
237,0.603554425215568,0.9995169754608019,10,0
238,0.11630124037488315,0.9989279584773535,10,0
239,0.37039322193121305,0.3705588756270658,10,0
240,0.2013774524930121,0.20170675044802022,10,0
241,0.5807282147910224,0.580732071087125,10,0
242,0.735008603675149,0.7350088279856093,10,0
243,0.4912445393703013,0.49125122652401987,10,0
244,0.06347216437187686,0.06347217228330941,10,0
245,0.5052178540561323,0.505218094388469,10,0
246,0.7189112278224945,0.7189114834022983,10,0
247,0.5431658033571962,0.5432174539705611,10,0
248,0.5749115146857605,0.5749124627403703,10,0
249,0.47227301317276293,0.47227333646122494,10,0
250,0.979056170364484,0.9790562386191024,10,0
251,0.677797630232231,0.6777976973596107,10,0
252,0.3844993287071522,0.3845051513264399,10,0
253,0.6563199360431224,0.6563179231759371,10,0
254,0.9705647931919842,0.9705648176081735,10,0
255,0.22615403270473466,0.2261813477523379,10,0
256,0.2122373063551829,0.2123036961906969,10,0
257,0.28965164034834867,0.2896624864992047,10,0
258,0.3983856422833574,0.3984915099229456,10,0
259,0.5970684575022374,0.5970688262382567,10,0
260,0.21964347774911563,0.24818321277020583,10,0
261,0.3603670169229136,0.360367137542316,10,0
262,0.6809610551789367,0.6809614820870216,10,0
263,0.7453468971538069,0.7453468808241848,10,0
264,0.8539521289508175,0.8539559041521969,10,0
265,0.715110832524991,0.7151108218061439,10,0
266,0.6106722301304394,0.9986539748561851,10,0
267,0.5466299576014446,0.5466706792805707,10,0
268,0.7488260300260885,0.7489686003281304,10,0
269,0.6242776962169443,0.6242943923706077,10,0
270,0.7625005730973012,0.7625009894237559,10,0
271,0.6344885138400731,0.6344885023635602,10,0
272,0.00021649031624372016,0.00021649115938524412,10,0
273,0.073655267515351,0.07368676695760186,10,0
274,0.41433746452244946,0.4144454123063207,10,0
275,0.3814921993702267,0.3814965515766031,10,0
276,0.7301524063364434,0.7301536220941752,10,0
277,0.1649904454427099,0.1649906230457847,10,0
278,0.40373521777315957,0.4037836191204147,10,0
279,0.0681836707196869,0.9994518528190768,10,0
280,0.6812993636698832,0.6813018765868943,10,0
281,0.35218425603243286,0.3521698971862677,10,0
282,0.3805802156778101,0.38058137181302276,10,0
283,0.7798743371085315,0.7798756961984682,10,0
284,0.780874140107183,0.780874700337852,10,0
285,0.5827253765334125,0.5835070164162308,10,0
286,0.27241734849878785,0.2724174194835993,10,0
287,0.0072016552475560784,0.9890931472812159,10,0
288,0.6358947404166138,0.6358966141345821,10,0
289,0.09524769881097975,0.09524911642608919,10,0
290,0.3046027122258157,0.304692942759311,10,0
291,0.6057096543300808,0.6057096853440888,10,0
292,0.1951620036535161,0.19516208003677527,10,0
293,0.5995540374212813,0.5995567936834356,10,0
294,0.9157102312411917,0.9157103539755493,10,0
295,0.8935584412637065,0.8935587980007731,10,0
296,0.8168212269355797,0.8168220102345548,10,0
297,0.8286966089058598,0.8286998758583413,10,0
298,0.4622344184485575,0.462236069713038,10,0
299,0.7227703646705679,0.7227725179726501,10,0
300,0.5263021180975689,0.5263201634828825,10,0
301,0.9215946963189712,0.9215944958196621,10,0
302,0.8054541543455592,0.8054582185843845,10,0
303,0.9569614467963307,0.9569614676817084,10,0
304,0.30598805449126465,0.3059908103542637,10,0
305,0.6733827146561918,0.6734121570948797,10,0
306,0.7959889791017518,0.8031218884951027,10,0
307,0.6619547081736052,0.6619827747641238,10,0
308,0.4612857418640599,0.461286111939216,10,0
309,0.26719327306117135,0.2671933626184553,10,0
310,0.2904005029457024,0.29064599066177155,10,0
311,0.2927492546237047,0.29275003806665223,10,0
312,0.48141037271499276,0.4814110342554154,10,0
313,0.3557188590952657,0.35572234043943285,10,0
314,0.11015493081021875,0.1101552252112466,10,0
315,0.8278765044297051,0.8278796059146328,10,0
316,0.5510864857597919,0.9990196106867796,10,0
317,0.6975745681385168,0.6975746810847719,10,0
318,0.20681456704445378,0.20681477140166749,10,0
319,0.29277826131621487,0.29279414175193086,10,0
320,0.4030877570227376,0.4030896971194625,10,0
321,0.8709366280107849,0.8709334954185823,10,0
322,0.9570570898198215,0.9570572552989997,10,0
323,0.4086379694316248,0.4086389919831165,10,0
324,0.8968197628396803,0.9990965532846846,10,0
325,0.13288472565340803,0.132884750896675,10,0
326,0.40971416048800047,0.40993759192611057,10,0
327,0.025398436945473998,0.025448424674107573,10,0
328,0.5179807078336102,0.5179868825797274,10,0
329,0.8019271107409708,0.8019272098312707,10,0
330,0.6509285334107074,0.6509287741651589,10,0
331,0.4328990586916759,0.4328992115323882,10,0
332,0.8068484451014748,0.806848967853211,10,0
333,0.12132389099392511,0.12133916199837075,10,0
334,0.1832482127232895,0.1832741849500923,10,0
335,0.016724122096152667,0.016724130958624524,10,0
336,0.7251407263847547,0.7251400003154753,10,0
337,0.21123831203447418,0.2112421609982118,10,0
338,0.7924319925004647,0.9735191085992113,10,0
339,0.4117216659702442,0.4039019065738425,10,0
340,0.4412716753521899,0.4412746161675586,10,0
341,0.04676660462890071,0.04677262541183882,10,0
342,0.970234582599808,0.9702345743519024,10,0
343,0.7608935471686804,0.7608938955420912,10,0
344,0.4848144787107833,0.48481890535228733,10,0
345,0.43776579529199866,0.4377661479001804,10,0
346,0.6919780198239645,0.6919772257949861,10,0
347,0.666455729794883,0.666589936802866,10,0
348,0.4928218909376767,0.9992443739733556,10,0
349,0.5341138033329879,0.5343190098484106,10,0
350,0.09388496175541021,0.06655579358255509,10,0
351,0.8211677046546271,0.8211685355340635,10,0
352,0.3738249937128374,0.37382508728513597,10,0
353,0.26017858625483403,0.26017872586563495,10,0
354,0.9201424966206504,0.9201390553442392,10,0
355,0.45959044171633423,0.4595918401227759,10,0
356,0.40544294351653065,0.3759666244322376,10,0
357,0.6075282042460066,0.607535932736164,10,0
358,0.8917468761348311,0.8917494477679421,10,0
359,0.15527946467399284,0.15527949771450017,10,0
360,0.7138095454232007,0.7138095537959771,10,0
361,0.091643129458875,0.09164309704447059,10,0
362,0.7135735570232781,0.7136894375527144,10,0
363,0.29974980132185713,0.2997577332106234,10,0
364,0.9933544338084875,0.9933557616755303,10,0
365,0.2511082670813065,0.9991941723978693,10,0
366,0.8970883560687292,0.8970884988835706,10,0
367,0.6386377836404113,0.6386378208816896,10,0
368,0.7437133822878232,0.7437356874419794,10,0
369,0.03226120683271039,0.03226135867952702,10,0
370,0.2870731801649865,0.28708747690810976,10,0
371,0.6656922684455662,0.6656928310448426,10,0
372,0.16147045348640188,0.16147084352475494,10,0
373,0.9999595201745856,0.9999594950369295,10,0
374,0.5372743548423535,0.5372765536747612,10,0
375,0.8393945856613781,0.8393947166561648,10,0
376,0.8803293982864171,0.8803304129844234,10,0
377,0.6931252827621707,0.6931253732532539,10,0
378,0.42865673823587847,0.42869793229277486,10,0
379,0.5614029852525252,0.5614030742373796,10,0
380,0.1930516130799258,0.19305180180366477,10,0
381,0.3005295420610943,0.30053428279638816,10,0
382,0.4298725142155725,0.987598083939362,10,0
383,0.7250809435081896,0.7276052208864694,10,0
384,0.4578572363159713,0.45785658613657076,10,0
385,0.7938910582985459,0.7939139635244827,10,0
386,0.042261323771302435,0.042291556523819905,10,0
387,0.8579885345888314,0.8579934132391664,10,0
388,0.8706478802237412,0.8706479579272206,10,0
389,0.8393046572316756,0.8393099784368824,10,0
390,0.6827044381126419,0.6827045117335646,10,0
391,0.43552147637071537,0.43552416068912514,10,0
392,0.8522822751944289,0.8523419972949937,10,0
393,0.1267615584127446,0.12676414762653374,10,0
394,0.5442111352395548,0.5442113691563933,10,0
395,0.019304327956637023,0.019304345800875554,10,0
396,0.6018561638319998,0.6018563450767354,10,0
397,0.24916617826202214,0.24916625533133008,10,0
398,0.42591787552597105,0.42625541525637023,10,0
399,0.989297428757416,0.9892974289299378,10,0
400,1.6263758463977654e-08,1.639079982013156e-08,10,0
401,0.6470603988121748,0.6470605560594114,10,0
402,0.052422744196056525,0.052420911199775856,10,0
403,0.9053164523492949,0.9053384835710792,10,0
404,0.9347484526323184,0.9347489004891386,10,0
405,0.7891929445115476,0.7892406729350169,10,0
406,0.9582625110532503,0.9582625591776697,10,0
407,0.6789722726341967,0.6791902455558214,10,0
408,0.4475694942512287,0.4475695779507659,10,0
409,0.2644999463880575,0.26450039149758464,10,0
410,0.39630677658696833,0.396306917228485,10,0
411,0.037993412078432,0.037994417036967446,10,0
412,0.34959300397712767,0.3495893533846587,10,0
413,0.9409042002544019,0.9409067396660984,10,0
414,0.5709603047894211,0.570960798653819,10,0
415,0.8124856197463545,0.812486118397564,10,0
416,0.4846520789679336,0.484652391641489,10,0
417,0.3957938935630325,0.39579445379075473,10,0
418,0.0834548979791051,0.08345636097850799,10,0
419,0.7579252851189173,0.757925402224441,10,0
420,0.013532500802966927,0.013532552575575254,10,0
421,0.29237699586837806,0.2923798800613967,10,0
422,0.8941068942391821,0.8941153375502254,10,0
423,0.36534487668593707,0.36534491921442425,10,0
424,0.7613709824981438,0.7613970295933798,10,0
425,0.08986531664603124,0.08992288494813147,10,0
426,0.12063685640997733,0.12063702175879225,10,0
427,0.09190157967008908,0.09190168430289264,10,0
428,0.3270086204000454,0.327009081236705,10,0
429,0.1462715454296171,0.1462847846322819,10,0
430,0.1405686180865721,0.1405722992453915,10,0
431,0.4003802389811365,0.40041341845995126,10,0
432,0.21254332864906123,0.2126046627608419,10,0
433,0.38044565102155314,0.3804501513458153,10,0
434,0.08285994535765412,0.08286009539145278,10,0
435,0.6768482151095874,0.6768482815563717,10,0
436,0.7895929498072138,0.7896727628177467,10,0
437,0.3301488152460337,0.3301491652582639,10,0
