,padjScreen,p_naive,p_aware
AC002451.1,0.047334766019092346,0.7969821228476749,0.02354033990529537
AC002456.1,0.01506402837750366,0.006753127341004365,0.15037871752865847
AC002467.1,0.19018996864049628,,
AC002470.1,0.4021895150213231,,
AC002553.1,0.00827714901502543,0.003515566804179376,0.023694714882555493
AC002553.2,2.6136094626819643e-05,6.946655400102758e-06,3.349205091522641e-05
AC003102.1,1.4073673736974772e-09,1.7719852865862617e-10,1.287997634508748e-06
AC003681.1,0.03880361144682319,0.018951526998855,0.24226113116119746
AC004012.1,0.21750625961098255,,
AC004148.1,0.0030837371141405365,0.02922842109232699,0.0012061823019076695
AC004160.1,4.7289197781331006e-14,1.9007687102820326e-12,3.0684970458047113e-15
AC004160.2,2.6333419747162296e-09,1.2951316698668289e-08,3.457976298500512e-10
AC004233.2,0.12023392034710165,,
AC004241.1,0.02274149147522214,0.20147241518914935,0.010561052621990698
AC004241.2,0.009877035238185637,0.04579622291960845,0.004260934618291777
AC004241.5,0.0021405180285054186,0.03627056193255737,0.0008146066794620004
AC004263.2,0.437554922324039,,
AC004453.1,0.6040928483221416,,
AC004522.5,1.909799108519353e-12,8.693140578815247e-08,1.5671267550567317e-13
AC004540.1,0.003937909165291061,0.0015737026483490682,0.05281422103273111
AC004540.2,6.279676234104246e-09,7.830598527158328e-05,8.831104524042244e-10
AC004687.1,0.2854774312621483,,
AC004803.1,0.5027890113430488,,
AC004812.2,5.927725308644108e-07,1.1700566099040568e-07,0.00022805881297390326
AC004825.2,0.2016292750585127,,
AC004832.5,0.0003531717025243405,0.000825204072086401,0.0001162695441567542
AC004847.1,1.3758238688548403e-05,0.004658731641642522,3.4645391077099306e-06
AC004854.2,0.004038327974891868,0.00161670195174172,0.25627574315743074
AC004862.1,0.06616690991291134,,
AC004918.3,3.8718314687426193e-05,1.0620945969277393e-05,0.0558567307530976
AC004921.1,4.388937679115386e-14,1.865171469675258e-09,2.8374960208363598e-15
AC004925.1,0.678665812065404,,
AC004943.2,2.8750956298997535e-06,3.941046321917242e-06,6.430836333534063e-07
AC004951.2,0.001191659972570496,0.00043262110939783005,0.2772141928472348
