"","sample46","sample47","sample48","sample49","sample50","sample51","sample52","sample53","sample54","sample55","sample56","sample57","sample58","sample59","sample60","sample61","sample62","sample63","sample64","sample65","sample66","sample67","sample68","sample69","sample70","sample71","sample72","sample73","sample74","sample75","sample76","sample77","sample78","sample79","sample80","sample81","sample82","sample83","sample84","sample85","sample86","sample87","sample88","sample89","sample90"
"HTRA4",0.5,2.5,3,0.5,7.5,1,0.5,2.5,4,4,2,1,1,0.5,1.5,1,0.5,2.5,0.5,5.5,1,1,1,0.5,0.5,1.5,2,0.5,1.5,1,2.5,1,1,1,3.5,4.5,1.5,2,0.5,1,3,1,1,1,0.5
"HTT",1,1.5,1,0.5,2,1,1,1.5,1,2,2,1,1,1,2,1,1.5,1,0.5,1,1,0.5,1,1.5,2,1.5,1,1,1.5,2,3,1.5,2,1,1,1.5,1,1,1,1,2,2,1,1,1
"HULC",1.5,2,1.5,1,2,1,1.5,3,1.5,2,2,1.5,1.5,1,2,1,2,2,1,1,1,1,1,2,1.5,3,1,1,2,2,5,1.5,2.5,1,1.5,2,2,1.5,1,1.5,2.5,2,1,1,1
"HUNK",0.5,2,2,1,2,1,1,1.5,1,1.5,2,1,0.5,1,1.5,1,1,1,0.5,1,1,0.5,1,1.5,2,1.5,1,1,1,1.5,3,2,1.5,1,1.5,1,2,1,1,2,3,1,1,1,1
"HUS1",1,3,2,2,1.5,1,1.5,1.5,1,3.5,3,1,1.5,1,2.5,2,4.5,1.5,0.5,2.5,1,0.5,1,2.5,2,3.5,2,0.5,1.5,4,2.5,2,1.5,1,1.5,3,3.5,2,1,1.5,3.5,2.5,1,1,2
"HUWE1",0.5,1,1,1,2,1,1,2,1,1,1,1,0.5,0.5,1,1,0.5,1,0.5,1,0.5,0.5,1,1,1,0.5,1,0.5,2.5,1.5,1.5,1.5,1,1,1,0.5,1.5,2,0.5,1,5,1,1,1,0.5
"HVCN1",0.5,2,1,0.5,2,1,1,1.5,1.5,2.5,2,0.5,1,0.5,1,1,1.5,2,1,1,1,1,0.5,1.5,1.5,2,1,1,1.5,1.5,2,1.5,3,0.5,1.5,1.5,1.5,2,1,1,3,1.5,1,1,1
"HYAL1",0.5,1.5,1,1,1,1,0.5,1.5,1,1,1,0.5,1,0.5,1,1,1.5,1,0.5,0.5,1,1,1,1.5,1,1,1,0.5,1,1.5,2.5,1,1.5,1,1.5,1.5,2,2,0.5,1,2,2,1,1,1
"HYAL2",0.5,1.5,1,1,1,1,0.5,1.5,1,1,1,0.5,1,0.5,1,1,1.5,1,0.5,0.5,1,1,1,1.5,1,1,1,0.5,1,1.5,2.5,1,1.5,1,1.5,1.5,2,2,0.5,1,2,2,1,1,1
"HYAL3",0.5,1.5,1,1,1,1,0.5,1.5,1,1,1,0.5,1,0.5,1,1,1.5,1,0.5,0.5,1,1,1,1.5,1,1,1,0.5,1,1.5,2.5,1,1.5,1,1.5,1.5,2,2,0.5,1,2,2,1,1,1
"HYDIN",1.5,1.5,2,0.5,2,1,0.5,2.5,1.5,2,1,1,0.5,1.5,2,1,1,2,1,1,1,1,1,1,1.5,2.5,1,1,2,2,2,1,5,1,1,1,2,1,1,1,3,1.5,1.5,1,1
"HYDIN2",1.5,3,2.5,1,3.5,1,1.5,4,2,2,2,1.5,1,1.5,2,1,4,3,1.5,1.5,1,1,1.5,2.5,2,2.5,3.5,1,4,2,4,2.5,7.5,1,1.5,2.5,3,1.5,1,2.5,5,3.5,1,2,1
"HYKK",1,2,0.5,1,2,1,0.5,1.5,1,1.5,2.5,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,2,1,1,1,1,2.5,1,1,1,1,1,2,1.5,1,1,2,2,1,1,1
"HYLS1",1,2,1.5,1,1.5,1,0.5,1.5,1.5,2,1.5,1,1,0.5,2,1,1,2,0.5,1,1,0.5,0.5,1.5,2,2,2,1,1.5,2.5,3,2,1.5,1,0.5,2,1,1,0.5,2,2.5,1.5,1,1,1
"HYOU1",1,2,1.5,1,1.5,1,0.5,1.5,1.5,1.5,1.5,1,1,0.5,2,1,1,2,0.5,1,1,1,0.5,1.5,2,2,2,1,1.5,2.5,3,2,1,1,1,2,5,1,0.5,2,2.5,1.5,1,1,1
"HYPK",1,2,0.5,0.5,2,1,0.5,1.5,0.5,1,2.5,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1.5,0.5,1.5,2,1,1,1,0.5
"IAH1",1,2,1,1,2,1,1,2.5,1,2.5,2,1,1,1,2,1,1.5,1.5,1,0.5,1,1,1,2,2,2,2,1,1.5,2.5,3.5,1.5,2,1,1.5,1,3,2,1,2.5,2,1.5,1,1,1
"IARS1",0.5,1.5,1,1,2,1,0.5,1.5,1,1,1,1,0.5,1,1,1,1.5,1,1,1.5,1,1,1,1,1,1.5,1,1,1.5,1,1.5,1,2,1,1,1,1.5,1.5,0.5,1,2,2,1,1,1
"IARS2",2,3,2.5,1,3.5,1,1,3.5,2,2,2,1.5,1,1.5,2.5,1,1.5,3,1,1.5,1,1,1.5,2,2,2.5,1.5,1,4,2,4,2.5,1.5,1,2,1.5,3,2,1,2.5,2,3,1,2,1
"IBA57",2,3,2.5,1,3.5,1,1,3.5,1.5,2,2,1.5,1,1.5,2.5,1,1.5,2,1,1.5,1,1,1.5,2,2,2.5,1.5,1,4,2,4,2.5,1.5,1,2,1.5,3,2,1,2.5,2,3,1,2,1
"IBSP",1,2,1,0.5,1.5,1,1,1.5,1,1,1,1,1,1,2,2,1.5,1,0.5,1,1,0.5,1,1.5,1.5,1.5,1,1,1.5,2,1.5,1.5,1.5,1,1.5,1.5,2,1,1,1,2,2,1,1,1
"IBTK",0.5,2,1,1,2,1,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,0.5,0.5,2,1.5,1,1,0.5,1.5,1.5,2.5,1,1.5,1,2,1,1,1,1,1.5,1.5,1,1,1,1
"ICA1",1,3,2,2,1.5,1,1.5,1.5,1,3.5,3,1,1.5,1,2.5,2,4.5,1.5,0.5,2.5,1,0.5,1,3,2,3.5,2,0.5,1.5,4,6.5,2,1.5,1,1.5,3,3.5,2,1,1.5,3.5,2.5,1,1,2
"ICA1L",1,2,1,1,1.5,1,1,3.5,1,1.5,1.5,1,1,1.5,2,1,1.5,2,1,1,1,1,1,2,1.5,2.5,1.5,1,1.5,2,2,1,2,1,1,1,2.5,2,1,1.5,2,1.5,1,1,1
"ICAM1",0.5,1,1,1,1,1,1,1.5,1,1,1,1,1,1,1.5,1,1.5,1,0.5,1,1,0.5,0.5,1.5,1,2,1,0.5,2,1.5,1.5,2,1,1,2.5,1,1.5,1,0.5,1,2,1,1,0.5,1
"ICAM2",1,2,1.5,1.5,2,1,2,1.5,1.5,1.5,1.5,1,1.5,1,2.5,1.5,2.5,1.5,1,1,1.5,1,1,1,2,2.5,2.5,1,2,3,2.5,2,2.5,1,1,2,2.5,2,1,2,2.5,1.5,1,1,1.5
"ICAM3",0.5,1,1,1,1,1,1,1.5,1,1,1,1,1,1,1.5,1,1.5,1,0.5,1,1,0.5,0.5,1.5,1,2,1,0.5,2,1.5,1.5,2,1,1,2.5,1,1.5,1,0.5,1,2,1,1,0.5,1
"ICAM5",0.5,1,1,1,1,1,1,1.5,1,1,1,1,1,1,1.5,1,1.5,1,0.5,1,1,0.5,0.5,1.5,1,2,1,0.5,2,1.5,1.5,2,1,1,2.5,1,1.5,1,0.5,1,2,1,1,0.5,1
"ICE1",1,1.5,2,1.5,4,1.5,1,4.5,4,1.5,2,1,0.5,2,7.5,1,2.5,3,1,2,1,1,1,2,1,2.5,2,1,2,4.5,6.5,7.5,4.5,1,1.5,2,3.5,2,1,4.5,3,3.5,1,1.5,1
"ICE2",1,2,0.5,1,2,1,0.5,1.5,0.5,1.5,2.5,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,2,1.5,1,0.5,2,2,1,1,1
"ICMT",0.5,2,1,1,2,1,1,1.5,1.5,2,1,1,1,1.5,2.5,1,1,2,1,1,1,0.5,1,2,1.5,2,1,1,1,2,2.5,1.5,1.5,1,0.5,1,2,1.5,0.5,1.5,3,2,1,1,1
"ICOS",1,2,1,1,1.5,1,1,3,1,1.5,1.5,1,1,1.5,2,1,1.5,2,1,1,1,1,1,2,1.5,2.5,1.5,1,1.5,2,2,1,2,1,1,1,2.5,2,1,1.5,2,1.5,1,1,1
"ICOSLG",0.5,2,2,1,2,1,1,1.5,1,2,2,1,0.5,1,1.5,1,1,1,0.5,1,1,0.5,1,1.5,2,1.5,1,1,1,3,3,2,1.5,1,1.5,1,2,1,1,2,3,1,1,1,1
"ID1",1,2,2,1,2.5,1,1.5,2,2,2.5,3,1,1,1,1.5,1,1.5,2,1,1.5,1,2.5,1,3,2,2,1,1,2,2,3,1.5,2,1,1.5,1.5,2,1.5,1,1.5,3.5,2,1,1,1
"ID2",1,2,1,1,2,1,1,2.5,1,2.5,2,1,1,1,2,1,1.5,1.5,1,0.5,1,1,1,2,2,2,2,1,1.5,2.5,3.5,1.5,2,1,1.5,1,3,2,1,2.5,2,1.5,1,1,1
"ID2-AS1",1,2,1,1,2,1,1,2.5,1,2.5,2,1,1,1,2,1,1.5,1.5,1,0.5,1,1,1,2,2,2,2,1,1.5,2.5,3.5,1.5,2,1,1.5,1,3,2,1,2.5,2,1.5,1,1,1
"ID3",0.5,2,1,1,2,1,1,1.5,1.5,2,1,1,1,1.5,1.5,1,1,2,1,1,1,0.5,1,2,1.5,2,1,1,1,2,2.5,1.5,1.5,1,1,1,1.5,1.5,0.5,2,2.5,2,1,1,1
"ID4",1.5,2,1.5,1,2,1,1.5,3,1.5,2,2,1.5,1.5,1,2,1,2,6.5,1,1,1,1,1,2,1.5,3,1,1,2,2,5,1.5,2.5,1,1,2,2,1.5,1,1.5,2.5,2,1,1,1
"IDE",1,1.5,1,0.5,1.5,1,0.5,3,1.5,2,2,1,1,1,1,0.5,1.5,1.5,1,1,1,0.5,1,1,1,2,1,1,1.5,1,2,1.5,1.5,1,1.5,1.5,2,1,1,1.5,2,2.5,1,1,1
"IDH1",1,2,1,1,1.5,1,1,3,1,1.5,1.5,1,1,1,2,1,1.5,2,1,1,1,1,1,2,1.5,2.5,1.5,1,1.5,2,2,1,2,1,1,1,2.5,2,1,1.5,2,1.5,1,1,1
"IDH2",1,2,0.5,0.5,2,1,0.5,1.5,1,2,2.5,1,1,1.5,1,1,1,1,1,1,1,0.5,1,1,1,2,1,1,1,1,3,1,1,1,1,1,2,1.5,1,1,2,2,1,1,1
"IDH3A",1,2,0.5,1,2,1,0.5,1.5,1,1.5,2.5,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,2,1,1,1,1,2.5,1,1,1,1,1,2,1.5,1,1,2,2,1,1,1
"IDH3B",1,2,2,1,2.5,1,0.5,2,2,2.5,1,1,0.5,1,1.5,1,1.5,3,0.5,1.5,1,0.5,1,3,1,2,1,0.5,2,2.5,3,1.5,2,1,1.5,0.5,2,1.5,0.5,1,0.5,2,1,1,0.5
"IDH3G",0.5,1,1,1,2,1,1,2,1,1,1,1,0.5,1.5,1,1,1,3,0.5,1,0.5,0.5,1,1,1,2.5,1,0.5,2.5,1.5,3,2,1,1,0.5,1,1.5,1.5,0.5,1,5,1,1,0.5,0.5
"IDI1",1,1.5,1,1,1,1,0.5,3,1.5,1,2,0.5,1,1,1,1.5,1.5,2,1.5,1,1,0.5,1,2,1,2,1,1,1.5,1,3.5,1.5,3,1,1.5,1.5,3,2,1,1.5,1,2.5,1,1,1
"IDI2-AS1",1,1.5,1,1,1,1,0.5,3,1.5,1,2,0.5,1,1,1,1.5,1.5,2,1.5,1,1,0.5,1,2,1,2,1,1,1.5,1,3.5,1.5,3,1,1.5,1.5,3,2,1,1.5,1,2.5,1,1,1
"IDNK",0.5,1.5,1,0.5,1.5,1,0.5,1.5,1,1,1,1,0.5,1,1,1,1.5,1,1,1.5,1,1,1,1,1,1.5,1,0.5,1.5,1,1.5,1,2,1,1,1,1.5,1.5,0.5,1,2,2,1,1,1
"IDO1",0.5,2.5,3,0.5,7.5,1,0.5,2.5,4,4,2,1,1,0.5,1.5,1,0.5,2.5,0.5,5.5,1,1,1,0.5,0.5,1.5,2,0.5,1.5,1,2.5,1,1,1,3.5,4.5,1.5,2,0.5,1,3,1,1,1,0.5
"IDO2",0.5,2.5,3,0.5,7.5,1,0.5,2.5,4,4,2,1,1,0.5,1.5,1,0.5,2.5,0.5,5.5,1,1,1,0.5,0.5,1.5,2,1,1.5,1,2.5,1,1,1,3.5,4.5,1.5,2,0.5,1,3,1,1,1,0.5
"IDS",0.5,1,1,1,2,1,1,2,1,1,1,1,0.5,1.5,1,1,1,1.5,0.5,1,0.5,0.5,1,1,1,2.5,1,0.5,2.5,1.5,3,2,1,1,0.5,1,1.5,1.5,0.5,1,5,1,1,0.5,0.5
"IDUA",1,1.5,1,0.5,2,1,1,1.5,1,2,2,1,1,1,2,1,1.5,1,0.5,1,1,0.5,1,2.5,2,1.5,1,1,1.5,2,3,1.5,2,1,1,1.5,1,1,1,1,2,2,1,1,1
"IER2",0.5,1,1,1,1,1,1,1.5,1,1,1,1,1,1,1.5,1,1.5,1,0.5,1,1,0.5,0.5,1.5,1,2,1,0.5,1.5,1.5,1.5,2,1,1,2.5,1,1.5,1,0.5,1,2,1,1,0.5,1
"IER3",1.5,2,1.5,1,2,1,1.5,3,1.5,2,2,1.5,1,1,2,1,2,2,1,1,1,1,1,2,1.5,3,1,1,2,2,2.5,1.5,1,1,3.5,2,2,1.5,1,1.5,2.5,2,1,1,1
"IER3IP1",1,1.5,1,0.5,2,1,1,2,1.5,2,1,1,1,1,0.5,1.5,1,4,0.5,1,1,1,1,1.5,1,1.5,1.5,1,1.5,1.5,2,1,1,1,1.5,1,1,1,0.5,1,1,1.5,1,1,1
"IER5",1.5,3,2.5,1,3.5,1,2,3.5,2,2,2,1.5,1,1.5,2.5,1,2.5,3,1,1.5,1,1,1.5,2.5,2,2.5,1.5,1,4,2,3,2.5,1.5,1,2,1.5,3,2,1,2.5,2,3.5,1,2,1
"IER5L",0.5,1.5,1.5,1,1.5,1,0.5,1.5,1,1,1,1,0.5,1,1,1,1.5,2,1,1.5,1,1,1,1,1,1.5,1,1,1.5,1,1.5,1,2,1,1,1,1.5,1.5,0.5,1,2,2,1,1,1
"IFFO1",1,2,0.5,0.5,2,1,0.5,1.5,1,2,2,1,1,1,2,1,1,1.5,1,1.5,1,0.5,1,1.5,1.5,2.5,1,1.5,0.5,3,3,1.5,1,0.5,1.5,1,2.5,2,1,1,2,1.5,1,0.5,1
"IFFO2",0.5,2,1,1,2,1,1,1.5,1.5,2,1,1,1,1.5,1.5,1,1,2,1,1,1,0.5,1,2,1.5,2,1,1,1,2,2.5,1.5,1.5,1,1,1,1.5,1.5,0.5,2,3,2,1,1,1
"IFI16",1.5,3,2.5,1,3.5,1,3,4,2,2,2,1.5,1,1.5,2,1,3.5,3,1,1.5,1,1,1.5,2.5,2,2.5,3.5,1,4,2,4,2.5,6,1,2,2.5,3,2,1,2.5,5,3.5,1,2,1
"IFI27",1,1.5,1.5,1,1,1,1.5,2,1,2,1.5,1,1,0.5,1,0.5,1,2,0.5,1,1,1,1,2.5,1,2.5,1,1,1.5,2,1.5,1,2,1,1.5,1,1,3,1,1.5,2.5,2,1.5,1,1
"IFI27L1",1,1.5,1.5,1,1,1,1.5,2,1,2,1.5,1,1,0.5,1,0.5,1,2,0.5,1,1,1,1,2.5,1,2.5,1,1,1.5,2,1.5,1,2,1,1.5,1,1,3,1,1.5,2.5,2,1.5,1,1
"IFI27L2",1,1.5,1.5,1,1,1,1.5,2,1,2,1.5,1,1,0.5,1,0.5,1,2,0.5,1,1,1,1,2.5,1,2.5,1,1,1.5,2,1.5,1,2,1,1.5,1,1,3,1,1.5,2.5,2,1.5,1,1
"IFI30",0.5,1,1.5,1,2,1,1,1.5,1,1,1,1,1,1,1.5,1,1.5,1,0.5,1,1,0.5,0.5,1.5,1,2,1,0.5,2,1.5,1.5,2,1,1,2,1,1.5,2,0.5,1,2,2,1,0.5,1
"IFI35",1,2,1.5,1.5,2,1,2,1.5,1.5,1.5,2,1,0.5,1,2.5,1,1,1.5,1,1,1.5,1,1,2.5,2,2.5,2,1,2,2,2.5,2,2.5,1,1.5,1.5,2.5,1,0.5,2,2.5,1.5,1,1,1.5
"IFI44",1,2,1,1,2,1,1,1.5,1.5,2,1,1,1,1,1,1,1,2,1,1,1,0.5,1,2.5,2,2,1.5,1,1,2,3,1.5,1.5,1,1.5,1.5,2.5,1.5,0.5,1.5,1.5,1,1,1,1
"IFI44L",1,2,1,1,2,1,1,1.5,1.5,2,1,1,1,1,1,1,1,2,1,1,1,0.5,1,2.5,2,2,1.5,1,1,2,3,1.5,1.5,1,1.5,1.5,2.5,1.5,0.5,1.5,1.5,1,1,1,1
"IFI6",0.5,2,1,1,2,1,1,1.5,1.5,2,1,1,1,1.5,1.5,1,1,2,1,1,1,0.5,1,2,1.5,2,1,1,1,2,2.5,1.5,1.5,1,1,1.5,1.5,1.5,0.5,1,2.5,2,1,1,1
"IFIH1",1,2,1,1,2,1,1,2.5,1,1.5,1.5,1,1,1.5,2,1,1.5,3.5,1,1,1,1,1,2,1.5,2,1,1,1.5,2,2,1,2.5,1,1,1,2.5,2,1,1.5,2,1.5,1,1,1
"IFIT1",1,1.5,1,0.5,1.5,1,0.5,3,1.5,2,2,1,1,1,1,0.5,1.5,1.5,1,1,1,0.5,1,1,1,2,1,1,1.5,1,2,1.5,1.5,1,1.5,0.5,2,1,1,1.5,2,2.5,1,1,1
"IFIT2",1,1.5,1,0.5,1.5,1,0.5,3,1.5,2,2,1,1,1,1,0.5,1.5,1.5,1,1,1,0.5,1,1,1,2,1,1,1.5,1,2,1.5,1.5,1,1.5,0.5,2,1,1,1.5,2,2.5,1,1,1
"IFIT3",1,1.5,1,0.5,1.5,1,0.5,3,1.5,2,2,1,1,1,1,0.5,1.5,1.5,1,1,1,0.5,1,1,1,2,1,1,1.5,1,2,1.5,1.5,1,1.5,0.5,2,1,1,1.5,2,2.5,1,1,1
"IFIT5",1,1.5,1,0.5,1.5,1,0.5,3,1.5,2,2,1,1,1,1,0.5,1.5,1.5,1,1,1,0.5,1,1,1,2,1,1,1.5,1,2,1.5,1.5,1,1.5,0.5,2,1,1,1.5,2,2.5,1,1,1
"IFITM1",1,2,1.5,1,1.5,1,1,1.5,1.5,1.5,1.5,1,1,1,2,1,1.5,3,1,1,1,1,1,1.5,1,2.5,1,0.5,1.5,1.5,3,1.5,0.5,1,1,1,1,2,0.5,1,2.5,1.5,1,1,1
"IFITM10",1,2,1.5,1,1.5,1,1,1.5,1.5,1.5,1.5,1,1,1,2,1,1.5,2,1,1,1,1,1,1.5,1,2.5,1,0.5,1.5,1.5,3,1.5,0.5,1,2,1,1,2,0.5,1,2.5,1.5,1,1,1
"IFITM2",1,2,1.5,1,1.5,1,1,1.5,1.5,1.5,1.5,1,1,1,2,1,1.5,3,1,1,1,1,1,1.5,1,2.5,1,0.5,1.5,1.5,3,1.5,0.5,1,1,1,1,2,0.5,1,2.5,1.5,1,1,1
"IFITM3",1,2,1.5,1,1.5,1,1,1.5,1.5,1.5,1.5,1,1,1,2,1,1.5,3,1,1,1,1,1,1.5,1,2.5,1,0.5,1.5,1.5,3,1.5,0.5,1,1,1,1,2,0.5,1,2.5,1.5,1,1,1
"IFITM3P2",1,2,1,0.5,2,1,1.5,1.5,2,2.5,2,1,1,1,2,1,1,1.5,1,1.5,1,1.5,0.5,1.5,1.5,3.5,1,1,1.5,3,3,1.5,7.5,1.5,2,1.5,2.5,2,1,1,3,1.5,1,1,3.5
"IFITM3P6",1,2,1,0.5,2,1,1,1.5,1.5,2,2,1,1,1,1,1,1.5,1.5,1,1.5,1,1,0.5,1.5,1.5,2,1,0.5,1.5,1.5,2,1.5,3,1,1.5,1.5,1.5,1.5,1,3,1,1.5,1,1,1
"IFNAR1",0.5,2,2,1,2,1,1,1.5,1,1.5,2,1,0.5,1,1.5,1,1,2,0.5,1,1,0.5,1,1.5,2,1.5,1,1,1,1.5,3,2,1.5,1,2.5,1,2,1,1,2,3,1,1,1,1
"IFNAR2",0.5,2,2,1,2,1,1,1.5,1,1.5,2,1,0.5,1,1.5,1,1,2,0.5,1,1,0.5,1,1.5,2,1.5,1,1,1,1.5,3,2,1.5,1,2.5,1,2,1,1,2,3,1,1,1,1
"IFNG",0.5,2,1,0.5,2,1,1,1.5,1.5,7.5,2,1,1,0.5,7.5,1,1.5,2,1,1.5,1,1,1,1.5,1.5,2,1,1,1.5,1.5,2,1.5,3,1.5,1,1.5,1.5,7.5,1,1,4,1.5,1,1,3.5
"IFNGR1",0.5,2,1,1,2,1,1,1.5,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0.5,2,1,1,1,1,1.5,1.5,3.5,1,2.5,0.5,2,1,1,1,1,1.5,1.5,1,1,1,1
"IFNGR2",0.5,2,2,1,2,1,1,1.5,1,1.5,2,1,0.5,1,1.5,1,1,2,0.5,1,1,0.5,1,1.5,2,1.5,1,1,1,1.5,3,2,1.5,1,2.5,1,2,1,1,2,3,1,1,1,1
"IFNLR1",0.5,2,1,1,2,1,1,1.5,1.5,2,1,1,1,1.5,1.5,1,1,2,1,1,1,0.5,1,2,1.5,2,1,1,1,2,2.5,1.5,1.5,1,1,1,1.5,1.5,0.5,2,2.5,2,1,1,1
"IFRD1",1,1,1.5,1,1.5,1,1.5,2,2,1.5,1,1,3,1,1,2,1.5,2,1.5,1.5,1,0.5,1,2.5,3,3,2,1,2,1.5,3,2.5,3,1,2,1.5,3,2,1,1.5,3.5,2.5,1,1,2
"IFRD2",0.5,1.5,1,1,1,1,0.5,1.5,1,1,1,0.5,1,0.5,1,1,1.5,1,0.5,0.5,1,1,1,1.5,1,1,1,0.5,1,1.5,2.5,1,1.5,1,1.5,1.5,2,2,0.5,1,2,2,1,1,1
"IFT122",0.5,1.5,1.5,1,4,1,1.5,1.5,2,1.5,2,0.5,1,1,1,1,1.5,1.5,1,1,1,1,1,1.5,2,2,1.5,1,1,2.5,3,1.5,1.5,1,1.5,1.5,1.5,1.5,0.5,2,2,2,1,1,1
"IFT140",1,1.5,2,1,2,1,1,1.5,1,1,2,1,1,1.5,2,1,1.5,1.5,1,1,1,1,1,1,2.5,2,1,1,2,2,3.5,2,1.5,1,1.5,1.5,1.5,1.5,0.5,1.5,3.5,1.5,1,1,1
"IFT172",1,2,1,1,2,1,1,2.5,2,2.5,2,1,1,1,2,1,1.5,1.5,1,1,1,1,1,2,2,2,2,1,1.5,2.5,3.5,1.5,2.5,1,1.5,1,3,2,1,2.5,2,1.5,1,1,1
"IFT20",1,2,1.5,1.5,2,1,2,1.5,1.5,1.5,1.5,1,0.5,1,2,1.5,1,1.5,0.5,1,1.5,1,1,1.5,2,2.5,1,1,2,2,2.5,2,2.5,1,2,1.5,1.5,1.5,1,2,2.5,1,1,1,1.5
"IFT22",1,1,1.5,1,1.5,1,1.5,2,2,1.5,1,1,2,1,1,2,1.5,2,1.5,1.5,1,0.5,1,2.5,3,3,2,1,2,4,3,2.5,3,1,2,1.5,3,2,1,1.5,3.5,2.5,1,1,2
"IFT27",0.5,2,1,1,3,1,1,1.5,1,1.5,1,1,0.5,0.5,2,1,1,1,0.5,1,1,0.5,1,1.5,1,1.5,1,1,1,3,1.5,2,1,1,2,1,1.5,1,0.5,2,2,1,1,1,1
"IFT43",1,1.5,1.5,1,1,1,1.5,2,1,2,1.5,1,1,0.5,2,0.5,1.5,2,0.5,2,1,1,1,2.5,1,2.5,1,1,1.5,2,1.5,1,2,1,0.5,1,1,3,1,1.5,2.5,2,1.5,1,1
"IFT46",1,2,1.5,1,1.5,1,0.5,1.5,1.5,1.5,1.5,1,1,0.5,2,1,1,2,0.5,1,1,1,0.5,1.5,2,2,2,1,1.5,2.5,3,2,1,1,1,2,5,1,0.5,1.5,2.5,1.5,1,1,1
"IFT52",1,2,2,1,2.5,1,1.5,2,2.5,1.5,1,1,1,1,1.5,1,1.5,2,1,1.5,1,0.5,1,3,2,2,1,1,2,2,3,1.5,2,1,1.5,1.5,2,1.5,1,1.5,3.5,3,1,1,1
"IFT57",0.5,1.5,1.5,1,4,1,1.5,1.5,1.5,1,2,0.5,1,1,1,1,1.5,1.5,1,1,1,1,1,1.5,2,2.5,1.5,1,1,2.5,1.5,1.5,1.5,1,1.5,1.5,1.5,1.5,0.5,2,2,2,1,1,1
"IFT74",0.5,1,1.5,1,1.5,1,0.5,1.5,1,2.5,1,1,1,1,1,1,1.5,1,1,1,1,1,0.5,1,2,0,1,0.5,1.5,1,1.5,1,1.5,1,1.5,1,1.5,1,0.5,1,2,2,1,0.5,1
"IFT80",0.5,1.5,1.5,1,4,1,1.5,1.5,2,1.5,2,0.5,1,1,1,1,1.5,1.5,1,1,1,1,1,1.5,2,1,1.5,1,1,2.5,3,1.5,1.5,1,1.5,1,1.5,1.5,0.5,2,2,2,1,1,1
"IFT81",0.5,2,1,0.5,2,1,1,1.5,1.5,2.5,2,0.5,1,0.5,1,1,1.5,2,1,1,1,1,0.5,1.5,1.5,2,1,1,1.5,1.5,2,1.5,3,0.5,1.5,1.5,1.5,2,1,3,3,1.5,1,1,1
"IFT88",1,2,0.5,0.5,1,1,0.5,1.5,1,1,1,1,0.5,1,1,1,1,1,0.5,1,1,0.5,1,1.5,1,1.5,1,0.5,1,1,1.5,1,1,1,1,1,1,1,0.5,1,1,1.5,1,1,0.5
"IFTAP",1,2,1.5,1,1.5,1,0.5,1.5,1.5,1.5,1.5,1,1,1,2,1,1.5,2,1,1,1,1,1,1.5,1,2,1,0.5,1.5,2.5,3,1.5,1,1,2,1,1,2,0.5,2,2.5,1.5,1,1,1
"IGBP1",0.5,1,1,1,2,1,1,2,1,1,1,1,0.5,0.5,1,1,1,1,0.5,1,0.5,0.5,1,1,1,0.5,1,0.5,2.5,1.5,1.5,1.5,1,1,1,0.5,1.5,1.5,0.5,1,5,1,1,1,0.5
"IGDCC4",1,2,0.5,1,2,1,0.5,1.5,1,1.5,2.5,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1.5,1,1.5,2,2,1,1,1
"IGF1",0.5,2,1,0.5,2,1,1,1.5,1.5,2.5,2,1,1,0.5,1,1,1.5,2,1,1,1,1,0.5,1.5,1.5,2,1,0.5,1.5,1,2,1.5,3,0.5,1.5,1.5,1.5,2,1,1,3,1.5,1,1,1
"IGF1R",1,2,0.5,0.5,2,1,0.5,1.5,1,2,2,1,1,1.5,1,1,1,1,1,1,1,0.5,1,1,1.5,2,1,1,1,1,3,1,1,1,1,1,2,1.5,1,1,2,2,1,1,1
"IGF2",1,2,1.5,1,1.5,1,1,1.5,1.5,1.5,1.5,1,1,1,2,1,1.5,2,1,1,1,1,1,1.5,1,2.5,1,0.5,1.5,1.5,3,1.5,0.5,1,2,1,1,2,0.5,1,2.5,1.5,1,1,1
"IGF2BP2",0.5,1.5,1.5,1,4,1,0.5,1.5,1.5,1.5,2,0.5,1,1,1,1,1.5,1.5,1,2,1,1,1,1.5,2,2.5,1.5,1.5,1,2.5,5,1.5,1.5,1,1.5,1,1.5,1.5,1,2,2,1,1,1,1
"IGF2BP3",1,3,2,2,1.5,1,1.5,1.5,1,3.5,2.5,1,1.5,1,2.5,2,4.5,1.5,0.5,2.5,1,0.5,1,3,2,3.5,2,0.5,1.5,4,6.5,2,1.5,1,1.5,3.5,3.5,2,1,1.5,3.5,2.5,1,1,2
