"","sample46","sample47","sample48","sample49","sample50","sample51","sample52","sample53","sample54","sample55","sample56","sample57","sample58","sample59","sample60","sample61","sample62","sample63","sample64","sample65","sample66","sample67","sample68","sample69","sample70","sample71","sample72","sample73","sample74","sample75","sample76","sample77","sample78","sample79","sample80","sample81","sample82","sample83","sample84","sample85","sample86","sample87","sample88","sample89","sample90"
"ABHD12",1,2,2,1,2.5,1,0.5,2,2,2.5,1,1,0.5,1,1.5,1,1.5,2,0.5,1.5,1,0.5,1,3,1,2,1,1,2,2,3,1.5,2,1,1.5,1,2,1.5,0.5,1,0.5,2,1,1,1
"ABHD12B",1,1.5,2,1,1,1,1.5,2,1,2,1.5,1,1,0.5,2,1,1.5,3,0.5,1,1,1,1,2.5,1,2.5,1,1,2,2.5,3,1,1,1,1,1,1,3,1,1.5,2.5,2,1.5,1,1
"ABHD13",1,2,1,1,1,1,0.5,1.5,1,1,1,1,0.5,0.5,1,1,1,1,1,1,1,0.5,1,4,1.5,1.5,1,1,1,1,2,1,1,1,1,1,1,1,0.5,3,1,1.5,1,1.5,1
"ABHD14A",0.5,1.5,1,1,1,1,0.5,1.5,1,1,1,0.5,1,0.5,1,1,1.5,1,0.5,0.5,1,1,1,1.5,1,1,1,0.5,1,1.5,2.5,1,1.5,1,1.5,1.5,2,2,0.5,1,2,2,1,1,1
"ABHD14B",0.5,1.5,1,1,1,1,0.5,1.5,1,1,1,0.5,1,0.5,1,1,1.5,1,0.5,0.5,1,1,1,1.5,1,1,1,0.5,1,1.5,2.5,1,1.5,1,1.5,1.5,2,2,0.5,1,2,2,1,1,1
"ABHD15",1,2,1.5,1.5,2,1,2,1.5,1.5,1.5,1.5,1,0.5,1,2,1.5,1,1.5,0.5,1,1.5,1,1,1.5,2,2.5,1,1,2,2,2.5,2,1,1,1.5,1.5,2.5,1,0.5,2,2.5,1,1,1,1.5
"ABHD16A",1.5,2,1.5,1,2,1,1.5,3,1.5,2,2,1.5,1,1,2,1,2,1.5,1,1,1,1,1,2,1.5,3,1,1,2,2,2.5,1.5,1,1,3,2,2,1.5,1,1.5,2.5,2,1,1,1
"ABHD17A",0.5,1,1,1,1,1,1,1.5,1,1.5,1,1,1,1,1.5,1,1.5,1,0.5,1,1,0.5,0.5,1.5,2,2,1,0.5,1,1.5,1.5,2,1,1,2.5,1,1.5,1,0.5,1,2,1,1,0.5,1
"ABHD17B",0.5,1.5,1,0.5,1.5,1,0.5,1.5,1,1,1,1,0.5,0.5,1,1,1.5,1,1,1.5,1,1,1,1,1,1.5,1,0.5,1.5,1,1.5,1,2,1,1,1,1.5,1.5,0.5,1,2,2,1,1,1
"ABHD17C",1,2,0.5,1,2,1,0.5,1.5,1,2,2.5,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,2,1,1,1,1,2.5,1,1,1,1,1,2,1.5,1,1,2,2,1,1,1
