,padjScreen,p_naive,p_aware
AC005498.3,1.0,1.0,1.0
AC005519.1,1.0,1.0,1.0
AC005520.2,0.0,0.0,0.0
AC005532.1,1.0,1.0,1.0
AC005537.1,1.0,1.0,1.0
AC005551.1,1.0,1.0,1.0
AC005562.1,1.0,1.0,1.0
AC005586.1,1.0,1.0,1.0
AC005606.2,1.0,1.0,1.0
AC005616.1,1.0,1.0,1.0
AC005618.1,1.0,1.0,1.0
AC005618.4,1.0,0.0,1.0
AC005632.3,1.0,1.0,1.0
AC005670.3,1.0,1.0,1.0
AC005674.1,0.0,0.0,0.0
AC005682.1,1.0,1.0,1.0
AC005696.1,1.0,1.0,1.0
AC005696.4,1.0,1.0,1.0
AC005699.1,0.0,0.0,0.0
AC005722.3,1.0,1.0,1.0
AC005725.1,1.0,1.0,1.0
AC005740.4,1.0,1.0,0.0
AC005746.2,1.0,1.0,1.0
AC005753.1,1.0,1.0,1.0
AC005753.3,1.0,1.0,1.0
AC005759.1,1.0,1.0,1.0
AC005821.1,1.0,1.0,1.0
AC005831.1,1.0,1.0,1.0
AC005837.1,1.0,1.0,1.0
AC005839.1,1.0,1.0,1.0
AC005840.2,1.0,1.0,1.0
AC005840.4,1.0,1.0,0.0
AC005856.1,1.0,1.0,1.0
AC005865.1,1.0,1.0,1.0
AC005911.1,1.0,1.0,1.0
AC005912.1,1.0,1.0,1.0
AC005920.1,1.0,1.0,1.0
AC005962.1,1.0,1.0,1.0
AC005962.2,1.0,1.0,1.0
AC006001.2,1.0,0.0,1.0
AC006001.3,1.0,0.0,1.0
AC006008.1,1.0,0.0,1.0
AC006026.3,1.0,1.0,1.0
AC006033.1,0.0,0.0,0.0
AC006033.2,1.0,1.0,1.0
AC006042.1,1.0,1.0,1.0
AC006042.3,1.0,1.0,1.0
AC006058.1,1.0,1.0,1.0
AC006058.3,1.0,1.0,1.0
AC006058.4,1.0,1.0,1.0
AC006059.1,1.0,0.0,1.0
AC006077.2,1.0,1.0,0.0
AC006111.2,1.0,1.0,1.0
AC006115.2,1.0,1.0,1.0
AC006116.7,1.0,1.0,1.0
AC006116.9,1.0,1.0,1.0
AC006128.1,1.0,1.0,1.0
AC006130.3,1.0,1.0,1.0
AC006160.1,1.0,1.0,1.0
AC006213.1,1.0,1.0,1.0
AC006213.2,1.0,1.0,1.0
AC006213.3,1.0,1.0,1.0
AC006213.4,1.0,0.0,1.0
AC006213.6,1.0,0.0,1.0
AC006213.7,1.0,1.0,1.0
AC006230.1,1.0,1.0,1.0
AC006238.1,1.0,1.0,1.0
AC006254.1,1.0,0.0,1.0
AC006273.1,1.0,1.0,1.0
AC006277.1,0.0,0.0,0.0
AC006299.1,1.0,1.0,1.0
AC006305.1,0.0,0.0,0.0
AC006378.1,1.0,1.0,1.0
AC006435.2,1.0,1.0,1.0
AC006441.4,1.0,1.0,1.0
AC006449.2,1.0,0.0,1.0
AC006449.5,1.0,1.0,1.0
AC006449.6,1.0,1.0,1.0
AC006452.1,1.0,1.0,1.0
AC006460.1,1.0,1.0,1.0
AC006460.2,1.0,1.0,1.0
AC006486.2,0.0,0.0,0.0
AC006504.1,0.0,0.0,0.0
AC006504.5,1.0,1.0,1.0
AC006504.7,1.0,0.0,1.0
AC006511.3,1.0,1.0,1.0
AC006538.1,1.0,1.0,1.0
AC006946.2,1.0,1.0,1.0
AC006960.2,1.0,1.0,1.0
AC006971.1,1.0,1.0,1.0
AC006978.1,1.0,0.0,1.0
AC006994.1,1.0,1.0,1.0
AC007036.5,1.0,1.0,1.0
AC007038.1,1.0,1.0,0.0
AC007066.2,1.0,1.0,1.0
AC007098.1,1.0,1.0,1.0
AC007114.1,1.0,1.0,1.0
AC007191.1,1.0,0.0,1.0
AC007238.1,1.0,1.0,1.0
AC007240.3,1.0,0.0,1.0
AC007255.1,1.0,1.0,1.0
AC007262.2,1.0,1.0,0.0
AC007292.1,1.0,1.0,1.0
AC007318.1,1.0,1.0,1.0
AC007319.1,1.0,0.0,1.0
AC007336.1,1.0,1.0,1.0
AC007342.3,1.0,1.0,1.0
AC007342.4,1.0,1.0,1.0
AC007342.5,1.0,1.0,1.0
AC007342.7,1.0,1.0,1.0
AC007342.8,1.0,1.0,1.0
AC007342.9,1.0,1.0,1.0
