,padjScreen,p_naive,p_aware
MEF2D,5.2504684987334e-22,0.01634471996153538,7.169812226774362e-23
MEFV,0.0004180046912134622,0.7467095706356179,0.00017781323543929032
MEG3,4.0641305725058593e-53,1.0873406853914977e-42,1.2382266605099859e-54
MEG8,2.848154915963784e-12,5.7935308412809744e-06,6.927867872130595e-13
MEG9,1.5401699585837852e-55,6.969740129759053e-47,4.309720112736934e-57
MEGF10,0.08236826477470434,,
MEGF11,1.487501272378336e-11,0.506839200950307,3.780855619752888e-12
MEGF6,0.012937927499200502,0.15286401623806192,0.006177024431278331
MEGF8,1.5252604912128304e-23,1.0392996732447277e-09,1.90998698191388e-24
MEGF9,0.011243270465085496,0.005346420982838245,0.9718557436834648
MEI1,0.9518180316965783,,
MEI4,5.044202336326707e-23,0.32238986210388654,6.509578213853031e-24
MEIG1,0.22996188462407868,,
MEIOB,1.578751138429854e-07,0.3676518290789809,5.241186992615412e-08
MEIOC,8.084139146869831e-14,1.7753364224872933e-14,1.1574505510114354e-07
MEIS1,2.0435313805565396e-42,7.876312008862989e-23,1.0121168095052643e-43
MEIS1-AS2,1.2489977092953492e-23,1.3321871951827592e-17,1.5562809429440559e-24
MEIS2,1.2738796718789466e-46,5.2075846427456933e-48,1.6513319933515048e-45
MEIS3,1.7441339069888406e-13,3.9117317372202497e-14,4.026677472647252e-06
MEIS3P1,1.2423334070546918e-08,3.823015551580082e-09,2.960017267720442e-07
MEIS3P2,1.8772454976403618e-05,7.246802077620621e-06,0.000612597770788377
MELK,2.191324483634729e-106,6.371395740190441e-109,1.4194741399050227e-87
MELTF,3.4561273796394786e-07,0.49342666459432855,1.1760624306511774e-07
MELTF-AS1,0.009165905553373663,0.00433079926158781,0.14392024205957848
MEMO1,2.282607137241225e-21,0.004148121477168619,3.231613534011745e-22
MEMO1P1,5.387977598700455e-16,1.0344809872654005e-16,0.00024537174865715274
MEN1,1.3545312826391293e-30,1.1643448575170845e-31,4.538286246224364e-08
MEOX1,1.2231630231874533e-39,6.805820101681681e-41,5.184696236041093e-40
MEOX2,1.321983768326079e-69,2.3986584496369598e-57,2.0335684706606437e-71
MEPCE,0.00014113976604463198,0.016197320961324594,5.809388531305267e-05
MERTK,5.615745220887867e-34,6.778236037085682e-20,4.051319178985457e-35
MESD,3.325154809219655e-31,2.7698605667257167e-32,9.350525673487892e-06
MESP1,2.2353616699172664e-06,0.0021628251020030555,8.051523867738783e-07
MESP2,1.0125739473245385e-13,2.23677182350095e-14,9.541447843627039e-08
MEST,2.186037744686274e-38,4.30056178854687e-25,1.289132099438501e-39
MESTIT1,1.1171960028293793e-59,2.35024810605251e-47,2.6193775813328066e-61
MET,1.3760532848911347e-32,1.8361736084930102e-23,1.06042277247699e-33
METAP1,2.8699543963027424e-07,0.20481574961953541,9.711058414527371e-08
