"","sample52","sample53","sample54","sample55","sample56","sample57","sample58","sample59","sample60","sample61","sample62","sample63","sample64","sample65","sample66","sample67","sample68","sample69","sample70","sample71","sample72","sample73","sample74","sample75","sample76","sample77","sample78","sample79","sample80","sample81","sample82","sample83","sample84","sample85","sample86","sample87","sample88","sample89","sample90","sample91","sample92","sample93","sample94","sample95","sample96","sample97","sample98","sample99","sample100","sample101","sample102"
"NEURL4",2,1.5,1,0.5,1,1.5,0.5,1,1,1,0.5,1,1.5,2,1,0.5,2,0.5,0.5,1,0.5,1,1.5,0.5,1.5,1,0.5,0.5,0.5,1.5,1,1.5,1.5,2,1,1,0.5,1,1,1,0.5,1,1.5,2,2,0.5,1,1,1,0.5,1
"NEXN",1,1.5,1,1,1,1.5,0.5,1.5,1.5,1,1,1,1,1,1,1,1.5,1,1,1,1,0.5,2,1,1,1,0.5,1,1,1,1,1.5,1,1,1,1,0.5,1,1,1,1,1.5,1.5,2,1.5,0.5,1,1,1.5,0.5,1
"NF1",2,1.5,2,1,2,2,1,1.5,2,1.5,1,1,2,2,1,1,2,0.5,0.5,1,1,1,1.5,1,1.5,2,1.5,1,0.5,2,1.5,1.5,1.5,2.5,1,1.5,1,2,1,2,0.5,1,2,2.5,2,1,1,1,2,1,1
"NF2",2,1,1,1,1.5,1.5,0.5,1,2,1.5,0.5,1,3,3,1,1,3,1,1,1,1,1,2.5,1,2.5,3,1,1.5,1,1.5,1,3.5,2.5,2,2.5,1,1,2.5,1,1.5,1,2,3,2,2,1,1,1,1.5,1,1.5
"NFAM1",2,1,1,1,1.5,2,0.5,1,2,1.5,0.5,1,3,2,1,1,1,1,1,1,1,1.5,2,1,1.5,3,1,1.5,1,1.5,1,3.5,1,2,2.5,1,1,2.5,1,1.5,1,2,1.5,2,2,1,1,1,2,1,2
"NFASC",2,1.5,2,1,3.5,1.5,1,2,2,1.5,1,1,2,2,1,1.5,1.5,1.5,1,1,1.5,1,2,1,2,1.5,1.5,1,1,2,1.5,2,1.5,1.5,1,1.5,1,2,1,2.5,1,1.5,1.5,2,1.5,1,1,1,2.5,1,1
"NFAT5",1,1,1.5,1,2,1.5,1,1,1,1.5,0.5,1,1.5,1,1,1,1,1,1,1,0.5,0.5,1.5,1,2,1,1,1,1,1.5,1,1.5,1,1,1,1,1,2,1,0.5,1,3.5,1,1.5,1.5,1,1,1,2.5,0.5,1
"NFATC2",1.5,1.5,2,1,2,2,1.5,2.5,1.5,3,1,1,2,2,1,1,2,0.5,1,1,1,1.5,3.5,1,1,1,1,1,1,1.5,2.5,1,1,1.5,1,1.5,1,2,1,1.5,1,2.5,1,2.5,2,1,1.5,1,3,1,1.5
"NFATC3",1,1,1.5,1,2,1.5,1,1,1,1.5,0.5,1,1.5,1,1,1,1,1,1,1,0.5,0.5,1.5,1,2,1,1,1,1,1.5,1,1.5,1,1,1,0.5,1,2,1,0.5,1,3.5,1,1.5,1.5,1,1,1,2.5,0.5,1
"NFATC4",1,2,1,1,2,1.5,1,1,1,1,0.5,1,1.5,2.5,1,0.5,2,0.5,1,1,1,1,2,1,2,1,1,1,1,2,1,2,1.5,1.5,1,1.5,1,1.5,1,1,0.5,1.5,2,2,1,1,1.5,1,1.5,1,1
"NFE2",1.5,2,1.5,1,1.5,2,1,1.5,1.5,1.5,1,1,2,2,1,1,2,1,1,1,1,1,1.5,0.5,2,2,1,1,1,2.5,1.5,2,1.5,1.5,1,1,1,2,1,1.5,1,1.5,2,2,2,1,1,1,1.5,1,1.5
"NFE2L1",2,1.5,2,1,1.5,2,1,1.5,1,1.5,1,1,2,2,1,1,2,0.5,0.5,1,1,1,1.5,1,1.5,2,1.5,1,0.5,2,1.5,1.5,1.5,2.5,1,1.5,1,2,1,2,1,2,1.5,2.5,2,1,1,1,2,1,1
"NFE2L1-DT",2,1.5,2,1,1.5,2,1,1.5,1,1.5,1,1,2,2,1,1,2,0.5,0.5,1,1,1,1.5,1,1.5,2,1.5,1,0.5,2,1.5,1.5,1.5,2.5,1,1.5,1,2,1,2,1,2,1.5,2.5,2,1,1,1,2,1,1
"NFE2L2",1,1.5,2,1,2,1,1,1.5,1.5,1,1,1,2.5,1,1,3,1.5,1,1,1,1.5,1,2,1.5,3,3.5,1,1,1,1.5,1.5,2,1,1.5,1,1,1,2,1,1.5,1,1.5,3,2.5,1.5,1,1,1,2,1,1
"NFE2L3",2.5,1.5,1.5,1,1.5,2,0.5,1.5,2,1.5,1,1,2,2,1.5,1,2,2,1,1,1,0.5,3,1.5,1.5,3,1,1,1,2,1.5,1.5,1,1.5,0.5,3.5,1,2,1,1,1,1,1,2,2,1,2,1.5,2,1,1.5
"NFE4",2.5,1.5,2.5,1,1.5,2,1,1.5,1,2,1,1,2,2,1.5,1,1.5,1,1,1,1,1,3.5,1.5,2,2,1,0.5,1,2,1,1.5,2,1.5,0.5,1,1,2,1,1,1,3.5,3.5,2,2.5,1,0.5,1.5,2,1,1
"NFIA",1,1.5,1,1,1,1.5,0.5,1.5,1.5,1,1,1,1,1,1,1,1.5,1,1,1,1,0.5,2,1,1,1,0.5,1,1,1,2,1.5,1,1,1,1,0.5,1,1,0.5,1,1.5,1.5,2,1.5,0.5,1,1,2.5,0.5,1
"NFIA-AS2",1,1.5,1,1,1,1.5,0.5,1.5,1.5,1,1,1,1,1,1,1,1.5,1,1,1,1,0.5,2,1,1,1,0.5,1,1,1,2,1.5,1,1,1,1,0.5,1,1,0.5,1,1.5,1.5,2,1.5,0.5,1,1,2.5,0.5,1
"NFIB",1,1,1,0.5,3,2,0.5,0.5,2,1,0.5,0.5,1,1,0.5,0.5,1,0.5,1,1,2,0.5,1,0.5,2.5,1,1,0.5,0.5,1,2,1,1,1,0.5,1,0.5,1,1,0.5,0.5,1,1,1,2,0.5,0.5,1,2.5,0.5,1
"NFIC",1,1,1.5,1,1,1.5,1,1,1.5,1.5,1,1,2,2,1,1,1.5,0.5,1,1,1,0.5,1,0.5,3,1,1,0.5,1,1.5,1.5,2,1.5,1.5,1,1,1,2,1,1.5,1,2,1.5,1.5,2,0.5,1,1,1,1,0.5
"NFIL3",1,1,3.5,1.5,1,1,1,1.5,1.5,1,1,1.5,2,2,1.5,1,1,0.5,0.5,1,1,1,1,1,2.5,2,1,1,1,1.5,2.5,1,1,1.5,0.5,1,1.5,2,1,1,1,2,1.5,1.5,1.5,1,1,1,1.5,1,1
"NFIX",1.5,1,2.5,1,1,1.5,1,1,1,1.5,1,1,2,2,1,1,1.5,0.5,1,1,1,0.5,1,0.5,3,1,1,0.5,1,2,1.5,2,1.5,1.5,1,1,1,2,1,1.5,1,2,1.5,1.5,2,1,0.5,1,1,1,1
"NFKB1",1,1.5,1,0.5,1.5,1.5,1,1,2,2.5,1,0.5,1,1.5,0.5,1.5,1,1,1,1,0.5,1,2,1,1,1,1,1,0.5,1,1,2,0.5,1,0.5,1,1,1,1,1.5,1,1.5,1,1,1,1,0.5,1,1,0.5,1
"NFKB2",1.5,1,1,1,1.5,1.5,1,0.5,1.5,1,0.5,0.5,1,1,1,1,2,1,1,1,1.5,0.5,1.5,1,1.5,1,0.5,1,1,1.5,1,1,1,1,0.5,1,0.5,1.5,1,1.5,1,1,2,1.5,1,1,1,1,1,0.5,1.5
"NFKBIA",1,2,1,1,2,2.5,1,1,1,1,0.5,1,1.5,2.5,1,0.5,2,0.5,1,1,1,1,2,1,1,1,1,1,1,2,1,2,1.5,1.5,1,1.5,1,1.5,1,1,1,1.5,2,2,1,1,1.5,1,1.5,1,1
"NFKBIB",3.5,2,2.5,1.5,3,1.5,1,2.5,3.5,1.5,1,1,2,2,1,1,1.5,1.5,1,1,1.5,0.5,2,1,3,3.5,1,1.5,1,2.5,1.5,2,1.5,1.5,1,1.5,1,2,1,1.5,1,1,2.5,1.5,2.5,1,1,1,2,1,3.5
"NFKBID",3,2,2.5,1.5,3,1.5,1,2.5,3.5,1.5,1,1,2,2,1,1,1.5,1.5,1,1,1.5,0.5,2,0.5,3,3.5,1,1.5,1,2.5,1.5,2,1.5,1.5,1,1.5,1,2,1,1.5,1,0.5,2.5,1.5,2,1,1,1,2,1,3
"NFKBIZ",2,1.5,3,1,2.5,1.5,1.5,2,1.5,1.5,1.5,2.5,2,3.5,1,1.5,2,1.5,0.5,1,1.5,1,2,1,2,3,1,1,1,1.5,3,3,1,3,1.5,2.5,1.5,3.5,1,2,1,1.5,2,2,2,2,1.5,1,2,1,1.5
"NFRKB",1,0.5,1.5,1,2,2,1.5,1.5,1,1,1,0.5,1,2,1,1,1.5,1,0.5,1,1,1,1.5,1,1.5,1.5,1,1,1,1.5,1,1,1,1.5,0.5,1.5,1,2.5,1,1,1,1.5,1,1.5,1.5,1,1,1,1,1,1.5
