"","sample33","sample34","sample35","sample36","sample37","sample38","sample39","sample40","sample41","sample42","sample43","sample44","sample45","sample46","sample47","sample48","sample49","sample50","sample51","sample52","sample53","sample54","sample55","sample56","sample57","sample58","sample59","sample60","sample61","sample62","sample63","sample64"
"SLC39A10",1.5,1,1,1,2,2,1,0.5,1,1,1.5,0.5,1,1.5,1,1,1.5,1,1,1,1,1,1,1.5,1.5,1,1,1,1.5,1.5,1,1
"SLC39A11",1,0.5,1,1,1.5,1.5,1,1,1,0.5,1.5,1.5,1,1,1,1,1.5,1,1,1,1,1,1,1,1.5,1,1,1,1,2,1,1.5
"SLC39A13",1,1,1,1.5,1.5,1.5,1,1,1,1,1.5,1,1,1,1,1,1.5,1,1,1,1,1,1,1,1.5,2,1,1,1.5,1,1,1.5
"SLC39A14",1,0.5,1,1.5,2.5,1,1.5,1,1,1,0.5,0.5,1,1.5,1,1,1.5,1,1.5,1,1,1,1.5,0.5,1.5,1.5,0.5,1.5,1,1,2,1.5
"SLC39A2",1.5,0.5,1,1,1.5,1,1,1,0.5,1,1,1,1,1.5,1,0.5,1.5,1,1,1,1,0.5,1,1,1,1,1,1,2.5,1,1,1
"SLC39A3",1,1,1,1,1.5,1,1,1,0.5,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,1,2
"SLC39A5",1,0.5,1,1,2,1,1,1,0.5,1,1.5,1.5,1,1,1,1,1,1,1,1,1.5,1,1,2,1,1.5,1,1,1,2,1,1.5
"SLC39A6",1,0.5,1,1,1,1.5,1,1,1,2.5,1.5,1,1,1,1,0.5,1,1,1,1,0.5,0.5,0.5,1.5,1.5,1.5,0.5,1,1,1,1,1
"SLC39A7",1,0.5,1,1.5,1.5,2,1,1,1,1,1,1,1,1.5,1,1,1.5,1,1,1,1,1,1,1.5,1,1,1,1,1.5,1.5,1,1
"SLC39A8",1.5,0.5,1,1,1,2,1,1,0.5,0.5,1.5,1,1,0.5,1,1,1.5,1,1,1,0.5,1,0.5,1,1.5,1,1,1,1,1,1,1.5
"SLC39A9",0.5,0.5,1,1,1.5,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,1.5,1,1,1,1,1,1,1,1
"SLC3A1",1,1,1,1,1,2,1,1,1,1,1.5,1,1,1.5,1,1,1,1,1,1,1,1,1.5,1.5,1.5,1.5,1,1,1.5,1.5,1,1
"SLC3A2",1.5,1,1,0.5,1.5,1.5,1,1,1,1,1.5,1,1,1.5,1,1,1.5,1,1,1,1,1,1,1.5,1.5,1.5,1,1,1,1,1,1.5
"SLC40A1",1.5,1,1,1,2,2,1,0.5,1,1,1.5,0.5,1,1.5,1,1,1.5,1,1,1,1,1,1,1.5,1.5,1,1,1,1.5,1.5,1,1
"SLC41A1",1.5,0.5,1,1,1.5,1.5,1,1,1,1,1.5,1,1,1,1,1,1.5,1,1,1,1,1,0.5,1.5,1.5,1.5,1,1,1.5,2,1,1
"SLC41A2",1,0.5,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1.5,1,1,2,1,1.5,1,1,1.5,1,1,1.5
"SLC41A3",1,0.5,1,1.5,1.5,1,1.5,1,0.5,1,1.5,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1.5,1.5,1,1,1,1.5,1,1
"SLC43A1",1.5,1,1,0.5,1.5,1.5,1,1,1,1,1.5,1,1,1.5,1,1,1.5,0.5,1,1,1,1,1,2,1.5,1.5,0.5,1,1,1,1,1.5
"SLC43A2",1,0.5,1,0.5,2,1,1,1,0.5,0.5,1.5,1,1,1,1,1,1,1,1,1,0.5,1,0.5,1,1,1,0.5,0.5,1,1,1,1.5
"SLC43A3",1.5,1,1,0.5,1.5,1.5,1,1,1,1,1.5,1,1,1.5,1,1,1.5,1,1,1,1,1,1,2,1.5,1.5,0.5,1,1,1,1,1.5
"SLC44A1",1.5,0.5,1,1,1.5,1.5,1,1,1,0.5,1,1,1,1.5,1,1,1.5,1,1,1,1.5,1.5,1,2,1,1.5,1,0.5,1.5,1,1,1
"SLC44A3",1,0.5,1,1,1,1.5,1,1,1,1,1.5,1,1,1,1,1,1.5,1,1,1,0.5,1,1,1.5,1.5,1.5,1,1,1,1,1,1
"SLC44A3-AS1",1,0.5,1,1,1,1.5,1,1,1,1,1.5,1,1,1,1,1,1.5,1,1,1,0.5,1,1,1.5,1.5,1.5,1,1,1,1,1,1
"SLC44A5",1.5,0.5,1,1,2,1.5,1,1,1,1,1.5,1,1,1,1,1,1.5,1,1,1,1,1,1,1.5,1.5,1.5,1,1,1,1,1,1
"SLC45A1",1.5,0.5,1,1,2,1.5,1,1,1.5,1,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1.5,3,1,1.5,1,1,1,1,1
"SLC45A3",1.5,0.5,1,1,1.5,1.5,1,1,1,1,1.5,1,1,1,1,1,1.5,1,1,1,1,1,0.5,1.5,1.5,1.5,1,1,1.5,2,1,1
"SLC45A4",2.5,1,1,2,2.5,3,1.5,1,1,1,2,1.5,1,1.5,1,1,2,1,1.5,1,1,1,1.5,2.5,2,1.5,1.5,1.5,1.5,1,2,1.5
